m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,1.5,5.2,8.7,1.7,6.4,0.29
1,1,2,3.0,5.0,8.1,0.4,6.4,0.43
1,1,3,2.0,4.8,8.5,0.3,6.1,0.29
1,1,4,2.5,4.8,9.1,0.5,7.5,0.29
1,1,5,1.6,5.4,8.0,5.9,10.3,0.57
1,1,6,4.0,6.2,8.5,1.7,10.9,0.67
1,1,7,3.7,5.3,7.2,3.1,8.8,0.29
1,1,8,2.0,4.9,7.5,0.0,8.5,0.14
1,1,9,2.4,4.8,7.0,2.7,12.0,0.29
1,1,10,1.0,4.7,7.0,0.0,10.6,0.0
1,2,11,-0.5,3.4,9.0,0.0,9.5,0.0
1,2,12,-0.2,3.2,7.0,0.0,7.7,0.14
1,2,13,-1.3,2.3,7.0,0.0,7.3,0.0
1,2,14,-1.0,2.9,8.5,0.0,7.1,0.0
1,2,15,-0.1,3.8,7.5,0.0,7.0,0.14
1,2,16,1.0,4.3,8.7,0.0,8.8,0.14
1,2,17,1.5,4.1,6.5,3.8,9.6,0.43
1,2,18,2.1,5.2,8.6,3.1,9.6,0.57
1,2,19,2.0,5.0,7.0,1.2,11.2,0.57
1,2,20,0.9,3.7,8.0,0.5,10.8,0.33
1,3,21,-0.5,3.4,8.0,1.1,7.6,0.29
1,3,22,0.6,3.4,6.0,0.8,10.5,0.57
1,3,23,1.3,5.0,9.5,2.7,11.8,0.6
1,3,24,1.0,4.8,8.2,0.0,9.1,0.14
1,3,25,2.0,4.9,8.5,0.0,9.2,0.14
1,3,26,2.5,5.3,8.0,0.2,8.2,0.33
1,3,27,-0.1,2.8,6.0,0.3,8.3,0.29
1,3,28,1.0,3.7,7.2,0.9,7.9,0.33
1,3,29,-0.4,2.9,7.5,0.0,7.1,0.14
1,3,30,-0.5,3.6,7.5,0.0,7.5,0.14
1,3,31,1.3,4.6,8.0,0.0,7.2,0.14
2,1,1,2.4,5.3,8.6,0.1,8.2,0.4
2,1,2,2.5,6.1,9.0,0.0,8.3,0.17
2,1,3,2.5,5.5,9.1,3.3,8.4,0.43
2,1,4,3.3,6.1,10.0,0.0,8.3,0.0
2,1,5,2.7,6.6,10.0,0.1,8.6,0.29
2,1,6,0.6,5.0,9.5,0.0,9.0,0.14
2,1,7,2.9,6.2,9.5,2.8,9.5,0.29
2,1,8,3.5,6.5,11.0,0.0,8.0,0.14
2,1,9,3.0,6.8,10.0,1.3,8.4,0.33
2,1,10,4.4,6.8,9.7,3.9,9.2,0.5
2,2,11,3.5,5.7,9.5,3.1,9.8,0.5
2,2,12,1.4,5.4,9.5,0.0,12.5,0.17
2,2,13,1.5,5.6,10.5,0.0,7.6,0.14
2,2,14,1.0,4.9,9.5,0.1,7.2,0.29
2,2,15,1.0,4.7,10.0,0.0,7.7,0.14
2,2,16,1.0,5.0,10.1,0.0,6.4,0.0
2,2,17,2.9,5.7,8.8,0.0,6.0,0.14
2,2,18,4.3,7.8,10.4,0.1,5.9,0.29
2,2,19,5.0,6.7,11.0,0.0,6.6,0.14
2,2,20,4.3,8.4,11.8,0.0,7.0,0.0
2,3,21,3.3,7.8,11.5,0.1,7.9,0.29
2,3,22,4.0,7.1,11.4,0.0,7.6,0.17
2,3,23,4.9,7.9,10.2,0.8,12.1,0.43
2,3,24,3.0,7.6,11.1,0.3,8.3,0.43
2,3,25,3.5,8.0,12.5,0.5,10.8,0.29
2,3,26,4.3,8.0,11.3,0.7,19.3,0.43
2,3,27,3.5,8.1,12.5,0.0,18.9,0.14
2,3,28,2.4,7.4,12.0,0.0,14.2,0.14
2,3,29,6.0,10.1,13.3,1.4,11.6,0.5
3,1,1,3.2,7.0,11.0,5.1,12.2,0.57
3,1,2,1.8,6.8,11.3,1.7,10.1,0.5
3,1,3,4.2,8.2,12.5,5.2,9.4,0.71
3,1,4,4.5,7.9,12.5,0.3,10.3,0.57
3,1,5,3.8,7.7,11.0,1.2,8.5,0.43
3,1,6,4.7,7.4,11.2,4.0,12.9,0.71
3,1,7,4.0,7.6,11.5,1.0,9.3,0.43
3,1,8,3.7,7.4,11.0,0.0,9.2,0.14
3,1,9,4.8,9.0,13.0,0.0,9.9,0.17
3,1,10,5.4,8.9,12.6,0.1,9.0,0.29
3,2,11,5.2,8.9,13.1,0.0,10.5,0.17
3,2,12,5.4,9.4,12.6,0.2,9.6,0.29
3,2,13,4.5,8.8,12.0,0.0,8.4,0.17
3,2,14,5.0,8.8,12.5,0.8,12.2,0.33
3,2,15,5.5,9.1,12.0,0.4,9.2,0.29
3,2,16,5.0,9.2,13.5,0.0,9.0,0.14
3,2,17,5.1,9.8,13.2,0.2,8.3,0.29
3,2,18,6.3,10.0,12.5,3.1,12.7,0.33
3,2,19,4.5,8.7,12.5,0.3,11.3,0.43
3,2,20,5.5,8.5,11.9,0.0,12.7,0.14
3,3,21,5.0,9.3,12.1,0.0,10.7,0.14
3,3,22,4.4,10.6,15.6,0.0,11.6,0.0
3,3,23,6.0,9.9,13.9,0.0,9.6,0.14
3,3,24,4.5,9.6,15.3,0.0,9.5,0.0
3,3,25,5.0,9.8,14.9,0.0,11.4,0.0
3,3,26,5.0,9.6,13.0,6.9,14.2,0.43
3,3,27,7.9,11.2,14.9,1.5,14.4,0.57
3,3,28,6.5,10.7,14.6,1.9,11.5,0.43
3,3,29,6.5,11.3,15.6,0.0,9.4,0.14
3,3,30,7.5,12.2,15.5,0.5,13.4,0.43
3,3,31,8.0,12.2,15.5,3.4,9.1,0.71
4,1,1,8.5,13.1,17.0,2.6,10.3,0.43
4,1,2,8.0,11.6,15.5,1.7,10.5,0.29
4,1,3,8.4,11.6,15.2,3.0,13.6,0.57
4,1,4,8.0,10.9,14.1,2.6,14.0,0.43
4,1,5,6.9,12.0,16.0,3.6,10.8,0.29
4,1,6,6.8,11.6,16.0,0.1,10.5,0.29
4,1,7,6.0,11.8,16.6,0.0,8.8,0.14
4,1,8,7.5,13.0,16.5,0.8,9.9,0.33
4,1,9,7.5,12.8,17.3,0.8,13.6,0.57
4,1,10,9.0,13.7,17.1,0.7,10.5,0.57
4,2,11,9.9,13.2,18.0,10.7,11.8,0.43
4,2,12,10.0,13.7,17.1,6.5,11.4,0.43
4,2,13,8.5,12.3,15.5,7.6,13.5,0.43
4,2,14,9.0,12.3,17.1,0.2,13.7,0.29
4,2,15,10.5,14.0,18.2,0.1,10.9,0.29
4,2,16,9.0,13.7,19.0,2.7,12.3,0.43
4,2,17,7.4,12.1,17.4,0.1,10.7,0.29
4,2,18,9.4,13.6,17.1,0.1,10.4,0.29
4,2,19,9.5,13.9,17.2,0.0,10.1,0.14
4,2,20,10.5,14.3,18.5,0.4,12.7,0.57
4,3,21,10.0,13.4,16.7,0.6,10.5,0.43
4,3,22,9.5,13.8,17.8,11.2,15.5,0.57
4,3,23,10.7,14.3,17.5,2.2,16.4,0.57
4,3,24,11.0,14.7,18.3,8.8,11.1,0.57
4,3,25,10.9,13.9,17.5,0.8,10.6,0.57
4,3,26,10.6,14.3,17.2,2.6,13.6,0.57
4,3,27,10.0,14.1,18.0,1.6,10.1,0.43
4,3,28,11.8,14.8,18.2,18.1,9.5,0.29
4,3,29,11.9,16.0,20.0,9.6,9.6,0.43
4,3,30,11.5,17.1,21.4,4.0,9.5,0.29
5,1,1,12.4,16.2,20.4,2.4,13.8,0.71
5,1,2,11.7,16.2,19.6,5.5,14.6,0.86
5,1,3,11.8,16.0,19.7,3.4,12.3,0.71
5,1,4,11.4,15.8,19.3,1.5,10.6,0.71
5,1,5,11.7,16.6,19.8,0.6,11.9,0.29
5,1,6,12.5,15.7,19.5,0.5,11.2,0.43
5,1,7,13.4,17.2,20.0,1.0,9.8,0.57
5,1,8,12.9,16.6,20.2,1.7,11.5,0.71
5,1,9,13.2,17.3,21.2,0.3,11.3,0.29
5,1,10,14.3,17.6,21.0,0.0,12.3,0.14
5,2,11,14.5,18.4,21.4,6.0,13.5,0.57
5,2,12,13.8,17.5,21.1,6.7,13.6,0.71
5,2,13,14.0,17.5,21.0,6.9,13.1,0.71
5,2,14,13.5,16.2,19.5,6.5,11.8,0.71
5,2,15,13.8,17.3,19.8,4.1,10.6,0.86
5,2,16,13.0,16.5,19.0,9.8,14.8,0.67
5,2,17,13.0,17.8,21.4,1.5,10.6,0.71
5,2,18,14.0,18.7,22.0,3.3,12.0,0.57
5,2,19,14.8,17.7,20.2,6.5,13.5,0.71
5,2,20,14.8,17.9,22.1,0.3,11.0,0.29
5,3,21,15.5,19.1,23.4,0.5,11.6,0.43
5,3,22,16.3,19.8,23.1,2.2,10.1,0.43
5,3,23,15.0,19.6,23.6,1.2,8.9,0.67
5,3,24,16.0,20.2,23.2,9.0,14.0,0.86
5,3,25,15.5,20.3,24.2,1.4,10.8,0.57
