m,coco,coco_pct
12,3.0,0.134
6,9.0,0.004
12,2.0,0.109
11,17.0,0.001
4,17.0,0.0
10,26.0,0.0
5,14.0,0.0
10,2.0,0.264
4,27.0,0.001
6,18.0,0.008
4,25.0,0.003
1,18.0,0.0
2,12.0,0.0
2,7.0,0.058
3,1.0,0.383
7,4.0,0.005
10,1.0,0.281
11,9.0,0.014
8,26.0,0.001
9,3.0,0.136
1,8.0,0.028
9,12.0,0.0
2,1.0,0.357
2,15.0,0.0
7,5.0,0.002
1,17.0,0.0
10,8.0,0.031
4,18.0,0.001
5,25.0,0.015
2,8.0,0.025
11,26.0,0.0
12,17.0,0.0
3,8.0,0.019
3,14.0,0.003
7,15.0,0.0
11,25.0,0.001
4,9.0,0.003
5,2.0,0.386
2,17.0,0.0
8,5.0,0.002
7,25.0,0.027
1,15.0,0.0
3,5.0,0.086
6,15.0,0.0
11,4.0,0.042
1,9.0,0.008
3,7.0,0.073
4,2.0,0.312
11,18.0,0.0
10,12.0,0.0
7,2.0,0.41
9,26.0,0.0
3,2.0,0.273
3,25.0,0.002
5,4.0,0.013
9,15.0,0.0
12,9.0,0.008
2,14.0,0.0
6,25.0,0.026
6,17.0,0.002
1,1.0,0.291
3,17.0,0.0
7,18.0,0.012
12,12.0,0.003
5,1.0,0.162
8,27.0,0.001
4,5.0,0.016
8,25.0,0.025
8,14.0,0.0
10,5.0,0.13
9,2.0,0.367
10,9.0,0.013
9,8.0,0.014
11,3.0,0.164
2,4.0,0.025
6,7.0,0.042
8,3.0,0.054
5,17.0,0.001
11,5.0,0.248
8,8.0,0.015
9,5.0,0.026
2,25.0,0.0
8,2.0,0.406
6,5.0,0.007
3,3.0,0.132
5,8.0,0.037
11,1.0,0.262
1,5.0,0.297
10,3.0,0.16
2,9.0,0.008
8,18.0,0.011
11,8.0,0.046
1,3.0,0.13
8,4.0,0.002
9,14.0,0.0
10,25.0,0.003
10,17.0,0.001
11,15.0,0.0
7,1.0,0.441
9,25.0,0.018
8,17.0,0.0
4,26.0,0.0
10,27.0,0.001
8,15.0,0.0
6,3.0,0.119
3,27.0,0.001
6,1.0,0.37
5,7.0,0.129
12,26.0,0.0
7,27.0,0.004
9,1.0,0.376
5,26.0,0.0
11,12.0,0.0
6,12.0,0.0
2,18.0,0.0
3,9.0,0.002
5,3.0,0.224
5,27.0,0.003
2,27.0,0.0
4,7.0,0.086
1,4.0,0.04
7,9.0,0.002
9,18.0,0.004
4,15.0,0.0
11,14.0,0.0
9,4.0,0.009
5,12.0,0.0
5,9.0,0.01
12,8.0,0.031
1,25.0,0.0
12,27.0,0.0
3,26.0,0.0
9,7.0,0.045
4,8.0,0.03
4,1.0,0.337
7,3.0,0.062
11,2.0,0.133
5,5.0,0.017
6,27.0,0.002
8,9.0,0.003
12,5.0,0.339
7,8.0,0.008
1,7.0,0.062
6,26.0,0.0
8,12.0,0.0
12,4.0,0.059
3,18.0,0.0
2,2.0,0.13
1,27.0,0.0
2,26.0,0.0
3,15.0,0.002
4,3.0,0.19
12,14.0,0.004
10,4.0,0.037
12,1.0,0.238
3,4.0,0.024
4,4.0,0.021
10,18.0,0.003
9,9.0,0.003
6,8.0,0.016
3,12.0,0.001
1,26.0,0.0
4,12.0,0.0
7,26.0,0.001
10,15.0,0.0
12,18.0,0.0
9,27.0,0.0
12,15.0,0.001
7,12.0,0.0
7,17.0,0.0
5,18.0,0.003
11,27.0,0.0
8,1.0,0.449
8,7.0,0.032
12,7.0,0.075
7,14.0,0.0
5,15.0,0.0
9,17.0,0.002
11,7.0,0.09
2,3.0,0.105
1,14.0,0.0
10,14.0,0.0
10,7.0,0.078
1,2.0,0.144
6,4.0,0.004
6,2.0,0.4
12,25.0,0.0
1,12.0,0.0
2,5.0,0.291
6,14.0,0.0
7,7.0,0.027
4,14.0,0.0
