m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,-1.0,5.0,2.4,88.0,5.6,0.12
1,1,-1.0,5.0,2.0,89.5,6.5,0.1
1,2,-2.0,5.0,1.5,90.0,6.5,0.12
1,3,-1.9,5.0,1.5,89.0,5.6,0.14
1,4,-2.0,5.0,1.5,89.5,5.6,0.15
1,5,-2.0,5.0,1.0,89.5,6.5,0.13
1,6,-2.3,4.8,1.2,90.0,4.8,0.11
1,7,-2.0,5.0,1.5,89.5,5.6,0.13
1,8,-2.0,5.0,1.6,88.5,5.6,0.14
1,9,1.0,5.9,3.5,83.0,4.5,0.15
1,10,2.0,7.0,4.5,77.0,5.6,0.14
1,11,4.0,8.0,6.0,75.5,6.5,0.14
1,12,4.4,9.0,7.0,69.5,7.4,0.13
1,13,5.0,10.0,7.0,66.5,8.3,0.15
1,14,5.0,10.0,7.5,68.0,8.5,0.16
1,15,5.0,9.4,7.0,73.0,7.4,0.14
1,16,4.0,8.0,6.0,76.0,6.5,0.13
1,17,3.0,7.0,5.0,82.0,5.6,0.12
1,18,1.6,6.0,3.8,85.0,5.6,0.12
1,19,1.0,6.0,3.5,87.0,6.5,0.14
1,20,0.0,6.0,3.0,87.0,6.5,0.13
1,21,0.0,5.0,2.7,87.0,5.6,0.14
1,22,0.0,5.0,2.5,87.5,6.5,0.15
1,23,-1.0,5.0,2.5,88.5,6.5,0.13
2,0,1.5,7.0,4.2,84.5,5.6,0.12
2,1,1.0,7.0,3.5,85.0,6.5,0.12
2,2,1.0,7.0,4.0,87.0,5.6,0.12
2,3,0.5,7.0,3.5,88.0,5.6,0.11
2,4,0.0,7.0,3.0,87.0,6.5,0.11
2,5,0.0,6.0,2.5,87.0,6.3,0.1
2,6,-0.2,5.4,2.5,88.5,5.3,0.12
2,7,0.0,6.0,2.5,87.5,5.6,0.1
2,8,2.0,7.0,4.5,82.0,5.6,0.13
2,9,4.8,8.6,6.7,74.5,4.8,0.13
2,10,6.0,10.0,8.0,69.0,6.5,0.12
2,11,7.0,12.0,9.5,65.0,8.3,0.11
2,12,9.0,12.3,10.5,60.5,7.4,0.12
2,13,9.0,13.0,11.0,57.5,8.5,0.12
2,14,9.0,13.0,11.0,57.0,9.2,0.1
2,15,9.0,13.3,10.7,57.0,7.4,0.08
2,16,8.0,12.0,10.0,60.0,8.3,0.08
2,17,7.0,11.0,9.0,67.0,5.7,0.1
2,18,6.0,9.2,7.8,71.0,5.6,0.1
2,19,5.0,9.0,7.0,76.0,6.5,0.12
2,20,4.0,8.0,6.0,77.5,7.3,0.18
2,21,3.6,8.0,5.4,80.5,6.5,0.19
2,22,3.0,8.0,5.0,82.0,6.5,0.15
2,23,2.0,8.0,4.5,84.0,6.5,0.14
3,0,4.2,8.8,6.5,77.0,7.4,0.1
3,1,4.0,9.0,6.0,78.0,7.4,0.1
3,2,3.0,8.0,5.5,79.0,7.4,0.08
3,3,2.9,7.5,4.9,80.5,6.5,0.08
3,4,2.0,8.0,5.0,80.0,7.4,0.07
3,5,2.0,7.0,4.5,81.0,6.5,0.06
3,6,2.0,7.4,4.6,81.0,5.6,0.06
3,7,4.0,9.0,6.5,76.5,6.5,0.09
3,8,7.0,11.0,9.0,68.0,6.5,0.07
3,9,8.1,13.0,10.5,60.5,8.3,0.1
3,10,9.0,14.0,11.5,57.5,8.3,0.09
3,11,10.0,15.0,13.0,55.0,9.5,0.11
3,12,10.5,16.0,13.2,50.5,9.4,0.1
3,13,11.0,16.0,13.5,48.0,11.2,0.11
3,14,11.0,17.0,14.0,47.5,10.3,0.07
3,15,11.8,17.0,14.4,47.0,9.5,0.06
3,16,11.0,16.0,14.0,49.0,10.3,0.07
3,17,10.0,15.0,13.0,53.0,9.4,0.07
3,18,9.0,13.4,11.2,60.0,6.5,0.07
3,19,7.0,12.0,10.0,64.5,7.4,0.05
3,20,7.0,11.0,9.0,67.0,7.4,0.07
3,21,6.0,11.0,8.2,71.5,7.4,0.08
3,22,5.0,10.0,8.0,73.5,7.6,0.11
3,23,5.0,10.0,7.5,75.5,7.4,0.1
4,0,7.5,12.2,9.8,76.5,5.6,0.11
4,1,7.0,12.0,9.3,79.0,6.5,0.15
4,2,6.5,12.0,9.0,81.3,6.5,0.12
4,3,5.9,11.8,8.8,82.5,5.6,0.13
4,4,6.0,11.0,8.5,81.3,5.6,0.15
4,5,6.0,11.0,8.3,82.0,5.6,0.16
4,6,7.8,12.6,9.9,79.0,4.7,0.16
4,7,10.0,14.0,12.0,70.5,6.5,0.16
4,8,11.0,16.5,13.8,63.5,8.9,0.13
4,9,12.4,18.6,15.2,56.0,10.1,0.1
4,10,13.0,20.0,16.0,52.3,11.0,0.12
4,11,14.0,21.0,17.0,49.3,11.2,0.13
4,12,14.8,21.4,18.1,49.0,11.2,0.14
4,13,15.0,22.0,18.5,46.8,12.1,0.13
4,14,14.5,22.0,18.5,45.5,12.0,0.16
4,15,14.2,22.7,18.6,45.8,11.0,0.18
4,16,14.5,22.0,18.3,47.0,11.6,0.13
4,17,14.0,21.0,17.5,49.8,11.0,0.14
4,18,12.3,19.0,15.8,57.0,7.4,0.15
4,19,12.0,17.5,14.0,61.0,8.3,0.17
4,20,10.5,16.0,13.0,65.0,7.4,0.16
4,21,9.6,14.7,12.1,69.3,6.5,0.16
4,22,9.0,14.0,11.3,72.0,7.4,0.13
4,23,8.0,13.2,10.5,74.3,7.4,0.12
5,0,12.8,17.2,15.1,81.5,5.6,0.21
5,1,12.0,17.0,14.5,80.5,6.5,0.19
5,2,12.0,17.0,14.5,85.0,6.5,0.15
5,3,11.7,16.0,13.9,85.5,5.6,0.16
5,4,12.0,16.0,13.5,85.5,6.5,0.15
5,5,12.0,16.0,14.5,85.0,5.6,0.14
5,6,13.3,18.0,15.8,78.0,4.7,0.16
5,7,15.0,20.0,17.0,73.0,7.4,0.15
5,8,16.0,21.0,18.5,66.0,9.2,0.13
5,9,17.0,22.5,19.2,61.0,9.4,0.12
5,10,18.0,24.0,20.5,58.0,11.2,0.19
5,11,18.0,24.0,21.0,54.0,11.0,0.19
5,12,18.7,24.7,21.6,51.0,9.4,0.24
5,13,19.0,24.0,21.5,51.0,10.3,0.23
5,14,19.0,25.0,22.0,51.5,11.0,0.24
5,15,18.6,24.8,21.8,51.0,9.2,0.2
5,16,18.0,25.0,21.5,52.5,11.0,0.2
5,17,18.0,24.0,21.0,55.0,10.1,0.23
5,18,17.1,23.2,20.1,59.5,8.3,0.19
5,19,16.0,22.0,18.5,65.0,7.4,0.19
5,20,15.0,21.0,17.5,71.0,7.4,0.21
5,21,14.4,19.0,16.4,76.5,6.5,0.19
5,22,14.0,18.0,16.0,77.5,6.7,0.23
5,23,13.0,18.0,15.5,79.5,7.4,0.23
6,0,18.0,21.8,19.7,76.8,4.7,0.11
6,1,18.0,21.0,19.0,78.0,6.5,0.1
6,2,17.0,20.0,18.7,80.3,5.6,0.12
6,3,16.2,20.0,18.2,80.3,5.6,0.08
6,4,16.0,20.0,18.0,82.5,6.1,0.08
6,5,17.5,21.0,19.8,78.3,5.6,0.08
6,6,19.3,23.5,21.3,69.0,5.2,0.08
6,7,21.0,25.0,23.0,63.5,7.4,0.07
6,8,22.0,26.5,24.0,59.0,8.3,0.05
6,9,23.1,27.6,25.3,54.8,8.3,0.11
6,10,23.0,28.0,26.0,51.5,9.2,0.09
6,11,23.5,29.0,26.5,49.5,9.8,0.12
6,12,24.6,29.9,27.3,45.8,9.3,0.13
6,13,25.0,30.0,27.5,44.8,10.3,0.12
6,14,25.0,31.0,28.0,44.5,10.3,0.21
6,15,25.0,31.1,28.1,43.3,9.4,0.14
6,16,25.0,31.0,28.0,43.3,10.3,0.15
6,17,25.0,30.5,27.5,45.5,10.2,0.09
6,18,24.0,29.3,26.5,49.8,8.3,0.1
6,19,22.0,27.0,24.5,54.0,7.4,0.11
6,20,21.0,26.0,23.0,62.5,7.4,0.09
6,21,19.9,24.3,21.8,65.8,6.5,0.08
6,22,19.0,23.5,21.3,69.3,6.5,0.09
6,23,19.0,23.0,20.5,72.0,7.4,0.13
7,0,20.0,24.1,22.2,75.0,5.6,0.11
7,1,20.0,24.0,21.5,78.0,6.5,0.1
7,2,19.0,23.0,21.0,80.5,6.3,0.1
7,3,18.7,22.1,20.5,81.5,5.6,0.09
7,4,18.0,22.0,20.0,81.0,5.6,0.07
7,5,19.0,23.0,21.0,78.5,5.6,0.05
7,6,21.0,25.4,23.3,72.0,4.5,0.07
7,7,23.0,27.0,25.0,65.5,5.6,0.03
7,8,24.0,28.0,26.5,61.0,7.4,0.06
7,9,25.3,29.7,27.5,54.0,7.4,0.05
7,10,26.0,31.0,28.5,50.5,8.3,0.07
7,11,27.0,32.0,29.0,48.5,9.4,0.07
7,12,27.4,32.3,29.8,48.0,9.2,0.11
7,13,28.0,33.0,30.0,45.5,9.4,0.1
7,14,28.0,33.0,30.5,45.0,10.1,0.07
7,15,28.3,33.4,30.5,45.5,9.2,0.1
7,16,28.0,33.0,30.5,45.0,9.2,0.1
7,17,28.0,33.0,30.0,46.5,8.3,0.11
7,18,26.5,31.6,28.9,50.5,6.5,0.09
7,19,25.0,30.0,27.5,56.5,6.5,0.08
7,20,23.0,28.0,25.5,62.0,7.4,0.07
7,21,22.1,26.4,24.2,67.0,7.4,0.06
7,22,21.0,26.0,23.5,69.5,7.4,0.13
7,23,21.0,25.0,23.0,73.5,7.4,0.15
8,0,20.0,23.7,21.6,78.0,5.6,0.1
8,1,19.0,23.0,21.0,78.5,6.5,0.12
8,2,19.0,22.0,21.0,80.5,6.5,0.12
8,3,18.7,22.2,20.3,82.5,4.6,0.11
8,4,18.0,22.0,20.0,83.0,5.6,0.11
8,5,18.0,22.0,20.0,83.0,5.6,0.12
8,6,20.6,24.0,22.2,76.0,3.6,0.08
8,7,22.0,26.0,24.0,67.5,5.6,0.09
8,8,24.0,28.0,26.0,61.0,5.6,0.07
8,9,25.0,29.8,27.2,56.5,6.5,0.07
8,10,26.0,31.0,28.0,52.5,7.4,0.07
8,11,26.0,31.0,29.0,49.0,8.3,0.05
8,12,27.3,32.2,29.9,46.5,7.4,0.12
8,13,28.0,33.0,30.0,45.5,8.5,0.1
8,14,28.0,33.0,30.5,43.5,8.5,0.1
8,15,28.3,33.0,30.9,44.5,8.3,0.13
8,16,28.0,33.0,30.5,44.0,8.3,0.08
8,17,27.0,32.0,29.5,46.0,8.3,0.03
8,18,25.4,29.8,27.6,55.0,5.6,0.05
8,19,23.0,28.0,25.5,62.5,6.5,0.06
8,20,22.0,26.0,24.0,67.0,6.5,0.03
8,21,21.6,25.7,23.5,70.5,5.6,0.07
8,22,21.0,25.0,23.0,73.5,7.4,0.08
8,23,21.0,24.0,22.5,75.5,6.5,0.09
9,0,15.3,19.3,17.6,82.5,5.6,0.13
9,1,15.0,19.0,17.5,83.0,6.4,0.13
9,2,15.0,18.5,17.0,83.5,5.6,0.11
9,3,14.7,18.3,16.8,85.0,5.6,0.13
9,4,15.0,18.0,16.8,85.5,5.7,0.1
9,5,14.0,18.0,16.5,88.0,5.9,0.1
9,6,16.0,19.0,17.7,84.0,4.7,0.08
9,7,17.0,21.0,19.5,75.8,4.8,0.11
9,8,18.0,23.0,21.0,69.0,5.6,0.11
9,9,20.0,25.0,22.5,60.3,7.0,0.1
9,10,20.5,25.5,23.0,56.5,9.1,0.13
