m,coco,coco_pct
4,1.0,0.239
7,11.0,0.0
12,2.0,0.026
4,14.0,0.0
2,19.0,0.0
5,4.0,0.293
10,3.0,0.362
9,18.0,0.0
1,15.0,0.004
7,18.0,0.0
8,13.0,0.0
11,1.0,0.075
6,25.0,0.001
5,8.0,0.065
4,8.0,0.06
7,7.0,0.055
3,14.0,0.0
1,17.0,0.031
5,25.0,0.001
9,2.0,0.072
5,13.0,0.0
5,14.0,0.0
11,2.0,0.033
8,17.0,0.028
10,21.0,0.0
8,12.0,0.0
7,4.0,0.234
10,25.0,0.001
7,5.0,0.012
12,8.0,0.106
5,19.0,0.0
8,2.0,0.087
12,1.0,0.05
6,3.0,0.252
5,2.0,0.072
1,8.0,0.093
3,26.0,0.0
1,21.0,0.001
10,5.0,0.043
12,9.0,0.011
10,17.0,0.037
1,2.0,0.041
12,10.0,0.001
6,18.0,0.0
9,17.0,0.03
11,12.0,0.0
2,5.0,0.092
2,3.0,0.302
2,8.0,0.096
3,9.0,0.003
7,17.0,0.019
7,21.0,0.0
6,5.0,0.03
6,10.0,0.0
12,11.0,0.0
8,14.0,0.0
2,7.0,0.07
8,21.0,0.0
3,8.0,0.069
5,17.0,0.024
1,10.0,0.001
7,25.0,0.002
7,3.0,0.348
11,18.0,0.0
5,9.0,0.005
7,12.0,0.0
9,13.0,0.0
11,3.0,0.309
7,13.0,0.0
8,5.0,0.005
7,14.0,0.0
4,12.0,0.0
10,12.0,0.0
2,11.0,0.0
6,11.0,0.0
11,26.0,0.002
2,12.0,0.003
8,18.0,0.002
8,7.0,0.035
7,1.0,0.178
5,10.0,0.0
10,7.0,0.051
9,4.0,0.255
11,4.0,0.252
3,10.0,0.0
9,5.0,0.03
5,7.0,0.043
3,11.0,0.0
4,2.0,0.068
10,14.0,0.0
2,25.0,0.0
3,3.0,0.261
9,14.0,0.0
6,2.0,0.078
2,13.0,0.0
10,26.0,0.0
2,2.0,0.044
4,10.0,0.0
12,5.0,0.123
2,18.0,0.001
1,12.0,0.002
2,9.0,0.007
12,25.0,0.0
11,25.0,0.002
6,26.0,0.001
1,25.0,0.0
10,9.0,0.013
11,19.0,0.0
3,19.0,0.0
6,14.0,0.0
2,17.0,0.021
4,11.0,0.0
1,13.0,0.0
3,12.0,0.002
9,8.0,0.084
2,14.0,0.003
9,26.0,0.004
4,21.0,0.002
7,2.0,0.073
10,18.0,0.001
8,1.0,0.195
9,11.0,0.0
12,3.0,0.298
8,11.0,0.0
1,18.0,0.002
11,9.0,0.016
11,8.0,0.108
3,4.0,0.274
5,3.0,0.252
6,12.0,0.0
12,26.0,0.0
12,18.0,0.0
12,15.0,0.001
2,26.0,0.0
12,12.0,0.006
1,5.0,0.101
5,5.0,0.038
8,19.0,0.0
5,18.0,0.002
9,7.0,0.042
10,1.0,0.087
5,15.0,0.0
4,19.0,0.001
9,1.0,0.146
6,9.0,0.003
11,13.0,0.0
8,15.0,0.0
9,12.0,0.0
3,7.0,0.066
1,26.0,0.0
11,5.0,0.103
6,17.0,0.025
11,11.0,0.0
2,21.0,0.003
1,4.0,0.247
11,21.0,0.0
6,7.0,0.042
2,1.0,0.11
5,26.0,0.001
5,11.0,0.0
12,21.0,0.0
12,14.0,0.001
6,15.0,0.0
9,21.0,0.0
2,4.0,0.236
2,10.0,0.008
4,18.0,0.002
9,9.0,0.007
7,15.0,0.0
11,10.0,0.0
9,10.0,0.0
2,15.0,0.005
8,8.0,0.071
11,14.0,0.001
4,25.0,0.0
7,9.0,0.007
1,1.0,0.068
9,25.0,0.004
6,1.0,0.231
8,4.0,0.248
4,13.0,0.0
6,4.0,0.267
3,1.0,0.185
3,15.0,0.002
1,3.0,0.316
3,2.0,0.047
6,21.0,0.0
12,17.0,0.031
10,8.0,0.114
1,9.0,0.01
10,10.0,0.0
6,19.0,0.0
4,26.0,0.0
8,26.0,0.002
4,3.0,0.241
6,13.0,0.0
6,8.0,0.07
9,15.0,0.0
1,14.0,0.002
11,7.0,0.066
9,3.0,0.327
10,13.0,0.0
8,3.0,0.318
12,19.0,0.0
10,19.0,0.0
3,18.0,0.0
7,10.0,0.0
3,17.0,0.018
7,26.0,0.001
8,9.0,0.004
11,17.0,0.031
4,17.0,0.019
1,7.0,0.081
12,7.0,0.073
12,13.0,0.0
1,19.0,0.001
3,21.0,0.0
8,25.0,0.006
7,19.0,0.0
10,4.0,0.252
11,15.0,0.0
4,9.0,0.007
7,8.0,0.07
3,25.0,0.0
10,2.0,0.04
3,13.0,0.0
4,5.0,0.023
5,21.0,0.0
10,11.0,0.0
12,4.0,0.275
5,1.0,0.206
4,15.0,0.0
8,10.0,0.0
5,12.0,0.0
10,15.0,0.0
4,4.0,0.299
3,5.0,0.072
9,19.0,0.0
4,7.0,0.04
1,11.0,0.0
