m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,3.2,7.1,5.0,84.0,28.8,0.16
1,1,3.4,7.1,5.1,84.5,27.0,0.17
1,2,3.5,7.2,5.2,85.0,28.8,0.17
1,3,3.6,7.3,5.4,85.5,29.2,0.13
1,4,3.5,7.3,5.4,85.0,28.8,0.16
1,5,3.6,7.2,5.4,85.0,30.6,0.17
1,6,3.3,7.2,5.3,85.0,30.6,0.19
1,7,3.3,7.1,5.3,84.5,30.6,0.18
1,8,3.2,7.2,5.3,85.0,30.6,0.17
1,9,3.1,7.2,5.1,85.0,30.6,0.19
1,10,3.4,7.3,5.4,84.5,30.6,0.14
1,11,3.5,7.2,5.5,83.5,30.6,0.13
1,12,3.7,7.4,5.4,84.5,28.8,0.13
1,13,3.9,7.6,5.6,84.0,30.6,0.11
1,14,3.6,7.5,5.4,84.0,28.8,0.12
1,15,3.6,7.5,5.5,83.5,28.8,0.13
1,16,3.6,7.4,5.4,84.0,28.8,0.13
1,17,3.6,7.5,5.4,83.5,30.6,0.11
1,18,3.5,7.4,5.3,83.5,29.4,0.14
1,19,3.6,7.4,5.3,83.0,32.4,0.17
1,20,3.4,7.3,5.4,83.5,30.6,0.15
1,21,3.2,7.3,5.1,83.0,30.6,0.16
1,22,3.0,7.1,4.9,84.0,30.6,0.14
1,23,3.1,7.1,4.9,84.5,30.6,0.17
2,0,3.6,7.4,5.3,84.0,28.8,0.13
2,1,3.7,7.3,5.3,85.0,30.6,0.11
2,2,3.3,7.1,5.2,83.5,30.6,0.09
2,3,3.1,7.1,5.2,83.0,30.6,0.1
2,4,3.1,7.2,5.1,83.5,28.8,0.12
2,5,3.2,7.1,5.1,84.0,28.8,0.12
2,6,3.1,7.0,4.7,84.5,28.8,0.13
2,7,3.5,7.1,4.9,84.5,30.6,0.12
2,8,3.4,7.1,5.0,85.5,30.6,0.13
2,9,3.4,7.2,5.3,86.0,30.6,0.15
2,10,3.7,7.2,5.4,85.0,28.8,0.13
2,11,4.6,7.4,5.8,84.5,28.8,0.11
2,12,4.7,7.6,6.1,83.5,28.8,0.15
2,13,4.6,8.0,6.4,82.0,28.8,0.15
2,14,4.9,8.0,6.5,81.5,30.6,0.16
2,15,5.0,8.0,6.5,82.0,28.8,0.17
2,16,5.0,7.8,6.4,82.0,28.8,0.16
2,17,4.6,7.6,6.1,83.0,28.8,0.17
2,18,4.7,7.6,6.0,84.0,28.8,0.21
2,19,4.0,7.4,5.7,83.0,30.6,0.19
2,20,3.9,7.4,5.5,82.5,30.6,0.15
