m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.1,5.6,7.2,17.9,7.0,0.71,25.0
1,2,0.5,3.3,5.7,15.6,5.0,0.54,16.0
1,3,2.2,4.2,5.9,16.8,7.0,0.6,17.0
2,1,2.3,5.0,7.9,18.9,7.0,0.68,30.0
2,2,3.5,6.8,9.2,18.4,5.0,0.54,23.0
2,3,3.2,7.7,10.8,18.4,6.0,0.65,25.0
3,1,2.1,5.7,9.5,13.7,5.0,0.49,16.0
3,2,3.4,7.3,10.8,17.5,7.0,0.7,26.0
3,3,3.4,7.5,12.2,14.5,5.0,0.42,15.0
4,1,4.7,8.6,14.2,16.4,5.0,0.5,23.0
4,2,4.8,9.4,14.4,13.4,3.0,0.33,7.0
4,3,5.1,10.3,14.5,13.3,4.0,0.43,15.0
5,1,5.8,10.5,15.7,11.3,5.0,0.52,18.0
5,2,8.5,13.5,18.8,11.7,5.0,0.5,18.0
5,3,10.0,14.8,20.1,13.8,5.0,0.49,31.0
6,1,11.9,16.4,21.4,12.1,4.0,0.44,17.0
6,2,12.8,17.5,22.6,11.3,4.0,0.42,15.0
6,3,13.7,18.9,23.9,11.3,4.0,0.36,13.0
7,1,12.4,17.0,21.4,13.8,6.0,0.6,16.0
7,2,13.1,18.2,22.6,9.8,4.0,0.44,15.0
7,3,14.9,19.2,23.2,10.9,5.0,0.44,25.0
8,1,14.1,18.8,24.2,11.6,5.0,0.47,21.0
8,2,14.7,19.6,24.2,11.1,5.0,0.54,18.0
8,3,13.1,18.0,23.4,11.4,7.0,0.64,17.0
9,1,12.3,17.5,22.5,10.2,4.0,0.41,17.0
9,2,10.1,15.8,20.5,9.6,4.0,0.41,10.0
9,3,9.8,14.2,18.4,12.0,6.0,0.58,31.0
10,1,9.5,12.6,16.5,13.6,6.0,0.61,29.0
10,2,8.5,12.4,16.0,12.1,6.0,0.56,24.0
10,3,7.8,11.5,14.7,13.4,7.0,0.64,25.0
11,1,6.1,9.1,11.7,13.8,6.0,0.57,14.0
11,2,4.9,7.7,10.5,14.3,6.0,0.61,24.0
11,3,2.7,5.3,8.5,13.9,6.0,0.6,25.0
12,1,1.9,4.3,6.4,16.2,7.0,0.72,24.0
12,2,2.5,4.6,7.5,14.0,5.0,0.53,17.0
12,3,4.4,6.3,9.4,17.5,8.0,0.73,33.0
