m,m3,coco,coco_pct,country,place
1,1,1.0,0.048,nederland,ede
1,1,2.0,0.035,nederland,ede
1,1,3.0,0.044,nederland,ede
1,1,4.0,0.284,nederland,ede
1,1,5.0,0.204,nederland,ede
1,1,7.0,0.262,nederland,ede
1,1,8.0,0.036,nederland,ede
1,1,9.0,0.014,nederland,ede
1,1,10.0,0.0,nederland,ede
1,1,11.0,0.0,nederland,ede
1,1,12.0,0.012,nederland,ede
1,1,13.0,0.001,nederland,ede
1,1,14.0,0.014,nederland,ede
1,1,15.0,0.001,nederland,ede
1,1,17.0,0.029,nederland,ede
1,1,18.0,0.015,nederland,ede
1,1,19.0,0.001,nederland,ede
1,1,21.0,0.001,nederland,ede
1,1,25.0,0.001,nederland,ede
1,1,26.0,0.0,nederland,ede
1,1,27.0,0.0,nederland,ede
1,2,1.0,0.036,nederland,ede
1,2,2.0,0.059,nederland,ede
1,2,3.0,0.065,nederland,ede
1,2,4.0,0.282,nederland,ede
1,2,5.0,0.327,nederland,ede
1,2,7.0,0.142,nederland,ede
1,2,8.0,0.029,nederland,ede
1,2,9.0,0.001,nederland,ede
1,2,10.0,0.001,nederland,ede
1,2,11.0,0.001,nederland,ede
1,2,12.0,0.007,nederland,ede
1,2,13.0,0.0,nederland,ede
1,2,14.0,0.016,nederland,ede
1,2,15.0,0.0,nederland,ede
1,2,17.0,0.03,nederland,ede
1,2,18.0,0.002,nederland,ede
1,2,19.0,0.001,nederland,ede
1,2,21.0,0.002,nederland,ede
1,2,25.0,0.001,nederland,ede
1,2,26.0,0.0,nederland,ede
1,2,27.0,0.0,nederland,ede
1,3,1.0,0.023,nederland,ede
1,3,2.0,0.054,nederland,ede
1,3,3.0,0.035,nederland,ede
1,3,4.0,0.387,nederland,ede
1,3,5.0,0.268,nederland,ede
1,3,7.0,0.17,nederland,ede
1,3,8.0,0.019,nederland,ede
1,3,9.0,0.0,nederland,ede
1,3,10.0,0.004,nederland,ede
1,3,11.0,0.0,nederland,ede
1,3,12.0,0.001,nederland,ede
1,3,13.0,0.0,nederland,ede
1,3,14.0,0.012,nederland,ede
1,3,15.0,0.0,nederland,ede
1,3,17.0,0.023,nederland,ede
1,3,18.0,0.003,nederland,ede
1,3,19.0,0.0,nederland,ede
1,3,21.0,0.002,nederland,ede
1,3,25.0,0.0,nederland,ede
1,3,26.0,0.0,nederland,ede
1,3,27.0,0.0,nederland,ede
2,1,1.0,0.049,nederland,ede
2,1,2.0,0.039,nederland,ede
2,1,3.0,0.042,nederland,ede
2,1,4.0,0.299,nederland,ede
2,1,5.0,0.231,nederland,ede
2,1,7.0,0.215,nederland,ede
2,1,8.0,0.023,nederland,ede
2,1,9.0,0.023,nederland,ede
2,1,10.0,0.003,nederland,ede
2,1,11.0,0.0,nederland,ede
2,1,12.0,0.006,nederland,ede
2,1,13.0,0.0,nederland,ede
2,1,14.0,0.03,nederland,ede
2,1,15.0,0.001,nederland,ede
2,1,17.0,0.023,nederland,ede
2,1,18.0,0.016,nederland,ede
2,1,19.0,0.0,nederland,ede
2,1,21.0,0.0,nederland,ede
2,1,25.0,0.001,nederland,ede
2,1,26.0,0.0,nederland,ede
2,1,27.0,0.0,nederland,ede
2,2,1.0,0.097,nederland,ede
2,2,2.0,0.116,nederland,ede
2,2,3.0,0.057,nederland,ede
2,2,4.0,0.327,nederland,ede
2,2,5.0,0.16,nederland,ede
2,2,7.0,0.172,nederland,ede
2,2,8.0,0.027,nederland,ede
2,2,9.0,0.012,nederland,ede
2,2,10.0,0.003,nederland,ede
2,2,11.0,0.0,nederland,ede
2,2,12.0,0.002,nederland,ede
2,2,13.0,0.0,nederland,ede
2,2,14.0,0.002,nederland,ede
2,2,15.0,0.0,nederland,ede
2,2,17.0,0.019,nederland,ede
2,2,18.0,0.006,nederland,ede
2,2,19.0,0.0,nederland,ede
2,2,21.0,0.001,nederland,ede
2,2,25.0,0.001,nederland,ede
2,2,26.0,0.0,nederland,ede
2,2,27.0,0.0,nederland,ede
2,3,1.0,0.211,nederland,ede
2,3,2.0,0.136,nederland,ede
2,3,3.0,0.043,nederland,ede
2,3,4.0,0.216,nederland,ede
2,3,5.0,0.156,nederland,ede
2,3,7.0,0.16,nederland,ede
2,3,8.0,0.03,nederland,ede
2,3,9.0,0.001,nederland,ede
2,3,10.0,0.0,nederland,ede
2,3,11.0,0.0,nederland,ede
2,3,12.0,0.0,nederland,ede
2,3,13.0,0.0,nederland,ede
2,3,14.0,0.007,nederland,ede
2,3,15.0,0.0,nederland,ede
2,3,17.0,0.025,nederland,ede
2,3,18.0,0.016,nederland,ede
2,3,19.0,0.0,nederland,ede
2,3,21.0,0.0,nederland,ede
2,3,25.0,0.0,nederland,ede
2,3,26.0,0.0,nederland,ede
2,3,27.0,0.0,nederland,ede
3,1,1.0,0.209,nederland,ede
3,1,2.0,0.054,nederland,ede
3,1,3.0,0.05,nederland,ede
3,1,4.0,0.27,nederland,ede
3,1,5.0,0.169,nederland,ede
3,1,7.0,0.18,nederland,ede
3,1,8.0,0.018,nederland,ede
3,1,9.0,0.002,nederland,ede
3,1,10.0,0.0,nederland,ede
3,1,11.0,0.0,nederland,ede
3,1,12.0,0.006,nederland,ede
3,1,13.0,0.001,nederland,ede
3,1,14.0,0.009,nederland,ede
3,1,15.0,0.001,nederland,ede
3,1,17.0,0.022,nederland,ede
3,1,18.0,0.009,nederland,ede
3,1,19.0,0.0,nederland,ede
3,1,21.0,0.0,nederland,ede
3,1,25.0,0.001,nederland,ede
3,1,26.0,0.0,nederland,ede
3,1,27.0,0.0,nederland,ede
3,2,1.0,0.081,nederland,ede
3,2,2.0,0.07,nederland,ede
3,2,3.0,0.086,nederland,ede
3,2,4.0,0.364,nederland,ede
3,2,5.0,0.094,nederland,ede
3,2,7.0,0.2,nederland,ede
3,2,8.0,0.014,nederland,ede
3,2,9.0,0.0,nederland,ede
3,2,10.0,0.001,nederland,ede
3,2,11.0,0.0,nederland,ede
