m,coco,coco_pct
6,25.0,0.009
7,25.0,0.009
8,12.0,0.0
4,5.0,0.015
8,26.0,0.0
3,18.0,0.028
10,10.0,0.0
10,19.0,0.0
7,27.0,0.0
3,2.0,0.093
6,17.0,0.016
7,21.0,0.0
3,10.0,0.0
6,26.0,0.0
7,19.0,0.0
9,14.0,0.0
10,7.0,0.185
1,27.0,0.0
4,7.0,0.123
5,14.0,0.0
5,12.0,0.0
12,14.0,0.003
9,2.0,0.18
11,27.0,0.0
10,8.0,0.021
12,21.0,0.0
3,19.0,0.0
5,27.0,0.0
2,5.0,0.022
9,9.0,0.003
2,21.0,0.0
3,5.0,0.04
7,15.0,0.0
11,17.0,0.009
5,10.0,0.0
8,3.0,0.147
11,4.0,0.451
12,4.0,0.469
5,2.0,0.169
1,2.0,0.084
6,1.0,0.219
2,12.0,0.003
7,5.0,0.017
12,13.0,0.0
3,13.0,0.0
6,12.0,0.0
11,1.0,0.08
6,2.0,0.197
7,8.0,0.024
4,17.0,0.016
5,1.0,0.161
11,26.0,0.0
7,2.0,0.159
4,13.0,0.0
12,10.0,0.002
5,5.0,0.027
11,18.0,0.001
12,7.0,0.274
12,26.0,0.0
8,2.0,0.202
5,25.0,0.006
2,19.0,0.0
1,10.0,0.003
3,25.0,0.0
5,7.0,0.086
3,17.0,0.027
2,9.0,0.011
9,15.0,0.0
12,3.0,0.046
4,21.0,0.005
11,2.0,0.1
8,9.0,0.003
10,5.0,0.037
7,9.0,0.003
8,1.0,0.169
11,16.0,0.0
10,16.0,0.0
6,7.0,0.1
12,16.0,0.0
7,17.0,0.009
11,25.0,0.0
1,26.0,0.0
2,10.0,0.0
10,14.0,0.0
4,12.0,0.0
10,3.0,0.109
4,9.0,0.001
2,13.0,0.0
12,8.0,0.03
8,5.0,0.03
4,19.0,0.003
1,17.0,0.025
5,17.0,0.023
7,12.0,0.0
9,25.0,0.002
9,18.0,0.013
10,27.0,0.0
4,8.0,0.015
11,9.0,0.006
9,12.0,0.0
1,4.0,0.424
1,13.0,0.0
7,14.0,0.0
8,7.0,0.08
10,4.0,0.391
3,27.0,0.0
11,7.0,0.217
11,14.0,0.001
10,18.0,0.007
2,26.0,0.0
8,25.0,0.01
11,3.0,0.066
5,4.0,0.35
1,16.0,0.0
5,3.0,0.135
3,3.0,0.064
9,4.0,0.304
2,8.0,0.033
9,17.0,0.017
3,4.0,0.367
9,10.0,0.0
7,16.0,0.0
4,18.0,0.02
8,21.0,0.0
4,2.0,0.172
9,8.0,0.015
2,1.0,0.126
3,26.0,0.0
9,7.0,0.112
10,15.0,0.0
11,12.0,0.002
5,26.0,0.0
3,12.0,0.001
3,7.0,0.146
8,13.0,0.0
6,19.0,0.0
7,4.0,0.36
1,12.0,0.008
3,16.0,0.0
2,16.0,0.0
1,21.0,0.002
2,25.0,0.0
10,25.0,0.0
2,2.0,0.085
6,3.0,0.106
7,7.0,0.126
9,3.0,0.127
12,12.0,0.003
4,4.0,0.298
3,9.0,0.0
9,27.0,0.0
1,5.0,0.055
11,5.0,0.049
10,21.0,0.0
12,5.0,0.05
2,27.0,0.0
11,8.0,0.016
5,8.0,0.013
7,3.0,0.132
1,19.0,0.0
12,9.0,0.004
1,3.0,0.06
12,25.0,0.0
10,26.0,0.0
9,19.0,0.0
8,14.0,0.0
4,27.0,0.0
8,27.0,0.0
1,9.0,0.005
6,21.0,0.0
2,3.0,0.057
4,14.0,0.002
12,18.0,0.004
12,27.0,0.0
6,16.0,0.0
4,10.0,0.0
9,21.0,0.0
8,17.0,0.012
1,1.0,0.052
12,15.0,0.0
2,14.0,0.013
9,13.0,0.0
6,9.0,0.005
3,21.0,0.001
1,7.0,0.224
3,14.0,0.002
11,15.0,0.0
2,15.0,0.0
4,25.0,0.001
10,9.0,0.006
9,1.0,0.176
10,12.0,0.0
2,7.0,0.194
8,16.0,0.0
6,8.0,0.01
5,21.0,0.0
12,17.0,0.017
4,1.0,0.232
7,18.0,0.024
6,18.0,0.02
8,18.0,0.039
6,14.0,0.0
11,13.0,0.0
5,13.0,0.0
11,10.0,0.002
12,2.0,0.056
5,18.0,0.029
7,26.0,0.0
8,15.0,0.0
12,19.0,0.0
3,15.0,0.001
4,3.0,0.097
7,1.0,0.137
2,4.0,0.409
6,4.0,0.302
1,14.0,0.017
1,15.0,0.001
2,18.0,0.022
1,18.0,0.012
5,19.0,0.0
8,4.0,0.301
7,10.0,0.0
10,1.0,0.098
9,5.0,0.052
5,9.0,0.001
8,10.0,0.0
8,8.0,0.008
9,26.0,0.0
9,16.0,0.0
6,27.0,0.0
8,19.0,0.0
6,10.0,0.0
11,21.0,0.0
10,17.0,0.013
2,17.0,0.027
6,5.0,0.018
7,13.0,0.0
5,15.0,0.0
12,1.0,0.043
6,15.0,0.0
1,25.0,0.0
4,15.0,0.0
6,13.0,0.0
3,8.0,0.013
5,16.0,0.0
10,13.0,0.0
11,19.0,0.0
1,8.0,0.029
4,16.0,0.0
4,26.0,0.0
3,1.0,0.217
10,2.0,0.133
