m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,0.2,6.2,3.2,93.0,12.7,0.24
1,1,0.2,6.0,3.1,93.0,14.4,0.24
1,2,0.2,5.5,3.2,93.5,14.3,0.28
1,3,0.0,6.0,3.2,94.0,14.4,0.31
1,4,0.1,6.0,3.4,93.5,14.4,0.27
1,5,0.1,5.9,3.2,94.0,14.4,0.29
1,6,0.2,6.0,3.4,93.5,14.6,0.33
1,7,0.2,6.0,2.9,92.5,14.4,0.28
1,8,0.2,6.0,3.4,93.0,15.6,0.35
1,9,0.6,6.0,3.6,92.0,14.4,0.31
1,10,1.1,6.3,4.0,91.5,16.2,0.31
1,11,2.0,7.0,4.5,89.0,17.4,0.28
1,12,2.5,7.0,4.9,87.5,18.0,0.27
1,13,2.7,7.5,5.1,85.5,18.0,0.27
1,14,2.9,7.7,5.3,85.0,18.0,0.29
1,15,2.2,7.6,5.0,86.5,16.2,0.29
1,16,1.7,7.2,4.3,88.0,14.4,0.23
1,17,1.1,7.2,3.8,88.5,14.4,0.26
1,18,0.7,6.9,3.5,91.5,14.4,0.22
1,19,0.7,6.9,3.3,91.5,14.4,0.29
1,20,0.5,6.6,3.3,91.5,14.4,0.29
1,21,0.2,6.5,3.2,91.5,12.6,0.28
1,22,0.2,6.3,3.4,92.0,14.4,0.29
1,23,0.0,6.5,2.9,93.0,14.4,0.3
2,0,1.6,7.2,4.0,89.5,14.4,0.29
2,1,1.0,7.6,4.1,89.0,14.4,0.24
2,2,0.7,7.6,4.1,89.0,14.4,0.22
2,3,0.7,7.2,4.3,88.5,14.4,0.24
2,4,0.7,7.2,4.0,89.5,15.3,0.21
2,5,0.2,7.5,4.2,90.0,15.6,0.24
2,6,0.3,7.5,4.3,90.0,16.2,0.3
2,7,0.7,7.6,4.3,89.5,16.2,0.27
2,8,2.0,8.0,4.7,86.0,16.2,0.36
2,9,2.6,8.2,5.1,84.5,17.3,0.39
2,10,3.5,9.0,5.9,80.0,19.8,0.28
2,11,4.5,8.7,6.8,78.5,19.8,0.3
2,12,5.2,10.0,7.6,76.0,19.8,0.34
2,13,5.7,10.0,7.9,74.5,19.2,0.31
2,14,6.0,10.0,8.0,73.5,18.0,0.35
2,15,5.2,10.0,8.1,74.0,18.0,0.35
2,16,4.2,9.1,7.1,76.5,18.0,0.29
2,17,3.5,8.6,6.1,81.5,16.2,0.28
2,18,3.0,8.0,5.3,83.5,15.5,0.36
2,19,2.0,7.7,4.9,85.0,14.9,0.3
2,20,2.0,7.7,4.6,86.0,14.4,0.29
2,21,2.0,7.5,4.8,86.5,16.2,0.3
2,22,1.5,7.5,4.6,88.0,14.4,0.29
2,23,1.4,7.1,4.3,88.5,14.4,0.25
3,0,1.7,7.5,4.6,84.0,11.0,0.22
3,1,1.8,7.5,4.7,84.5,12.6,0.19
3,2,1.1,7.2,4.4,86.0,10.8,0.18
3,3,1.0,7.1,4.1,87.0,10.8,0.26
3,4,0.5,7.0,3.9,87.0,10.8,0.23
3,5,0.5,7.0,3.8,88.0,10.8,0.21
3,6,0.6,6.9,3.7,88.5,10.8,0.28
3,7,2.0,7.5,5.0,87.5,12.6,0.23
3,8,4.2,8.7,6.4,78.5,14.5,0.28
3,9,5.2,9.7,7.4,76.0,16.2,0.27
3,10,6.0,11.2,8.6,70.5,18.0,0.25
3,11,7.0,11.9,9.6,65.0,18.0,0.26
3,12,7.1,12.5,9.9,61.5,18.0,0.42
3,13,7.7,12.7,10.6,61.5,19.8,0.29
3,14,7.7,13.2,10.5,59.5,19.8,0.27
3,15,7.7,13.0,10.4,60.5,18.0,0.28
3,16,7.1,12.6,9.8,62.5,16.3,0.23
3,17,6.5,11.7,9.0,66.0,14.4,0.23
3,18,5.6,10.3,8.1,73.0,12.6,0.28
3,19,4.3,9.5,6.9,76.0,10.8,0.19
3,20,3.5,9.3,6.1,78.0,10.8,0.17
3,21,2.7,9.0,5.6,80.5,10.9,0.2
3,22,2.6,8.2,5.2,82.0,10.8,0.18
3,23,2.0,8.0,4.9,83.0,11.0,0.15
4,0,3.3,9.6,6.5,81.3,10.8,0.22
4,1,2.8,9.3,6.2,83.5,10.8,0.14
4,2,2.0,9.1,5.6,83.3,9.9,0.16
4,3,1.5,9.0,5.1,83.3,10.8,0.28
4,4,1.1,9.0,5.1,84.0,10.8,0.14
4,5,0.8,8.3,4.9,85.5,10.8,0.18
4,6,2.8,9.5,6.1,82.5,10.8,0.26
4,7,5.2,11.5,8.6,78.0,13.5,0.19
4,8,7.0,13.0,10.7,69.3,14.6,0.26
4,9,8.0,13.7,11.3,65.8,16.2,0.27
4,10,8.6,14.5,12.1,62.0,16.2,0.24
4,11,9.2,15.7,13.2,59.5,18.0,0.2
4,12,9.5,16.3,13.6,54.8,18.0,0.43
4,13,10.0,17.0,14.0,54.0,18.0,0.16
4,14,9.9,17.1,14.2,52.3,18.0,0.23
4,15,10.2,17.2,14.3,51.5,18.0,0.38
4,16,9.8,16.8,13.9,55.3,18.0,0.2
4,17,9.5,16.5,13.1,56.5,16.2,0.15
4,18,8.4,14.8,12.0,62.5,14.4,0.21
4,19,7.1,13.2,10.2,69.5,11.7,0.12
4,20,6.2,12.1,9.3,74.3,10.8,0.13
4,21,5.1,11.2,8.5,77.3,12.3,0.16
4,22,4.5,10.6,7.7,77.8,10.8,0.08
4,23,3.6,10.1,7.1,79.3,10.8,0.15
5,0,6.4,13.7,10.2,86.5,9.0,0.19
5,1,6.1,13.4,9.4,88.0,7.2,0.1
5,2,5.9,12.6,9.2,88.5,9.0,0.1
5,3,5.6,12.2,8.8,89.0,7.2,0.21
5,4,5.6,12.0,8.9,89.5,7.2,0.1
5,5,6.2,12.6,9.6,88.5,9.0,0.08
5,6,8.6,14.2,11.6,83.0,10.8,0.14
5,7,10.2,15.5,13.2,76.5,12.6,0.12
5,8,11.6,17.7,14.9,68.0,12.6,0.2
5,9,12.2,19.0,15.7,63.5,14.4,0.23
5,10,13.0,19.8,16.6,59.0,14.4,0.23
5,11,13.2,20.9,16.9,55.0,14.4,0.22
5,12,13.3,21.7,17.5,53.0,14.4,0.34
5,13,13.7,22.0,18.0,52.0,14.4,0.22
5,14,14.1,22.0,18.4,53.0,16.2,0.23
5,15,13.5,21.7,18.0,53.5,16.2,0.38
5,16,13.7,21.1,18.0,56.0,16.2,0.19
5,17,13.6,20.5,17.3,55.5,14.4,0.17
5,18,13.0,19.2,16.4,59.5,12.6,0.23
5,19,12.0,17.5,15.1,68.0,10.8,0.17
5,20,9.9,14.7,12.9,76.0,9.0,0.11
5,21,8.7,14.6,11.7,79.0,9.0,0.16
5,22,7.6,14.2,11.2,82.0,9.0,0.13
5,23,7.1,14.1,10.7,84.0,9.0,0.08
6,0,11.1,16.1,13.9,86.3,8.1,0.14
6,1,10.6,15.7,13.6,87.0,7.2,0.11
6,2,10.9,15.4,13.1,87.5,7.2,0.11
6,3,10.5,15.1,12.6,89.5,7.2,0.13
6,4,10.6,15.1,12.5,89.3,7.2,0.08
6,5,12.0,15.7,13.6,87.5,9.0,0.08
6,6,13.5,17.8,15.7,81.8,10.8,0.12
6,7,14.5,19.6,17.1,74.5,11.7,0.09
6,8,16.0,21.1,18.6,66.5,12.6,0.07
6,9,16.2,22.4,19.0,62.8,14.4,0.14
6,10,16.8,23.4,20.0,58.5,14.4,0.08
6,11,17.5,24.4,20.6,56.8,14.4,0.11
6,12,17.9,24.7,21.4,55.3,14.4,0.2
6,13,18.2,25.3,21.7,52.8,16.2,0.13
6,14,18.5,25.0,21.9,52.5,14.4,0.11
6,15,18.6,25.4,22.0,53.8,14.4,0.23
6,16,18.6,25.2,21.6,54.0,14.4,0.18
6,17,18.1,24.6,21.0,56.3,14.4,0.13
6,18,17.8,23.5,20.5,57.8,12.6,0.2
6,19,16.9,22.1,19.4,65.5,10.8,0.12
6,20,15.1,20.0,17.6,74.3,10.8,0.11
6,21,14.0,18.1,15.9,79.3,9.0,0.14
6,22,12.9,17.4,15.3,82.5,9.0,0.12
6,23,11.9,16.7,14.5,84.3,7.2,0.12
7,0,12.2,17.0,14.9,87.5,7.2,0.18
7,1,11.9,17.0,14.5,88.5,7.2,0.11
7,2,11.6,16.2,14.3,90.0,7.2,0.11
7,3,11.4,16.2,14.0,90.5,7.2,0.13
7,4,11.6,16.1,14.0,91.0,7.2,0.12
7,5,12.5,16.5,14.4,90.5,9.0,0.13
7,6,14.2,17.6,15.9,83.5,9.0,0.15
7,7,15.7,19.5,17.5,75.0,10.8,0.16
7,8,16.7,22.0,19.3,67.5,12.6,0.2
7,9,17.1,22.2,19.9,64.0,12.6,0.28
7,10,17.7,23.5,20.8,60.5,14.4,0.22
7,11,18.0,24.2,21.3,58.5,14.4,0.29
7,12,18.6,24.9,21.8,58.0,14.4,0.39
7,13,18.7,25.4,21.9,56.0,16.2,0.26
7,14,19.5,25.7,21.9,53.0,14.4,0.18
7,15,19.5,25.7,22.2,55.5,14.4,0.3
7,16,19.0,24.8,21.6,56.0,16.2,0.2
7,17,18.5,23.9,21.0,58.0,14.4,0.13
7,18,18.0,22.2,20.1,61.5,12.6,0.13
7,19,17.2,21.2,19.2,67.0,10.8,0.13
7,20,15.3,19.2,17.7,75.5,9.0,0.11
7,21,14.2,18.1,16.2,80.5,7.2,0.14
7,22,13.6,17.5,15.6,84.5,7.2,0.13
7,23,13.0,17.5,15.3,85.5,7.2,0.11
8,0,12.6,18.0,15.6,88.5,7.2,0.06
8,1,12.2,17.6,15.1,88.0,7.2,0.1
8,2,12.5,17.5,14.9,90.0,7.2,0.11
8,3,12.7,17.3,15.0,91.0,7.2,0.1
8,4,12.5,16.8,14.6,92.0,8.4,0.11
8,5,13.1,16.6,14.9,92.5,7.2,0.11
8,6,14.5,19.0,16.5,89.0,9.0,0.12
8,7,15.7,20.2,17.9,83.5,10.8,0.11
8,8,17.2,22.0,19.8,73.0,12.8,0.26
8,9,18.0,23.0,20.7,68.0,14.4,0.24
8,10,18.6,24.3,21.9,63.5,16.2,0.15
8,11,19.2,24.7,22.4,60.5,14.4,0.2
8,12,19.4,25.6,23.0,61.5,16.2,0.25
8,13,19.5,26.2,23.5,57.0,16.2,0.19
8,14,19.7,26.0,23.9,54.0,16.2,0.26
8,15,19.4,26.5,23.6,55.0,14.4,0.26
8,16,18.9,26.4,23.5,58.5,14.4,0.2
