m,coco,coco_pct
6,4.0,0.281
6,14.0,0.0
4,17.0,0.025
8,25.0,0.01
1,3.0,0.049
1,18.0,0.008
9,9.0,0.002
11,5.0,0.226
11,1.0,0.057
3,13.0,0.001
7,12.0,0.0
11,18.0,0.001
4,7.0,0.122
8,26.0,0.0
10,10.0,0.0
10,1.0,0.083
2,14.0,0.013
9,20.0,0.0
9,16.0,0.0
8,8.0,0.009
9,25.0,0.001
4,14.0,0.002
5,4.0,0.348
5,14.0,0.0
4,27.0,0.0
12,26.0,0.0
10,25.0,0.0
9,15.0,0.0
5,25.0,0.007
2,3.0,0.045
5,26.0,0.0
12,13.0,0.0
7,10.0,0.0
5,21.0,0.0
3,17.0,0.042
6,10.0,0.0
6,8.0,0.01
3,5.0,0.121
2,27.0,0.0
2,4.0,0.363
8,15.0,0.0
8,7.0,0.081
10,13.0,0.0
10,12.0,0.0
3,8.0,0.008
2,21.0,0.0
10,2.0,0.106
10,17.0,0.041
8,2.0,0.17
3,20.0,0.0
7,13.0,0.0
6,17.0,0.026
6,5.0,0.069
11,13.0,0.0
12,4.0,0.356
7,16.0,0.0
1,14.0,0.015
10,15.0,0.0
1,19.0,0.001
6,26.0,0.001
4,20.0,0.0
9,3.0,0.093
7,25.0,0.009
9,27.0,0.0
7,2.0,0.133
11,3.0,0.038
1,9.0,0.003
7,14.0,0.0
12,5.0,0.232
6,12.0,0.0
2,5.0,0.128
1,4.0,0.333
11,4.0,0.346
12,8.0,0.017
2,15.0,0.0
2,2.0,0.087
11,26.0,0.0
5,20.0,0.0
6,2.0,0.153
7,3.0,0.096
4,1.0,0.254
9,26.0,0.0
12,12.0,0.002
3,16.0,0.001
4,21.0,0.006
12,7.0,0.236
6,3.0,0.089
12,18.0,0.003
3,15.0,0.001
3,25.0,0.0
10,19.0,0.0
4,16.0,0.0
9,7.0,0.113
10,26.0,0.0
10,4.0,0.356
8,1.0,0.187
6,1.0,0.243
2,18.0,0.017
9,17.0,0.036
7,19.0,0.0
4,5.0,0.057
6,7.0,0.103
8,12.0,0.0
12,9.0,0.002
7,9.0,0.002
5,8.0,0.012
1,13.0,0.0
2,19.0,0.0
1,1.0,0.042
2,10.0,0.002
6,18.0,0.011
8,5.0,0.063
12,2.0,0.044
5,7.0,0.089
3,18.0,0.008
10,20.0,0.0
5,10.0,0.0
4,8.0,0.018
5,1.0,0.16
11,17.0,0.032
7,21.0,0.0
7,1.0,0.151
8,13.0,0.0
6,21.0,0.0
6,20.0,0.0
3,4.0,0.347
11,25.0,0.0
9,10.0,0.0
12,16.0,0.0
3,10.0,0.0
3,12.0,0.001
12,10.0,0.002
4,10.0,0.0
9,18.0,0.021
2,16.0,0.0
10,21.0,0.0
2,1.0,0.095
10,8.0,0.019
4,13.0,0.0
3,14.0,0.003
1,17.0,0.048
6,9.0,0.003
1,2.0,0.064
4,12.0,0.0
5,15.0,0.0
2,20.0,0.0
8,14.0,0.0
7,7.0,0.129
1,27.0,0.0
4,9.0,0.001
4,4.0,0.278
8,18.0,0.031
7,17.0,0.027
5,5.0,0.085
8,4.0,0.294
6,25.0,0.011
10,3.0,0.085
4,2.0,0.14
11,9.0,0.002
8,20.0,0.0
11,10.0,0.0
11,27.0,0.0
9,12.0,0.0
9,14.0,0.0
7,27.0,0.0
2,9.0,0.008
3,26.0,0.0
7,5.0,0.048
9,2.0,0.157
1,7.0,0.217
9,19.0,0.0
1,12.0,0.003
12,1.0,0.029
8,21.0,0.0
5,19.0,0.0
3,1.0,0.193
11,12.0,0.002
5,3.0,0.095
12,14.0,0.004
5,9.0,0.0
3,21.0,0.001
11,21.0,0.0
12,21.0,0.0
9,21.0,0.0
5,18.0,0.025
2,13.0,0.0
8,9.0,0.002
11,7.0,0.211
2,7.0,0.173
11,2.0,0.063
5,16.0,0.0
1,26.0,0.0
10,14.0,0.0
9,5.0,0.122
3,27.0,0.0
7,18.0,0.018
1,25.0,0.0
3,7.0,0.148
10,27.0,0.0
7,15.0,0.0
9,1.0,0.168
9,4.0,0.273
10,5.0,0.121
8,17.0,0.038
8,19.0,0.0
6,16.0,0.0
1,8.0,0.02
10,18.0,0.007
10,9.0,0.008
9,13.0,0.0
6,13.0,0.0
1,20.0,0.0
3,3.0,0.043
7,26.0,0.0
5,12.0,0.0
5,27.0,0.0
5,17.0,0.035
4,15.0,0.0
6,15.0,0.0
4,19.0,0.002
3,19.0,0.001
7,20.0,0.0
8,16.0,0.0
8,27.0,0.0
1,15.0,0.0
6,27.0,0.0
12,17.0,0.037
11,20.0,0.0
10,16.0,0.0
7,8.0,0.019
9,8.0,0.014
2,12.0,0.003
2,25.0,0.0
12,27.0,0.0
1,16.0,0.0
5,13.0,0.0
11,8.0,0.018
1,5.0,0.194
12,25.0,0.0
2,17.0,0.04
1,21.0,0.003
6,19.0,0.0
12,15.0,0.0
2,26.0,0.0
1,10.0,0.002
8,3.0,0.116
5,2.0,0.144
2,8.0,0.028
10,7.0,0.176
4,25.0,0.002
12,3.0,0.036
8,10.0,0.0
11,16.0,0.0
12,19.0,0.0
12,20.0,0.0
4,3.0,0.08
4,26.0,0.0
11,14.0,0.002
3,9.0,0.0
4,18.0,0.015
11,19.0,0.0
3,2.0,0.082
7,4.0,0.369
11,15.0,0.0
