m,m3,coco,coco_pct
1,3,18.0,0.0
3,2,27.0,0.0
8,3,14.0,0.0
7,3,8.0,0.025
5,1,21.0,0.0
11,2,14.0,0.002
2,1,3.0,0.041
10,3,27.0,0.0
7,1,4.0,0.368
8,2,3.0,0.118
8,1,17.0,0.033
4,1,15.0,0.0
5,1,13.0,0.0
11,2,10.0,0.0
4,2,15.0,0.0
11,3,3.0,0.034
7,3,26.0,0.0
3,3,12.0,0.0
4,1,26.0,0.0
10,2,21.0,0.0
7,3,21.0,0.0
9,1,14.0,0.0
11,2,5.0,0.205
3,2,1.0,0.118
1,1,7.0,0.291
5,3,16.0,0.0
12,1,3.0,0.028
7,3,1.0,0.21
9,2,1.0,0.156
11,2,13.0,0.0
4,2,9.0,0.0
9,3,27.0,0.0
9,2,13.0,0.0
7,3,3.0,0.098
6,3,5.0,0.055
1,3,10.0,0.004
9,3,3.0,0.079
2,3,1.0,0.137
8,3,12.0,0.0
12,2,12.0,0.0
6,2,27.0,0.0
2,2,17.0,0.048
4,2,27.0,0.0
3,2,16.0,0.0
9,2,17.0,0.018
7,1,12.0,0.0
7,2,16.0,0.0
4,1,9.0,0.002
9,3,20.0,0.0
5,2,15.0,0.0
8,3,21.0,0.0
9,2,7.0,0.092
1,1,1.0,0.057
2,1,12.0,0.009
11,2,27.0,0.0
5,3,5.0,0.06
9,1,13.0,0.0
5,1,7.0,0.09
4,2,18.0,0.012
11,2,1.0,0.065
10,1,12.0,0.0
5,3,18.0,0.023
8,1,26.0,0.0
4,1,17.0,0.025
5,2,3.0,0.107
3,3,3.0,0.042
1,1,16.0,0.0
7,1,27.0,0.0
11,1,19.0,0.0
2,1,20.0,0.0
10,2,3.0,0.101
9,1,17.0,0.038
3,1,1.0,0.232
12,3,15.0,0.0
1,2,9.0,0.0
5,3,25.0,0.009
1,3,17.0,0.037
8,3,8.0,0.009
4,1,8.0,0.022
9,1,26.0,0.0
10,1,17.0,0.069
1,1,12.0,0.003
6,2,25.0,0.011
3,2,25.0,0.0
1,1,4.0,0.297
2,3,17.0,0.037
7,3,7.0,0.096
12,3,3.0,0.037
12,1,2.0,0.04
12,2,21.0,0.0
2,1,2.0,0.053
1,1,14.0,0.015
8,3,20.0,0.0
3,3,5.0,0.138
6,3,19.0,0.0
10,1,2.0,0.124
10,3,12.0,0.0
2,2,21.0,0.0
6,3,10.0,0.0
9,2,25.0,0.0
5,1,12.0,0.0
11,3,12.0,0.006
9,1,19.0,0.0
1,2,5.0,0.229
7,3,9.0,0.002
10,3,2.0,0.09
11,2,12.0,0.001
1,2,14.0,0.017
5,3,14.0,0.0
1,3,25.0,0.0
8,1,9.0,0.0
3,2,19.0,0.0
12,2,2.0,0.056
5,3,13.0,0.0
11,3,13.0,0.0
