m,coco,coco_pct
9,13.0,0.0
4,19.0,0.0
8,25.0,0.0
9,15.0,0.0
12,15.0,0.003
10,7.0,0.033
4,2.0,0.04
3,8.0,0.129
11,18.0,0.0
7,8.0,0.084
2,1.0,0.169
9,25.0,0.0
11,7.0,0.049
11,1.0,0.147
9,17.0,0.029
6,9.0,0.0
3,12.0,0.0
9,9.0,0.0
5,9.0,0.0
5,12.0,0.0
10,18.0,0.0
6,2.0,0.043
3,1.0,0.241
8,10.0,0.0
3,19.0,0.0
6,5.0,0.001
11,26.0,0.0
5,7.0,0.031
7,9.0,0.0
11,9.0,0.0
3,15.0,0.004
11,12.0,0.0
12,14.0,0.001
12,3.0,0.029
6,14.0,0.0
4,10.0,0.0
11,14.0,0.0
7,25.0,0.0
3,13.0,0.0
3,7.0,0.045
7,13.0,0.0
12,9.0,0.0
8,4.0,0.477
2,10.0,0.0
8,3.0,0.082
5,13.0,0.0
7,5.0,0.0
5,18.0,0.001
7,18.0,0.0
12,7.0,0.075
7,12.0,0.0
12,17.0,0.046
1,5.0,0.083
12,10.0,0.002
11,8.0,0.126
1,13.0,0.001
11,25.0,0.0
5,1.0,0.229
9,3.0,0.078
10,2.0,0.03
4,15.0,0.0
1,26.0,0.0
9,21.0,0.0
12,2.0,0.014
10,4.0,0.583
12,25.0,0.0
12,26.0,0.0
10,15.0,0.0
4,1.0,0.245
6,21.0,0.0
4,17.0,0.025
4,14.0,0.008
4,21.0,0.002
2,3.0,0.045
9,4.0,0.478
7,2.0,0.048
3,10.0,0.0
1,3.0,0.031
8,12.0,0.0
1,9.0,0.002
9,2.0,0.051
10,25.0,0.0
8,2.0,0.058
6,8.0,0.076
2,15.0,0.005
11,5.0,0.031
8,21.0,0.0
3,9.0,0.0
5,4.0,0.49
3,3.0,0.048
3,14.0,0.0
10,19.0,0.0
6,4.0,0.473
6,7.0,0.019
10,9.0,0.0
10,26.0,0.0
5,8.0,0.083
6,25.0,0.0
12,12.0,0.0
7,14.0,0.0
1,12.0,0.001
5,14.0,0.0
6,26.0,0.0
8,19.0,0.0
2,14.0,0.0
9,18.0,0.0
7,7.0,0.019
11,13.0,0.0
1,2.0,0.016
4,18.0,0.001
1,15.0,0.013
7,3.0,0.089
9,26.0,0.0
6,1.0,0.297
1,21.0,0.006
3,4.0,0.473
5,19.0,0.0
5,25.0,0.0
8,8.0,0.091
6,17.0,0.023
11,10.0,0.0
10,8.0,0.123
4,26.0,0.0
3,2.0,0.023
2,8.0,0.127
5,26.0,0.0
11,3.0,0.047
8,7.0,0.018
6,19.0,0.0
8,13.0,0.0
12,18.0,0.0
10,17.0,0.035
8,17.0,0.034
2,2.0,0.028
7,21.0,0.0
3,18.0,0.0
9,1.0,0.234
10,3.0,0.056
8,14.0,0.0
4,7.0,0.033
7,10.0,0.0
12,8.0,0.16
5,3.0,0.081
10,13.0,0.0
8,26.0,0.0
7,26.0,0.0
5,21.0,0.0
11,17.0,0.036
9,12.0,0.0
12,19.0,0.0
2,17.0,0.031
1,14.0,0.013
6,10.0,0.0
1,10.0,0.002
12,5.0,0.036
3,17.0,0.03
4,9.0,0.001
1,7.0,0.057
5,15.0,0.0
2,26.0,0.0
1,8.0,0.133
10,1.0,0.131
8,1.0,0.236
1,17.0,0.034
7,17.0,0.031
10,10.0,0.0
12,21.0,0.001
7,15.0,0.0
2,25.0,0.0
8,18.0,0.0
1,4.0,0.528
2,9.0,0.0
8,9.0,0.0
3,25.0,0.0
12,13.0,0.0
3,26.0,0.0
4,12.0,0.001
1,25.0,0.0
1,19.0,0.0
2,21.0,0.004
9,14.0,0.0
2,5.0,0.016
2,12.0,0.0
5,10.0,0.0
4,3.0,0.071
9,19.0,0.0
9,5.0,0.01
9,10.0,0.0
2,13.0,0.0
10,14.0,0.0
5,17.0,0.029
7,1.0,0.223
2,19.0,0.0
9,7.0,0.023
7,19.0,0.0
6,3.0,0.068
10,5.0,0.01
9,8.0,0.097
7,4.0,0.505
4,13.0,0.0
12,4.0,0.561
10,21.0,0.0
4,5.0,0.005
6,15.0,0.0
6,18.0,0.0
8,15.0,0.0
3,21.0,0.001
10,12.0,0.0
4,25.0,0.0
4,4.0,0.484
4,8.0,0.086
11,4.0,0.536
2,7.0,0.056
8,5.0,0.004
1,18.0,0.0
11,15.0,0.001
12,1.0,0.074
2,4.0,0.517
5,5.0,0.011
5,2.0,0.044
1,1.0,0.08
11,21.0,0.001
2,18.0,0.0
6,12.0,0.0
6,13.0,0.0
3,5.0,0.007
11,2.0,0.025
11,19.0,0.0
