m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.9,6.2,7.9,18.9,8.0,0.77,27.0
1,2,1.4,3.9,6.1,16.2,6.0,0.63,20.0
1,3,2.7,4.7,6.4,18.4,6.0,0.58,18.0
2,1,3.0,5.7,7.9,19.8,6.0,0.63,23.0
2,2,4.0,7.0,9.6,19.7,5.0,0.5,19.0
2,3,4.7,8.0,11.4,17.9,5.0,0.59,19.0
3,1,2.8,6.2,9.6,14.4,5.0,0.48,20.0
3,2,4.6,8.0,11.0,18.7,7.0,0.7,20.0
3,3,4.0,8.1,11.9,15.7,6.0,0.51,14.0
4,1,5.6,9.3,13.2,17.7,5.0,0.49,28.0
4,2,5.6,9.9,14.3,14.8,4.0,0.41,6.0
4,3,6.1,10.2,14.1,14.4,5.0,0.54,18.0
5,1,6.8,11.1,15.7,12.1,4.0,0.43,18.0
5,2,8.4,13.3,17.9,12.5,4.0,0.39,17.0
5,3,10.7,14.5,19.4,14.4,5.0,0.48,29.0
6,1,11.8,15.9,20.5,13.0,4.0,0.39,12.0
6,2,13.3,17.3,21.8,13.1,4.0,0.37,11.0
6,3,14.5,18.8,23.4,12.5,3.0,0.34,10.0
7,1,13.5,17.0,20.8,15.1,5.0,0.49,22.0
7,2,14.5,18.4,22.2,11.6,3.0,0.35,12.0
7,3,15.5,19.6,22.8,13.1,6.0,0.52,29.0
8,1,15.4,19.2,23.6,13.5,4.0,0.44,19.0
8,2,15.6,19.9,23.4,12.6,5.0,0.47,19.0
8,3,13.8,18.3,22.3,12.8,6.0,0.51,11.0
9,1,13.5,17.7,22.0,11.5,5.0,0.48,30.0
9,2,11.7,15.9,20.1,12.0,4.0,0.36,14.0
9,3,11.0,14.6,18.1,13.9,6.0,0.57,51.0
10,1,9.9,13.0,16.5,15.5,6.0,0.57,41.0
10,2,9.5,12.6,16.0,13.6,7.0,0.67,19.0
10,3,9.0,11.8,14.2,16.9,7.0,0.61,35.0
11,1,6.8,9.5,11.9,15.3,6.0,0.62,22.0
11,2,5.9,8.4,10.8,15.8,6.0,0.62,27.0
11,3,3.9,6.0,8.7,15.5,7.0,0.71,29.0
12,1,2.8,4.8,7.5,17.3,8.0,0.77,31.0
12,2,3.5,5.4,7.9,15.3,6.0,0.56,17.0
12,3,5.1,6.8,9.8,19.5,8.0,0.74,34.0
