m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.6,8.9,5.8,90.5,17.1,0.26
1,1,1,2.7,9.0,6.1,89.5,18.0,0.24
1,1,2,2.3,8.9,5.9,89.0,18.0,0.19
1,1,3,2.1,9.3,6.0,89.0,17.1,0.22
1,1,4,2.6,9.0,5.9,89.5,18.0,0.2
1,1,5,2.5,8.7,5.8,89.0,18.9,0.23
1,1,6,2.4,8.3,5.6,88.5,19.8,0.19
1,1,7,2.4,8.1,5.6,88.5,19.8,0.26
1,1,8,2.4,7.9,5.4,89.0,19.8,0.23
1,1,9,2.9,8.1,5.7,88.0,18.0,0.3
1,1,10,3.9,8.8,6.4,86.5,19.8,0.14
1,1,11,4.3,9.2,6.8,85.3,19.8,0.11
1,1,12,4.7,9.2,6.9,83.3,19.8,0.24
1,1,13,4.9,9.0,7.0,83.5,20.8,0.14
1,1,14,4.6,9.4,7.0,82.5,20.7,0.2
1,1,15,4.3,9.0,6.4,84.0,18.9,0.23
1,1,16,3.8,8.4,5.6,85.5,18.0,0.24
1,1,17,3.2,8.8,5.6,86.8,18.0,0.2
1,1,18,2.7,8.8,5.6,86.3,18.0,0.27
1,1,19,2.3,9.1,5.6,86.0,17.1,0.22
1,1,20,2.6,9.1,5.5,87.8,17.1,0.19
1,1,21,2.5,9.1,5.4,88.0,16.2,0.23
1,1,22,2.5,8.7,5.5,89.3,17.1,0.23
1,1,23,2.6,8.2,5.3,89.3,16.2,0.29
1,2,0,0.8,6.9,4.2,89.8,16.2,0.19
1,2,1,1.0,6.5,3.8,91.5,16.2,0.19
1,2,2,1.5,6.5,3.9,91.5,15.3,0.17
1,2,3,1.5,6.5,3.6,91.5,14.4,0.22
1,2,4,1.6,7.1,3.9,90.0,15.3,0.17
1,2,5,1.0,6.7,3.8,90.8,15.3,0.17
1,2,6,1.4,6.8,4.0,90.3,15.4,0.16
1,2,7,0.7,6.7,3.6,91.3,14.4,0.16
1,2,8,0.6,6.7,3.3,92.0,16.2,0.13
1,2,9,0.8,7.0,3.6,89.8,13.5,0.17
1,2,10,2.0,7.5,4.6,87.0,18.0,0.2
1,2,11,3.2,8.0,5.2,84.0,18.0,0.2
1,2,12,2.8,8.4,5.4,83.5,18.9,0.16
1,2,13,3.5,8.6,5.6,82.3,19.1,0.11
1,2,14,3.4,8.5,5.5,82.8,18.8,0.14
1,2,15,3.0,8.1,5.2,84.0,17.2,0.18
1,2,16,2.3,7.8,4.9,84.8,18.0,0.16
1,2,17,1.9,7.3,4.5,87.3,16.2,0.17
1,2,18,1.7,7.3,4.4,88.3,17.1,0.21
1,2,19,1.4,7.0,4.1,89.0,17.1,0.21
1,2,20,1.3,7.1,4.3,89.0,15.4,0.21
1,2,21,1.2,7.1,4.2,90.5,14.4,0.16
1,2,22,0.8,7.1,4.3,91.0,16.2,0.17
1,2,23,0.8,7.1,4.3,91.3,15.3,0.14
1,3,0,2.0,6.7,4.3,87.0,14.6,0.17
1,3,1,1.7,6.0,3.9,89.0,14.4,0.14
1,3,2,2.0,6.6,3.9,89.5,16.1,0.16
1,3,3,1.8,6.2,4.0,90.5,16.2,0.2
1,3,4,0.6,6.5,3.8,90.5,16.2,0.19
1,3,5,0.6,6.7,3.9,87.5,16.2,0.17
1,3,6,1.0,6.7,4.0,88.0,16.1,0.17
