m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.9,5.4,6.8,28.7,7.0,0.68,19.0
1,2,2.7,4.4,6.0,24.1,5.0,0.48,8.0
1,3,2.5,4.0,5.5,22.5,5.0,0.49,8.0
2,1,3.2,4.6,6.4,27.2,4.0,0.36,8.0
2,2,3.7,5.5,7.4,26.7,5.0,0.46,12.0
2,3,4.9,6.8,10.0,25.2,4.0,0.42,13.0
3,1,3.2,5.7,8.2,20.4,2.0,0.24,5.0
3,2,4.8,6.9,9.1,29.2,5.0,0.47,5.0
3,3,5.1,7.3,9.9,22.3,5.0,0.43,7.0
4,1,5.4,8.1,10.8,27.0,6.0,0.55,9.0
4,2,6.4,9.4,12.1,24.1,3.0,0.28,0.0
4,3,8.1,9.9,12.5,24.9,3.0,0.28,2.0
5,1,7.9,10.5,13.6,19.5,4.0,0.38,7.0
5,2,11.0,13.9,17.0,21.8,3.0,0.25,2.0
5,3,11.7,14.4,16.8,23.7,5.0,0.41,13.0
6,1,12.6,14.8,17.9,22.5,3.0,0.28,4.0
6,2,14.1,16.9,19.7,19.4,2.0,0.18,1.0
6,3,15.2,17.7,20.8,20.9,2.0,0.2,1.0
7,1,14.5,16.7,19.2,23.5,5.0,0.48,7.0
7,2,15.7,17.6,20.6,18.8,2.0,0.2,6.0
7,3,16.4,19.4,22.7,19.3,5.0,0.48,8.0
8,1,16.1,19.1,22.1,19.5,3.0,0.33,1.0
8,2,17.0,19.8,22.5,18.7,2.0,0.15,4.0
8,3,15.4,18.4,21.3,21.4,2.0,0.22,1.0
9,1,14.9,18.0,21.1,16.9,1.0,0.08,0.0
9,2,13.8,16.0,18.5,19.2,4.0,0.35,6.0
9,3,12.4,14.9,17.8,18.5,4.0,0.43,11.0
10,1,10.6,12.9,15.4,21.4,4.0,0.35,6.0
10,2,10.1,12.3,14.3,22.3,5.0,0.48,13.0
10,3,9.4,11.6,13.9,21.7,5.0,0.43,9.0
11,1,7.0,9.1,11.5,20.2,5.0,0.48,13.0
11,2,6.3,7.9,9.6,20.8,5.0,0.48,15.0
11,3,4.2,5.8,7.6,23.0,8.0,0.78,19.0
12,1,3.6,5.3,6.9,22.8,7.0,0.7,13.0
12,2,3.1,4.8,6.6,20.6,4.0,0.38,10.0
12,3,4.7,6.3,7.4,23.5,8.0,0.68,22.0
