m,m3,coco,coco_pct
6,2,13.0,0.0
10,2,21.0,0.0
1,1,25.0,0.0
9,1,19.0,0.0
11,3,3.0,0.613
5,2,2.0,0.155
9,1,25.0,0.001
3,1,8.0,0.018
6,3,18.0,0.0
1,3,3.0,0.632
6,1,18.0,0.0
4,1,9.0,0.019
5,1,14.0,0.0
9,1,21.0,0.0
5,2,1.0,0.265
4,2,19.0,0.0
8,2,17.0,0.002
10,2,12.0,0.0
6,1,17.0,0.005
3,1,19.0,0.0
7,1,12.0,0.0
11,2,18.0,0.0
7,1,19.0,0.0
12,1,11.0,0.0
11,3,1.0,0.031
5,1,5.0,0.047
6,2,19.0,0.0
5,1,10.0,0.0
11,1,14.0,0.0
7,1,26.0,0.002
11,2,11.0,0.0
2,1,9.0,0.012
6,1,11.0,0.0
10,3,5.0,0.062
10,2,26.0,0.003
10,2,9.0,0.05
8,3,26.0,0.003
4,2,11.0,0.0
5,2,9.0,0.001
9,1,11.0,0.0
2,2,9.0,0.027
3,3,26.0,0.0
10,3,26.0,0.0
10,2,1.0,0.044
4,2,10.0,0.0
10,1,26.0,0.001
12,1,19.0,0.0
1,2,12.0,0.004
10,3,7.0,0.089
12,2,17.0,0.003
12,2,8.0,0.048
10,3,2.0,0.039
12,2,13.0,0.0
9,2,21.0,0.0
10,2,11.0,0.0
11,1,18.0,0.001
6,3,13.0,0.0
4,3,10.0,0.0
5,2,18.0,0.0
3,2,2.0,0.047
7,3,3.0,0.626
2,2,11.0,0.0
11,3,25.0,0.004
8,3,17.0,0.013
5,3,19.0,0.0
7,1,21.0,0.0
8,2,18.0,0.0
8,2,11.0,0.0
11,2,12.0,0.0
6,3,11.0,0.0
3,1,7.0,0.103
7,1,3.0,0.621
3,1,11.0,0.0
12,2,3.0,0.645
2,2,13.0,0.003
3,1,25.0,0.0
10,1,1.0,0.071
7,2,8.0,0.01
11,3,15.0,0.001
2,2,3.0,0.654
7,1,5.0,0.006
5,3,12.0,0.0
10,3,11.0,0.0
10,1,19.0,0.0
9,1,18.0,0.0
7,2,17.0,0.004
1,2,21.0,0.0
1,2,17.0,0.021
1,3,15.0,0.0
11,3,21.0,0.001
5,1,26.0,0.001
12,1,7.0,0.071
11,1,7.0,0.083
1,2,13.0,0.0
9,3,11.0,0.0
11,2,15.0,0.0
1,2,11.0,0.0
9,1,7.0,0.057
5,3,15.0,0.0
1,3,11.0,0.0
7,3,2.0,0.079
4,3,19.0,0.0
5,3,14.0,0.0
4,2,14.0,0.0
2,3,18.0,0.0
2,2,25.0,0.0
9,3,10.0,0.0
1,1,5.0,0.017
6,1,14.0,0.0
5,3,2.0,0.108
3,3,12.0,0.0
1,2,5.0,0.114
3,3,14.0,0.0
2,1,18.0,0.0
1,1,8.0,0.071
3,1,2.0,0.057
3,2,8.0,0.032
12,1,9.0,0.021
11,3,18.0,0.0
12,2,5.0,0.124
11,3,5.0,0.077
3,2,17.0,0.01
7,1,11.0,0.0
3,1,12.0,0.022
4,3,8.0,0.032
10,3,21.0,0.0
2,1,15.0,0.001
12,3,18.0,0.001
6,3,19.0,0.0
2,2,18.0,0.0
6,1,12.0,0.0
6,3,8.0,0.011
11,2,19.0,0.0
11,3,7.0,0.078
1,1,15.0,0.0
4,3,11.0,0.0
1,2,14.0,0.004
10,2,18.0,0.001
12,1,15.0,0.009
2,2,10.0,0.0
9,2,17.0,0.021
11,2,10.0,0.0
10,1,12.0,0.0
2,2,5.0,0.045
9,1,14.0,0.0
1,1,18.0,0.0
7,1,8.0,0.04
6,1,10.0,0.0
7,2,14.0,0.0
5,2,10.0,0.0
9,2,26.0,0.008
10,3,19.0,0.0
4,1,1.0,0.21
11,3,8.0,0.076
11,2,1.0,0.037
11,1,9.0,0.029
9,3,5.0,0.041
12,3,13.0,0.0
11,2,25.0,0.002
9,2,11.0,0.0
8,3,7.0,0.083
10,3,15.0,0.0
6,1,1.0,0.249
3,2,9.0,0.01
2,2,12.0,0.015
3,3,5.0,0.072
8,3,21.0,0.0
8,3,15.0,0.0
4,3,7.0,0.108
3,2,11.0,0.0
2,1,11.0,0.001
9,1,8.0,0.012
10,3,3.0,0.712
6,1,25.0,0.002
6,2,15.0,0.0
9,2,3.0,0.689
9,3,17.0,0.011
11,2,9.0,0.034
12,2,14.0,0.003
11,1,15.0,0.0
3,2,13.0,0.0
