m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.3,7.8,5.5,88.5,28.8,0.29
1,1,1,2.5,7.7,5.5,88.8,26.1,0.31
1,1,2,2.3,7.9,5.3,90.3,27.9,0.27
1,1,3,2.4,7.8,5.1,89.3,26.1,0.27
1,1,4,2.6,7.9,5.1,88.5,27.0,0.25
1,1,5,2.9,7.8,5.5,89.0,27.0,0.25
1,1,6,2.5,7.8,5.4,89.5,26.1,0.25
1,1,7,2.5,7.6,5.3,89.5,25.2,0.23
1,1,8,2.5,7.8,4.9,88.3,25.2,0.23
1,1,9,2.8,7.7,5.2,89.0,23.4,0.17
1,1,10,2.8,8.0,5.5,87.3,27.0,0.17
1,1,11,3.1,8.0,5.7,85.5,27.9,0.13
1,1,12,3.4,8.1,5.9,84.8,29.7,0.17
1,1,13,3.4,8.3,5.8,84.5,28.8,0.11
1,1,14,3.4,8.3,5.8,84.5,27.0,0.08
1,1,15,3.6,7.7,5.6,86.3,27.0,0.18
1,1,16,3.2,7.2,5.2,87.3,25.2,0.2
1,1,17,3.2,7.3,5.2,87.8,27.0,0.16
1,1,18,2.9,7.1,5.2,89.0,27.9,0.22
1,1,19,2.9,7.2,5.3,89.5,26.1,0.2
1,1,20,2.9,7.3,5.4,89.5,27.0,0.18
1,1,21,2.5,7.2,5.2,90.0,26.1,0.16
1,1,22,2.5,7.2,5.0,90.3,25.2,0.14
1,1,23,2.3,7.5,5.0,88.8,29.7,0.22
1,2,0,1.6,6.5,4.1,89.3,23.4,0.1
1,2,1,1.5,6.7,3.8,89.8,25.2,0.14
1,2,2,1.0,6.6,3.7,91.3,22.5,0.1
1,2,3,1.5,6.4,4.0,90.8,23.4,0.1
1,2,4,1.5,6.4,4.0,90.5,22.7,0.1
1,2,5,1.3,6.1,3.8,90.8,22.4,0.12
1,2,6,1.3,6.0,3.9,91.0,24.3,0.1
1,2,7,1.6,6.4,3.9,90.0,24.3,0.08
1,2,8,1.5,6.4,3.9,89.3,23.4,0.06
1,2,9,2.3,6.4,4.4,90.8,25.0,0.1
1,2,10,2.9,6.5,4.7,89.0,25.2,0.1
1,2,11,3.0,6.9,5.0,88.5,26.7,0.12
1,2,12,3.6,7.1,5.6,87.3,26.0,0.1
1,2,13,3.4,7.5,5.6,86.8,25.2,0.12
1,2,14,3.5,7.5,5.4,86.8,25.5,0.12
1,2,15,3.5,7.1,5.4,86.5,23.3,0.12
1,2,16,2.6,7.2,4.8,88.0,23.4,0.12
1,2,17,2.8,7.0,4.9,87.8,22.5,0.14
1,2,18,2.5,7.0,4.7,88.0,25.3,0.14
1,2,19,2.1,6.9,4.4,88.5,27.0,0.14
1,2,20,2.7,6.8,4.8,87.5,25.7,0.12
1,2,21,2.3,6.9,4.4,88.0,25.2,0.14
1,2,22,1.9,6.5,4.2,88.3,25.9,0.1
1,2,23,1.7,6.8,4.3,88.8,25.2,0.08
1,3,0,1.3,5.9,3.4,90.5,18.0,0.09
1,3,1,1.3,5.8,3.4,91.5,19.8,0.13
1,3,2,2.1,5.6,3.1,91.0,19.8,0.11
1,3,3,1.7,5.7,3.0,91.5,18.0,0.09
1,3,4,1.1,5.7,3.5,92.0,19.8,0.13
1,3,5,1.3,5.6,3.7,91.5,23.4,0.16
1,3,6,1.1,5.8,3.5,91.0,23.4,0.18
1,3,7,1.2,5.3,3.5,91.0,23.4,0.13
1,3,8,1.1,5.5,3.6,92.5,22.7,0.11
1,3,9,1.6,5.9,3.9,91.0,25.2,0.13
1,3,10,1.6,6.2,4.2,90.0,23.0,0.07
1,3,11,2.3,6.7,4.5,87.0,23.4,0.04
1,3,12,3.0,6.8,4.9,86.5,25.2,0.04
1,3,13,3.4,7.0,5.0,84.5,25.4,0.04
1,3,14,3.5,7.0,5.0,86.5,26.3,0.04
1,3,15,2.7,7.0,4.8,87.0,23.4,0.05
1,3,16,2.1,6.1,4.6,87.0,23.4,0.07
1,3,17,1.8,6.0,4.2,88.0,21.6,0.07
1,3,18,1.6,6.4,4.2,87.0,22.2,0.07
1,3,19,1.7,6.2,3.9,88.5,21.6,0.11
1,3,20,2.1,6.0,3.8,89.0,22.9,0.11
1,3,21,1.9,6.2,3.8,89.5,23.4,0.11
1,3,22,1.5,5.8,3.7,90.5,20.5,0.15
1,3,23,1.4,6.2,3.7,90.0,23.4,0.09
2,1,0,1.2,7.5,4.2,88.0,27.0,0.1
2,1,1,1.3,7.0,4.2,88.3,26.4,0.1
2,1,2,1.0,6.9,4.1,89.0,27.9,0.1
2,1,3,1.0,6.8,4.1,89.8,27.0,0.06
2,1,4,1.0,6.7,4.1,89.3,25.2,0.08
2,1,5,0.9,6.6,4.1,90.3,26.0,0.1
2,1,6,1.0,6.5,4.1,91.0,24.0,0.1
2,1,7,1.2,6.6,4.1,91.0,25.7,0.13
2,1,8,1.5,7.0,4.5,90.3,27.0,0.12
2,1,9,1.8,7.2,4.6,89.5,27.0,0.15
2,1,10,2.3,6.9,4.7,88.3,27.9,0.15
2,1,11,2.5,7.5,5.1,86.5,27.5,0.16
2,1,12,3.0,7.5,5.4,84.5,28.2,0.14
2,1,13,3.3,7.7,5.5,83.0,30.1,0.14
2,1,14,3.6,7.7,5.5,82.3,28.8,0.18
2,1,15,3.4,7.5,5.4,83.0,30.6,0.12
2,1,16,3.1,7.0,4.9,85.5,28.2,0.16
2,1,17,2.8,6.9,4.9,85.8,26.1,0.16
2,1,18,2.6,7.0,4.9,86.8,27.0,0.16
2,1,19,2.1,7.0,4.5,88.3,26.0,0.18
2,1,20,1.8,7.2,4.3,87.5,24.4,0.14
2,1,21,1.8,7.6,4.3,87.5,26.0,0.1
2,1,22,1.6,7.1,4.1,86.8,28.8,0.08
2,1,23,1.5,7.1,4.2,88.0,27.9,0.12
2,2,0,2.0,6.7,4.4,89.5,20.7,0.08
2,2,1,1.9,6.8,4.7,88.0,19.8,0.1
2,2,2,1.9,6.8,4.7,89.3,21.6,0.1
2,2,3,2.0,7.1,4.6,87.5,20.8,0.12
2,2,4,1.8,7.2,4.4,88.8,20.7,0.14
2,2,5,1.5,7.1,4.5,88.0,21.3,0.16
2,2,6,1.6,7.3,4.5,88.3,23.4,0.22
2,2,7,1.8,7.1,4.4,88.8,25.2,0.24
2,2,8,1.9,7.2,4.8,87.0,26.3,0.22
2,2,9,2.2,7.4,4.9,87.0,27.8,0.2
2,2,10,2.8,8.1,5.4,85.0,29.7,0.12
2,2,11,3.4,8.9,6.1,82.0,30.6,0.1
2,2,12,3.4,9.3,6.6,80.5,29.7,0.14
2,2,13,3.9,9.6,7.0,79.3,27.2,0.16
2,2,14,4.1,9.9,7.0,78.5,25.2,0.12
2,2,15,3.8,9.9,7.1,79.0,25.2,0.08
2,2,16,3.9,8.9,6.9,81.8,27.0,0.1
2,2,17,3.8,8.0,6.3,85.3,24.3,0.12
2,2,18,3.6,7.8,6.3,86.5,24.9,0.16
2,2,19,3.4,7.6,5.9,87.3,22.2,0.16
2,2,20,2.9,7.4,5.8,87.3,21.2,0.14
2,2,21,2.9,7.1,5.7,85.5,22.5,0.1
2,2,22,2.8,7.0,5.7,86.5,22.0,0.1
2,2,23,2.5,6.9,5.3,88.5,21.6,0.14
2,3,0,5.4,7.3,6.4,86.5,25.2,0.11
2,3,1,4.5,7.2,6.3,86.5,25.2,0.09
2,3,2,5.0,6.9,6.9,85.0,25.2,0.07
2,3,3,4.8,7.0,6.8,87.0,25.2,0.04
2,3,4,4.5,6.6,6.4,88.5,23.4,0.02
2,3,5,4.4,6.6,6.4,90.0,20.9,0.2
2,3,6,4.3,6.6,6.0,91.0,19.8,0.22
2,3,7,4.5,6.8,5.8,90.5,21.6,0.22
2,3,8,4.7,6.6,6.0,89.0,21.6,0.2
2,3,9,5.2,7.6,6.5,88.5,21.6,0.18
2,3,10,5.4,8.1,6.8,85.5,23.4,0.04
2,3,11,6.0,8.9,7.6,83.0,23.4,0.04
2,3,12,6.6,9.0,8.9,82.5,25.2,0.09
2,3,13,6.7,9.7,8.4,82.5,25.2,0.18
2,3,14,5.9,9.3,7.6,81.0,25.2,0.22
2,3,15,6.2,8.6,7.5,83.0,25.0,0.24
2,3,16,6.0,8.5,7.4,83.5,27.0,0.24
2,3,17,5.7,7.7,6.5,83.5,23.4,0.27
2,3,18,5.0,7.4,6.9,85.5,20.7,0.24
2,3,19,5.3,7.0,7.0,86.5,21.6,0.2
2,3,20,4.9,6.8,7.1,86.5,21.6,0.16
2,3,21,4.9,7.0,7.0,85.5,22.3,0.16
2,3,22,5.0,6.9,6.9,87.0,21.6,0.18
2,3,23,4.9,7.0,6.5,87.0,23.4,0.18
3,1,0,2.7,7.0,4.7,88.3,19.8,0.08
3,1,1,2.7,7.0,4.6,87.8,20.0,0.06
3,1,2,2.6,6.1,4.4,88.5,21.0,0.04
3,1,3,2.2,5.9,4.3,89.5,18.0,0.06
3,1,4,2.3,6.0,4.2,90.0,18.9,0.0
3,1,5,2.2,5.7,4.0,90.3,18.9,0.04
3,1,6,2.2,5.6,4.0,90.3,19.8,0.02
3,1,7,1.9,5.9,4.1,90.8,19.8,0.04
3,1,8,2.8,6.1,4.6,88.3,19.8,0.02
3,1,9,3.8,6.7,5.4,85.5,20.3,0.02
3,1,10,4.1,7.9,6.1,79.8,22.1,0.06
3,1,11,5.0,8.4,6.6,77.8,21.6,0.06
3,1,12,5.3,8.7,7.0,75.8,21.6,0.06
3,1,13,5.7,9.5,7.5,74.5,23.4,0.04
3,1,14,5.4,9.3,7.2,76.3,23.8,0.08
3,1,15,5.2,9.8,7.3,77.0,24.3,0.08
3,1,16,5.0,9.3,7.0,80.5,22.5,0.08
3,1,17,4.6,8.8,6.8,82.5,21.6,0.12
3,1,18,4.2,8.4,6.6,84.5,22.5,0.12
3,1,19,3.7,8.3,6.3,86.0,19.7,0.12
3,1,20,3.5,7.9,5.8,86.8,20.7,0.12
3,1,21,3.5,7.7,5.3,88.3,19.8,0.06
3,1,22,3.3,7.3,5.2,88.0,19.8,0.08
3,1,23,3.1,6.8,5.0,86.3,19.8,0.08
3,2,0,4.3,7.7,6.3,83.3,23.4,0.1
3,2,1,4.2,7.5,6.1,85.0,26.1,0.07
3,2,2,4.1,7.5,5.9,86.3,25.2,0.07
3,2,3,4.3,7.3,5.7,85.5,24.3,0.07
3,2,4,4.2,7.4,5.8,85.3,23.4,0.1
