m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,2.5,7.0,4.8,88.5,23.4,0.17
1,1,2.5,7.3,4.7,89.5,25.2,0.18
1,2,2.8,6.8,4.7,90.0,23.6,0.18
1,3,2.9,6.7,4.7,89.5,27.0,0.18
1,4,2.9,6.9,5.0,89.5,25.2,0.22
1,5,3.0,6.9,5.3,89.0,26.1,0.2
1,6,2.9,7.0,5.1,88.5,27.0,0.19
1,7,2.8,7.1,5.0,88.5,26.7,0.23
1,8,2.8,7.1,4.9,89.5,25.9,0.19
1,9,3.0,7.2,5.0,89.0,25.2,0.21
1,10,3.6,7.3,5.5,89.0,27.0,0.18
1,11,3.8,7.7,5.7,88.0,27.4,0.18
1,12,3.9,7.8,6.0,87.5,27.0,0.12
1,13,4.1,7.7,5.8,87.5,27.4,0.15
1,14,3.8,7.4,5.7,87.5,27.4,0.16
1,15,3.6,7.3,5.4,88.0,25.2,0.2
1,16,3.1,7.1,5.2,88.5,25.2,0.2
1,17,3.1,6.9,5.0,88.5,25.2,0.22
1,18,3.1,6.8,4.9,89.5,25.2,0.18
1,19,3.0,6.8,4.7,89.0,25.2,0.2
1,20,2.7,6.6,4.7,89.5,25.2,0.19
1,21,2.6,6.8,4.9,88.5,25.2,0.19
1,22,2.3,6.7,4.6,89.5,23.4,0.21
1,23,2.3,7.0,4.6,89.5,23.4,0.21
2,0,2.7,7.1,4.9,88.5,27.0,0.12
2,1,2.6,6.9,4.8,88.5,25.2,0.14
2,2,2.5,6.9,4.8,89.5,25.2,0.14
2,3,2.5,6.9,4.6,88.5,25.9,0.14
2,4,2.5,6.7,4.6,89.5,25.2,0.14
2,5,2.3,6.9,4.6,90.0,27.0,0.13
2,6,2.2,6.9,4.7,90.5,25.2,0.13
2,7,2.1,6.8,4.5,91.0,27.0,0.15
2,8,2.8,6.9,4.8,90.0,28.8,0.14
2,9,3.2,7.1,5.2,89.0,28.5,0.14
2,10,3.7,7.5,5.7,88.5,28.8,0.13
2,11,4.3,7.6,6.1,88.0,30.6,0.15
2,12,4.6,8.0,6.2,87.0,28.8,0.15
2,13,4.7,8.2,6.4,87.5,28.8,0.15
2,14,4.7,8.0,6.4,87.0,29.7,0.16
2,15,4.4,8.0,6.0,86.5,27.0,0.17
2,16,4.0,7.6,5.9,88.0,27.0,0.2
2,17,3.9,7.4,5.4,88.0,28.8,0.2
2,18,3.4,7.0,5.1,88.0,27.0,0.19
2,19,3.6,7.1,5.0,89.0,26.8,0.17
2,20,3.5,7.2,5.1,87.5,27.0,0.14
2,21,3.7,6.7,5.3,87.5,25.9,0.11
2,22,3.1,7.2,5.2,87.5,25.8,0.1
2,23,3.0,7.1,5.0,89.0,26.1,0.11
3,0,4.1,7.2,5.6,89.0,21.6,0.08
3,1,3.9,7.3,5.4,89.0,21.6,0.12
3,2,3.6,7.1,5.4,90.0,21.6,0.08
3,3,3.0,7.0,5.0,89.5,21.6,0.07
3,4,3.1,6.9,5.0,89.5,21.6,0.11
3,5,2.8,7.1,4.8,89.0,21.6,0.1
3,6,2.9,6.7,5.1,90.0,21.6,0.13
3,7,3.9,7.2,5.6,89.0,21.6,0.11
3,8,4.9,8.2,6.4,87.0,23.4,0.12
3,9,5.3,8.5,7.0,84.0,23.4,0.12
3,10,6.0,8.7,7.4,81.5,23.8,0.12
3,11,6.0,9.5,7.8,80.5,23.8,0.12
3,12,6.5,9.7,8.1,81.0,24.0,0.09
3,13,6.5,9.7,8.4,81.0,27.0,0.1
3,14,6.3,9.9,8.2,78.5,25.2,0.1
3,15,6.3,9.8,8.3,79.5,25.2,0.09
3,16,6.0,9.4,7.9,80.5,25.2,0.1
3,17,5.1,8.6,7.2,83.5,23.4,0.11
3,18,4.5,8.2,6.6,86.0,22.2,0.13
3,19,4.5,7.8,6.3,86.5,20.4,0.1
3,20,4.1,7.7,6.0,87.5,22.7,0.1
3,21,4.0,7.5,6.0,87.5,21.6,0.1
3,22,4.1,7.5,5.9,88.5,21.6,0.1
3,23,3.8,7.3,5.7,88.5,21.6,0.09
4,0,5.2,9.1,7.0,85.3,21.6,0.08
4,1,5.0,8.9,6.9,85.3,20.7,0.09
