m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,4.1,8.3,6.3,85.5,31.5,0.25
1,1,1,4.2,8.3,6.2,84.5,33.3,0.19
1,1,2,4.1,8.3,6.2,84.3,31.5,0.16
1,1,3,4.2,8.3,6.2,84.3,33.3,0.19
1,1,4,4.3,8.2,6.2,86.0,33.3,0.17
1,1,5,4.3,8.0,6.0,85.0,31.5,0.17
1,1,6,4.4,8.0,5.9,85.0,33.6,0.16
1,1,7,4.5,7.9,6.2,84.0,31.6,0.2
1,1,8,4.0,7.9,6.0,84.0,31.5,0.13
1,1,9,4.3,8.1,6.1,83.0,32.2,0.1
1,1,10,4.4,8.1,6.4,82.5,32.5,0.1
1,1,11,5.1,8.5,6.6,79.8,31.6,0.09
1,1,12,5.3,8.5,6.7,83.5,30.5,0.09
1,1,13,5.2,8.6,6.5,83.0,30.2,0.14
1,1,14,4.5,8.1,6.3,84.8,30.1,0.17
1,1,15,4.6,8.1,6.1,83.8,29.7,0.19
1,1,16,4.3,8.1,6.0,83.8,31.5,0.18
1,1,17,4.6,8.1,6.2,84.3,29.7,0.2
1,1,18,4.3,8.1,6.2,83.0,30.6,0.14
1,1,19,3.9,8.0,6.2,85.0,28.8,0.13
1,1,20,3.7,8.0,6.2,85.8,32.4,0.1
1,1,21,4.1,8.0,6.1,85.5,30.6,0.13
1,1,22,4.0,7.9,6.2,86.0,32.1,0.19
1,1,23,4.1,8.0,6.0,85.0,31.2,0.21
1,2,0,2.8,7.3,5.4,85.3,30.6,0.07
1,2,1,2.6,7.3,5.0,86.3,29.8,0.1
1,2,2,3.5,7.4,5.2,85.8,29.0,0.16
1,2,3,3.7,7.4,5.4,86.0,28.8,0.13
1,2,4,3.9,6.9,5.2,85.0,31.5,0.12
1,2,5,3.6,7.2,5.2,85.0,30.6,0.11
1,2,6,3.3,7.1,5.2,84.8,31.5,0.17
1,2,7,3.2,6.9,5.2,84.3,32.3,0.11
1,2,8,2.8,7.0,5.0,86.0,32.3,0.1
1,2,9,3.3,7.1,5.2,88.0,31.5,0.19
1,2,10,3.7,7.5,5.5,85.0,31.8,0.14
1,2,11,3.8,7.9,5.7,85.0,32.4,0.09
1,2,12,4.4,8.0,6.2,83.3,32.3,0.11
1,2,13,4.2,7.9,5.9,83.5,29.5,0.1
1,2,14,3.9,7.9,5.6,83.3,31.9,0.11
1,2,15,4.2,7.6,5.8,83.5,32.0,0.1
1,2,16,4.0,7.2,5.7,82.8,33.3,0.09
1,2,17,3.9,7.3,5.6,84.0,30.6,0.09
1,2,18,3.5,7.4,5.4,85.5,29.7,0.11
1,2,19,3.7,7.2,5.4,84.5,32.2,0.11
1,2,20,3.7,7.2,5.4,84.8,31.5,0.09
1,2,21,3.7,7.1,5.4,84.8,30.6,0.07
1,2,22,3.6,6.8,5.4,83.8,28.8,0.13
1,2,23,3.1,6.8,5.4,85.8,31.5,0.1
1,3,0,1.8,6.4,4.3,90.5,23.2,0.15
1,3,1,1.6,6.4,4.2,91.0,23.4,0.14
1,3,2,1.7,6.6,4.4,91.5,25.3,0.12
1,3,3,1.6,6.6,4.2,88.0,27.2,0.09
1,3,4,1.7,6.4,4.1,88.0,28.5,0.09
1,3,5,1.5,6.5,4.1,89.0,30.6,0.14
1,3,6,1.8,6.4,4.3,89.0,30.4,0.13
1,3,7,2.4,6.7,4.4,89.0,30.8,0.1
1,3,8,2.3,6.6,4.2,89.5,27.7,0.13
1,3,9,3.4,7.1,4.8,88.5,29.7,0.16
1,3,10,3.8,7.2,5.0,88.5,30.1,0.08
1,3,11,4.1,7.2,5.0,87.5,32.1,0.1
1,3,12,4.5,7.1,6.1,86.5,30.8,0.1
1,3,13,3.7,7.2,5.8,87.0,28.8,0.05
1,3,14,4.0,7.1,5.2,87.0,32.4,0.06
1,3,15,3.8,7.1,5.0,87.0,28.8,0.04
1,3,16,3.2,6.7,4.9,88.0,29.9,0.1
1,3,17,2.9,6.7,4.8,89.0,31.9,0.12
1,3,18,2.5,6.9,4.7,88.0,31.3,0.12
1,3,19,2.2,6.8,4.7,87.5,30.6,0.16
1,3,20,2.0,6.8,4.2,88.5,29.7,0.14
1,3,21,1.5,6.8,4.3,88.5,28.8,0.14
1,3,22,1.9,6.7,4.4,90.0,25.2,0.14
1,3,23,1.9,6.7,4.4,89.5,24.0,0.14
2,1,0,2.0,7.3,4.8,87.8,28.8,0.08
2,1,1,2.2,7.2,5.1,87.3,30.6,0.11
2,1,2,2.3,7.2,5.0,88.8,28.6,0.07
2,1,3,2.5,7.1,5.1,89.0,31.2,0.09
2,1,4,2.6,7.0,5.1,88.8,30.6,0.09
2,1,5,2.8,6.8,5.2,89.3,28.8,0.09
2,1,6,2.8,7.0,4.9,89.0,28.8,0.06
2,1,7,2.3,6.9,4.7,89.5,29.1,0.06
2,1,8,2.2,6.9,4.8,89.3,29.9,0.13
2,1,9,2.3,7.0,4.7,88.5,31.5,0.18
2,1,10,2.6,7.3,5.0,89.0,30.6,0.15
2,1,11,2.8,7.6,5.2,87.5,29.5,0.17
2,1,12,3.3,7.7,5.5,86.8,29.2,0.11
2,1,13,3.5,7.9,5.7,86.0,28.9,0.17
2,1,14,3.4,7.7,5.5,86.0,30.8,0.14
2,1,15,3.4,7.7,5.6,86.0,30.1,0.19
2,1,16,3.6,7.6,5.5,87.5,29.4,0.14
2,1,17,3.3,7.6,5.2,88.0,29.6,0.11
2,1,18,2.7,7.2,4.9,88.5,28.5,0.07
2,1,19,2.5,7.2,4.9,87.5,28.7,0.11
2,1,20,2.4,7.3,4.9,87.8,28.8,0.09
2,1,21,2.3,7.2,4.8,88.0,28.8,0.09
2,1,22,2.1,7.3,4.8,88.5,28.9,0.07
2,1,23,2.1,7.2,4.8,87.0,28.8,0.1
2,2,0,2.7,7.3,5.2,87.8,27.9,0.08
2,2,1,2.3,7.4,5.3,87.0,29.3,0.1
2,2,2,2.3,7.5,5.2,87.8,29.1,0.13
2,2,3,2.3,7.2,5.1,88.0,30.0,0.12
2,2,4,1.5,7.2,4.8,87.0,29.7,0.13
2,2,5,2.0,7.2,4.9,87.8,33.3,0.14
2,2,6,2.1,7.3,5.1,89.0,31.6,0.16
2,2,7,1.9,7.3,5.1,88.0,32.3,0.1
2,2,8,2.0,7.5,4.9,86.5,32.5,0.14
2,2,9,2.1,7.5,5.3,85.8,31.8,0.14
2,2,10,2.6,7.7,5.8,84.3,32.4,0.11
2,2,11,3.4,7.8,6.0,83.8,32.9,0.13
2,2,12,4.0,8.2,6.4,82.8,34.4,0.11
2,2,13,4.2,8.2,6.6,84.3,32.0,0.09
2,2,14,4.6,8.1,6.9,83.5,30.9,0.1
2,2,15,4.8,8.2,7.0,82.8,30.4,0.15
2,2,16,4.4,7.9,6.7,84.3,30.6,0.12
2,2,17,4.5,7.3,6.7,86.8,29.7,0.14
2,2,18,4.5,7.4,6.7,86.5,27.4,0.14
2,2,19,3.7,7.6,5.9,87.3,25.2,0.13
2,2,20,4.0,7.7,6.5,86.8,27.9,0.11
2,2,21,4.8,7.7,6.3,86.3,29.7,0.09
2,2,22,4.4,7.5,5.9,87.8,29.0,0.1
2,2,23,3.8,7.5,5.7,87.5,27.9,0.13
2,3,0,5.1,7.4,6.8,87.0,31.7,0.11
2,3,1,5.1,7.1,6.5,87.0,28.8,0.09
2,3,2,3.9,7.0,6.3,89.0,32.4,0.12
2,3,3,4.7,6.8,6.2,90.0,30.6,0.16
2,3,4,4.2,6.6,5.9,88.5,30.6,0.03
2,3,5,4.5,6.7,5.7,88.0,28.8,0.14
2,3,6,4.3,6.6,5.4,88.5,25.2,0.1
2,3,7,4.4,6.7,5.6,89.0,23.4,0.13
2,3,8,5.3,7.0,6.1,87.5,24.7,0.14
2,3,9,5.0,7.9,6.7,88.0,27.0,0.13
2,3,10,5.1,8.0,7.1,87.0,30.6,0.13
2,3,11,5.8,8.2,6.9,84.5,28.8,0.19
2,3,12,6.7,7.8,7.3,82.0,32.4,0.14
2,3,13,6.5,8.4,7.0,85.0,25.2,0.18
2,3,14,6.5,8.5,7.2,85.5,25.2,0.19
2,3,15,6.0,8.4,6.9,84.0,27.0,0.17
2,3,16,5.9,7.5,7.2,84.0,25.2,0.16
2,3,17,5.4,7.5,7.1,84.5,28.8,0.18
2,3,18,5.4,7.6,7.2,84.0,23.2,0.09
2,3,19,5.3,7.6,7.1,85.5,27.0,0.06
2,3,20,5.2,7.6,7.1,86.0,27.0,0.05
2,3,21,4.6,7.6,6.7,87.5,27.0,0.08
2,3,22,4.2,7.6,6.3,87.0,28.8,0.08
2,3,23,3.7,7.2,5.4,86.5,27.0,0.08
3,1,0,3.1,7.1,5.1,87.3,23.5,0.13
3,1,1,3.0,7.1,4.9,87.5,21.6,0.1
