m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.6,5.2,7.5,16.3,8.0,0.8,27.0
1,2,1.3,3.4,4.6,14.0,6.0,0.6,17.0
1,3,1.9,3.7,5.4,15.5,7.0,0.61,21.0
2,1,2.0,4.0,7.3,16.6,7.0,0.71,36.0
2,2,2.5,6.2,8.8,16.7,5.0,0.53,20.0
2,3,4.7,8.1,11.6,15.9,5.0,0.6,16.0
3,1,1.1,5.0,9.6,11.9,4.0,0.41,22.0
3,2,2.8,7.0,10.7,16.4,7.0,0.65,22.0
3,3,2.8,7.5,12.4,13.2,5.0,0.46,15.0
4,1,3.6,8.9,13.5,15.0,6.0,0.56,23.0
4,2,4.0,9.1,15.0,12.9,3.0,0.32,7.0
4,3,5.1,10.4,15.9,12.4,4.0,0.43,16.0
5,1,5.4,10.5,16.0,11.4,5.0,0.47,15.0
5,2,7.6,13.7,19.0,11.0,3.0,0.33,13.0
5,3,9.4,14.5,19.9,12.4,4.0,0.39,24.0
6,1,11.4,16.3,21.7,11.6,3.0,0.34,15.0
6,2,12.1,18.1,23.1,10.8,4.0,0.43,11.0
6,3,13.1,19.2,24.2,10.9,4.0,0.36,14.0
7,1,12.3,17.1,21.5,12.3,5.0,0.53,20.0
7,2,13.3,18.1,23.5,9.5,4.0,0.39,12.0
7,3,13.8,20.4,25.6,10.6,4.0,0.39,25.0
8,1,13.2,19.2,25.0,11.0,5.0,0.47,19.0
8,2,14.3,20.3,25.1,10.8,5.0,0.46,17.0
8,3,12.3,18.1,24.2,11.6,5.0,0.43,13.0
9,1,11.5,17.4,22.9,9.4,4.0,0.39,9.0
9,2,10.3,15.2,20.5,11.6,4.0,0.36,13.0
9,3,9.0,13.5,17.6,11.5,5.0,0.54,31.0
10,1,8.5,12.1,16.3,14.3,6.0,0.56,31.0
10,2,7.9,11.7,15.5,12.2,5.0,0.49,22.0
10,3,8.1,11.5,14.4,14.0,7.0,0.65,24.0
11,1,4.9,8.4,11.7,13.9,5.0,0.49,11.0
11,2,4.5,7.3,10.1,13.2,6.0,0.6,26.0
11,3,2.5,4.9,7.2,12.8,6.0,0.64,17.0
12,1,1.8,3.8,5.7,15.1,7.0,0.69,25.0
12,2,2.7,4.6,6.6,14.2,6.0,0.57,20.0
12,3,3.8,6.2,8.6,15.3,8.0,0.74,42.0
