m,coco,coco_pct
10,21.0,0.0
9,7.0,0.105
5,18.0,0.032
9,3.0,0.124
12,25.0,0.0
8,5.0,0.013
4,8.0,0.02
1,5.0,0.055
8,7.0,0.063
2,15.0,0.001
11,17.0,0.009
6,8.0,0.016
9,13.0,0.0
4,3.0,0.106
12,5.0,0.034
2,4.0,0.431
9,12.0,0.0
12,15.0,0.001
3,21.0,0.0
4,17.0,0.018
2,2.0,0.085
10,13.0,0.0
6,19.0,0.0
5,13.0,0.0
3,19.0,0.0
1,27.0,0.0
2,10.0,0.001
8,21.0,0.0
7,5.0,0.005
7,15.0,0.0
3,13.0,0.001
5,17.0,0.02
12,1.0,0.038
6,25.0,0.003
1,12.0,0.002
5,19.0,0.0
12,13.0,0.0
2,7.0,0.181
12,2.0,0.057
3,4.0,0.378
4,15.0,0.0
8,10.0,0.0
7,8.0,0.021
10,19.0,0.0
6,13.0,0.0
11,12.0,0.001
8,17.0,0.022
4,9.0,0.002
5,2.0,0.183
5,1.0,0.156
2,27.0,0.0
4,25.0,0.0
11,2.0,0.101
5,4.0,0.354
8,27.0,0.001
4,10.0,0.0
11,1.0,0.073
10,17.0,0.016
7,7.0,0.105
5,9.0,0.003
10,15.0,0.0
3,2.0,0.093
3,10.0,0.0
11,25.0,0.0
2,17.0,0.013
12,3.0,0.055
8,13.0,0.0
5,8.0,0.013
2,18.0,0.02
11,7.0,0.217
6,15.0,0.0
2,3.0,0.073
6,4.0,0.313
11,9.0,0.005
1,14.0,0.008
10,9.0,0.008
5,14.0,0.0
7,14.0,0.0
7,3.0,0.154
8,9.0,0.003
2,13.0,0.0
3,15.0,0.001
4,13.0,0.0
2,14.0,0.008
6,18.0,0.037
10,27.0,0.0
7,21.0,0.0
10,10.0,0.0
9,5.0,0.034
8,14.0,0.0
7,19.0,0.0
11,8.0,0.021
3,5.0,0.015
9,9.0,0.004
3,25.0,0.0
5,25.0,0.002
8,1.0,0.16
9,25.0,0.003
9,19.0,0.0
11,15.0,0.0
3,3.0,0.066
1,19.0,0.001
12,14.0,0.001
10,5.0,0.04
10,25.0,0.0
7,12.0,0.0
8,19.0,0.0
11,3.0,0.073
12,18.0,0.017
5,3.0,0.138
5,27.0,0.001
3,7.0,0.148
2,21.0,0.0
11,10.0,0.001
6,1.0,0.244
7,25.0,0.002
1,1.0,0.056
8,2.0,0.195
12,19.0,0.0
11,5.0,0.04
12,7.0,0.256
7,10.0,0.0
9,18.0,0.037
11,27.0,0.0
11,14.0,0.0
10,12.0,0.0
3,18.0,0.029
10,3.0,0.104
3,17.0,0.018
12,21.0,0.0
4,14.0,0.002
12,4.0,0.49
9,2.0,0.19
10,4.0,0.414
11,21.0,0.0
6,10.0,0.0
2,1.0,0.13
6,3.0,0.115
2,12.0,0.001
10,8.0,0.031
1,3.0,0.066
11,4.0,0.455
9,8.0,0.023
11,13.0,0.0
4,7.0,0.118
1,25.0,0.0
9,15.0,0.0
10,7.0,0.162
4,27.0,0.0
9,14.0,0.0
5,7.0,0.084
8,18.0,0.052
4,1.0,0.204
7,13.0,0.0
8,3.0,0.168
11,18.0,0.004
6,27.0,0.0
6,21.0,0.0
12,9.0,0.003
12,8.0,0.027
12,10.0,0.001
12,12.0,0.002
3,1.0,0.226
3,9.0,0.002
4,18.0,0.016
1,2.0,0.067
1,4.0,0.483
1,9.0,0.006
12,27.0,0.0
8,25.0,0.003
4,2.0,0.177
4,21.0,0.006
2,9.0,0.015
8,15.0,0.0
6,2.0,0.169
7,1.0,0.148
8,8.0,0.011
5,21.0,0.0
9,27.0,0.003
1,21.0,0.001
2,8.0,0.031
7,4.0,0.349
1,13.0,0.0
4,19.0,0.002
6,14.0,0.0
3,12.0,0.002
9,21.0,0.0
10,14.0,0.0
4,4.0,0.318
7,17.0,0.014
9,17.0,0.013
4,5.0,0.01
6,7.0,0.079
5,15.0,0.0
7,2.0,0.169
5,10.0,0.0
8,12.0,0.0
3,14.0,0.003
1,17.0,0.028
11,19.0,0.0
4,12.0,0.0
9,4.0,0.3
5,5.0,0.014
3,27.0,0.0
9,10.0,0.0
12,17.0,0.019
7,27.0,0.0
6,17.0,0.016
3,8.0,0.021
6,9.0,0.004
10,2.0,0.114
1,18.0,0.012
7,18.0,0.033
2,19.0,0.0
2,25.0,0.0
8,4.0,0.31
1,8.0,0.03
1,10.0,0.002
10,18.0,0.023
1,7.0,0.184
7,9.0,0.001
2,5.0,0.009
6,5.0,0.004
10,1.0,0.088
9,1.0,0.168
5,12.0,0.0
1,15.0,0.0
6,12.0,0.0
