m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,1.9,8.5,5.5,88.3,13.5,0.21
1,1,1,2.0,8.7,5.4,89.8,12.6,0.31
1,1,2,1.8,8.8,5.2,90.0,12.6,0.24
1,1,3,1.8,8.8,5.4,90.0,12.6,0.17
1,1,4,1.6,8.9,5.6,88.8,13.5,0.23
1,1,5,1.8,8.5,5.5,89.3,14.4,0.2
1,1,6,2.0,8.1,5.4,89.8,14.4,0.21
1,1,7,2.1,7.9,5.3,90.0,12.6,0.35
1,1,8,2.6,7.9,5.4,89.0,13.8,0.22
1,1,9,2.8,8.1,5.6,88.8,14.4,0.22
1,1,10,3.2,8.0,5.7,87.3,14.5,0.23
1,1,11,3.5,8.8,6.0,84.3,14.5,0.2
1,1,12,3.7,9.4,6.4,83.3,16.2,0.13
1,1,13,3.8,9.4,6.9,80.8,16.2,0.25
1,1,14,3.9,8.4,6.8,80.5,15.4,0.25
1,1,15,3.9,8.8,6.3,81.8,14.4,0.17
1,1,16,3.5,8.4,5.6,83.5,12.9,0.21
1,1,17,3.1,7.9,5.3,85.8,12.6,0.23
1,1,18,3.2,8.1,5.2,87.3,12.6,0.22
1,1,19,2.6,8.3,5.3,86.8,12.6,0.34
1,1,20,2.6,8.5,5.3,88.0,12.6,0.26
1,1,21,2.6,8.4,5.3,88.5,12.6,0.2
1,1,22,2.3,8.3,5.3,87.5,14.4,0.26
1,1,23,1.9,8.3,5.0,88.5,12.8,0.3
1,2,0,0.6,6.7,3.7,91.0,10.9,0.16
1,2,1,0.7,6.5,3.7,90.5,10.9,0.2
1,2,2,0.7,6.1,3.4,91.3,12.6,0.18
1,2,3,0.6,5.6,3.1,92.8,10.9,0.21
1,2,4,0.1,5.7,3.0,92.5,10.9,0.19
1,2,5,0.0,6.0,2.8,92.5,11.0,0.15
1,2,6,0.3,6.2,3.1,91.8,11.3,0.19
1,2,7,0.2,6.2,3.2,91.5,12.6,0.21
1,2,8,0.6,6.2,3.4,90.8,12.6,0.14
1,2,9,1.2,6.8,3.9,89.8,12.6,0.14
1,2,10,1.7,7.1,4.2,86.5,12.8,0.25
1,2,11,2.4,7.6,5.0,84.8,13.5,0.2
1,2,12,2.6,8.1,5.2,82.3,14.4,0.14
1,2,13,3.0,7.9,5.4,81.0,14.5,0.18
1,2,14,3.2,7.9,5.4,79.5,16.2,0.2
1,2,15,2.6,8.1,5.4,82.0,15.4,0.2
1,2,16,1.7,7.6,4.6,85.5,12.6,0.23
1,2,17,1.5,7.4,4.4,88.3,12.6,0.27
1,2,18,1.5,7.1,4.2,88.3,11.8,0.16
1,2,19,1.1,7.0,4.0,88.3,11.8,0.2
1,2,20,0.6,6.6,3.6,89.8,11.8,0.16
1,2,21,0.5,6.8,3.6,89.5,10.9,0.2
1,2,22,0.4,6.6,3.6,90.0,11.0,0.15
1,2,23,0.6,6.7,3.7,90.0,11.0,0.18
1,3,0,0.9,6.8,3.8,86.0,12.0,0.1
1,3,1,0.8,6.7,3.8,87.5,11.1,0.16
1,3,2,0.7,6.4,3.5,89.5,11.1,0.26
1,3,3,1.2,6.4,3.8,89.5,11.1,0.18
1,3,4,1.3,6.0,3.8,90.5,11.1,0.22
1,3,5,1.4,6.2,3.6,89.0,12.6,0.22
1,3,6,1.4,6.0,3.7,88.0,14.4,0.18
1,3,7,1.2,6.6,3.7,89.5,14.8,0.24
1,3,8,0.6,6.7,3.6,87.5,13.9,0.14
1,3,9,1.7,6.7,3.9,86.0,16.2,0.21
1,3,10,1.8,7.0,4.5,85.5,14.8,0.19
1,3,11,2.2,7.6,5.0,84.5,16.5,0.15
1,3,12,1.9,7.8,5.4,81.0,16.2,0.14
1,3,13,2.1,8.5,5.5,80.5,17.3,0.09
1,3,14,2.1,8.5,5.6,78.0,15.6,0.14
1,3,15,2.0,8.0,5.6,79.0,15.7,0.09
1,3,16,1.6,7.8,5.1,82.0,14.4,0.14
1,3,17,2.0,7.0,4.2,81.5,12.6,0.19
1,3,18,1.3,7.2,3.9,82.5,13.9,0.17
1,3,19,1.3,6.7,3.8,83.5,13.8,0.23
1,3,20,1.4,6.9,3.9,85.0,14.7,0.23
1,3,21,1.3,6.5,3.8,86.5,13.8,0.18
1,3,22,1.4,7.0,3.8,87.0,12.9,0.2
1,3,23,1.4,6.9,3.9,87.0,12.6,0.19
2,1,0,0.2,8.0,4.5,89.3,13.6,0.14
2,1,1,-0.7,8.1,4.4,89.3,14.0,0.13
2,1,2,0.1,8.3,4.4,88.8,14.1,0.18
2,1,3,0.1,8.4,4.2,90.0,12.6,0.13
2,1,4,-0.0,8.0,4.3,89.0,13.8,0.19
2,1,5,-1.0,7.9,4.2,89.0,15.1,0.17
2,1,6,-0.6,7.7,4.4,89.3,14.4,0.14
2,1,7,-0.6,7.7,4.0,88.5,14.6,0.22
2,1,8,0.1,7.7,4.5,87.3,14.7,0.19
2,1,9,1.4,8.1,5.1,86.0,14.5,0.17
2,1,10,1.9,8.3,5.4,83.5,16.8,0.2
2,1,11,3.0,8.9,6.3,82.3,18.1,0.19
2,1,12,3.9,8.9,6.9,80.0,18.0,0.17
2,1,13,4.6,9.2,6.8,80.0,17.1,0.21
2,1,14,4.6,9.5,7.2,80.0,17.3,0.23
2,1,15,4.0,9.3,6.4,79.8,16.3,0.2
2,1,16,4.1,8.9,6.2,80.3,16.2,0.24
2,1,17,2.8,8.4,5.8,84.3,15.1,0.21
2,1,18,2.2,8.5,5.4,86.5,14.1,0.16
2,1,19,2.5,8.3,5.1,87.3,15.3,0.21
2,1,20,1.5,8.1,5.0,88.5,14.6,0.18
2,1,21,0.8,8.0,4.8,88.8,14.5,0.12
2,1,22,1.1,7.9,4.6,88.3,12.9,0.24
2,1,23,1.1,7.9,4.8,88.8,13.5,0.22
2,2,0,2.1,7.9,5.0,85.3,13.5,0.13
2,2,1,1.8,8.1,4.8,84.8,13.7,0.11
2,2,2,2.0,8.1,4.8,86.8,13.8,0.13
2,2,3,1.4,8.2,4.7,86.5,14.2,0.1
2,2,4,2.0,8.2,5.0,85.0,14.7,0.18
2,2,5,1.0,8.6,4.7,84.5,14.5,0.14
2,2,6,1.1,8.7,5.0,86.5,13.7,0.17
2,2,7,1.2,8.8,5.0,86.5,14.8,0.19
2,2,8,3.4,8.7,6.0,85.3,16.2,0.2
2,2,9,4.4,9.1,6.3,82.3,16.8,0.14
2,2,10,4.8,9.5,7.0,78.0,18.0,0.15
2,2,11,5.6,9.8,7.4,75.3,17.8,0.12
2,2,12,5.6,10.4,7.9,73.5,18.9,0.13
2,2,13,6.2,11.1,8.6,71.8,18.1,0.13
2,2,14,5.7,11.5,8.6,71.0,18.0,0.09
2,2,15,5.7,11.7,8.9,71.3,18.2,0.13
2,2,16,6.0,10.9,8.4,73.3,18.1,0.2
