m,coco,coco_pct
9,2.0,0.051
6,4.0,0.473
5,1.0,0.229
4,10.0,0.0
10,19.0,0.0
10,10.0,0.0
4,9.0,0.001
7,3.0,0.089
6,25.0,0.0
5,4.0,0.49
3,7.0,0.045
5,9.0,0.0
4,17.0,0.025
5,8.0,0.083
10,21.0,0.0
5,21.0,0.0
4,14.0,0.008
4,1.0,0.245
10,17.0,0.035
2,2.0,0.028
2,3.0,0.045
11,8.0,0.126
11,25.0,0.0
12,15.0,0.003
9,14.0,0.0
3,26.0,0.0
4,3.0,0.071
3,25.0,0.0
8,13.0,0.0
9,9.0,0.0
5,12.0,0.0
9,8.0,0.097
6,2.0,0.043
8,5.0,0.004
2,13.0,0.0
7,21.0,0.0
6,1.0,0.297
12,17.0,0.046
8,8.0,0.091
8,21.0,0.0
3,15.0,0.004
10,9.0,0.0
10,12.0,0.0
12,9.0,0.0
1,1.0,0.08
4,8.0,0.086
3,5.0,0.007
6,8.0,0.076
1,14.0,0.013
5,15.0,0.0
6,15.0,0.0
7,10.0,0.0
8,17.0,0.034
5,3.0,0.081
10,8.0,0.123
1,9.0,0.002
7,8.0,0.084
5,10.0,0.0
7,14.0,0.0
6,26.0,0.0
2,7.0,0.056
8,3.0,0.082
1,12.0,0.001
10,5.0,0.01
5,7.0,0.031
9,21.0,0.0
10,18.0,0.0
5,13.0,0.0
5,5.0,0.011
9,4.0,0.478
9,12.0,0.0
10,26.0,0.0
11,12.0,0.0
6,18.0,0.0
11,18.0,0.0
2,12.0,0.0
12,1.0,0.074
1,3.0,0.031
10,15.0,0.0
9,13.0,0.0
10,25.0,0.0
7,12.0,0.0
5,18.0,0.001
12,25.0,0.0
8,7.0,0.018
6,7.0,0.019
12,21.0,0.001
12,26.0,0.0
3,19.0,0.0
2,4.0,0.517
7,5.0,0.0
8,15.0,0.0
3,3.0,0.048
10,14.0,0.0
5,17.0,0.029
12,4.0,0.561
7,4.0,0.505
7,13.0,0.0
7,19.0,0.0
12,2.0,0.014
1,4.0,0.528
6,9.0,0.0
8,4.0,0.477
12,14.0,0.001
1,13.0,0.001
4,18.0,0.001
2,9.0,0.0
3,13.0,0.0
3,18.0,0.0
3,21.0,0.001
10,1.0,0.131
3,4.0,0.473
5,19.0,0.0
5,14.0,0.0
9,15.0,0.0
2,19.0,0.0
11,13.0,0.0
1,21.0,0.006
11,19.0,0.0
11,14.0,0.0
4,21.0,0.002
11,4.0,0.536
1,5.0,0.083
2,26.0,0.0
8,25.0,0.0
4,25.0,0.0
12,10.0,0.002
3,1.0,0.241
8,26.0,0.0
9,26.0,0.0
2,10.0,0.0
10,2.0,0.03
1,26.0,0.0
3,17.0,0.03
6,3.0,0.068
11,17.0,0.036
2,1.0,0.169
2,21.0,0.004
12,7.0,0.075
8,1.0,0.236
5,25.0,0.0
6,13.0,0.0
11,9.0,0.0
2,17.0,0.031
2,5.0,0.016
1,15.0,0.013
4,19.0,0.0
11,15.0,0.001
7,26.0,0.0
7,2.0,0.048
4,13.0,0.0
10,13.0,0.0
10,4.0,0.583
6,21.0,0.0
12,18.0,0.0
8,19.0,0.0
7,17.0,0.031
8,18.0,0.0
11,26.0,0.0
9,3.0,0.078
3,12.0,0.0
4,4.0,0.484
4,26.0,0.0
1,17.0,0.034
3,2.0,0.023
11,21.0,0.001
6,10.0,0.0
3,9.0,0.0
11,10.0,0.0
1,19.0,0.0
1,2.0,0.016
8,14.0,0.0
2,25.0,0.0
6,12.0,0.0
1,10.0,0.002
5,26.0,0.0
6,17.0,0.023
11,1.0,0.147
7,25.0,0.0
11,5.0,0.031
4,2.0,0.04
9,5.0,0.01
1,8.0,0.133
3,8.0,0.129
8,12.0,0.0
4,12.0,0.001
9,10.0,0.0
8,9.0,0.0
2,8.0,0.127
7,15.0,0.0
4,7.0,0.033
12,5.0,0.036
3,10.0,0.0
5,2.0,0.044
12,12.0,0.0
4,5.0,0.005
8,10.0,0.0
9,25.0,0.0
1,25.0,0.0
2,18.0,0.0
7,1.0,0.223
9,7.0,0.023
7,9.0,0.0
9,17.0,0.029
1,18.0,0.0
6,5.0,0.001
10,7.0,0.033
9,19.0,0.0
7,18.0,0.0
12,8.0,0.16
11,2.0,0.025
11,3.0,0.047
7,7.0,0.019
9,1.0,0.234
10,3.0,0.056
9,18.0,0.0
6,14.0,0.0
8,2.0,0.058
2,14.0,0.0
11,7.0,0.049
6,19.0,0.0
1,7.0,0.057
12,3.0,0.029
4,15.0,0.0
2,15.0,0.005
12,19.0,0.0
12,13.0,0.0
3,14.0,0.0
