m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,4.3,5.8,7.5,33.0,7.0,0.66,21.0
1,2,3.8,5.6,6.7,32.7,5.0,0.49,12.0
1,3,3.2,4.8,6.9,32.3,6.0,0.56,11.0
2,1,3.5,5.3,7.2,34.0,4.0,0.44,7.0
2,2,4.6,6.1,8.0,33.6,5.0,0.46,10.0
2,3,5.1,7.1,9.0,29.8,4.0,0.4,9.0
3,1,3.8,5.9,7.9,23.8,2.0,0.24,5.0
3,2,5.2,7.0,9.0,34.7,5.0,0.49,6.0
3,3,5.0,7.1,9.7,27.4,5.0,0.45,10.0
4,1,5.6,8.0,10.6,27.4,5.0,0.53,9.0
4,2,6.0,9.0,11.7,26.9,3.0,0.28,1.0
4,3,7.2,9.3,11.7,25.3,3.0,0.3,1.0
5,1,7.7,10.7,13.3,23.5,4.0,0.36,4.0
5,2,9.9,12.9,15.9,21.8,3.0,0.26,2.0
5,3,11.1,13.7,16.5,24.6,3.0,0.3,6.0
6,1,11.6,14.3,17.5,23.3,3.0,0.29,6.0
6,2,13.3,16.0,18.9,22.5,2.0,0.2,1.0
6,3,14.4,16.9,20.2,21.7,3.0,0.25,4.0
7,1,14.0,16.4,18.4,26.0,4.0,0.44,6.0
7,2,15.1,17.4,20.2,20.7,1.0,0.13,0.0
7,3,15.8,18.5,22.1,23.9,4.0,0.32,3.0
8,1,15.6,18.4,20.9,23.5,3.0,0.31,6.0
8,2,16.4,18.9,21.8,24.0,2.0,0.23,1.0
8,3,15.2,18.3,20.8,25.2,3.0,0.24,3.0
9,1,14.9,17.8,20.5,21.6,1.0,0.13,0.0
9,2,13.9,16.0,18.7,25.9,3.0,0.3,6.0
9,3,12.9,15.2,17.3,26.6,5.0,0.45,20.0
10,1,11.3,13.6,15.6,30.4,4.0,0.41,11.0
10,2,10.8,12.7,14.6,27.6,6.0,0.59,12.0
10,3,10.5,12.3,14.3,27.8,5.0,0.46,11.0
11,1,8.0,9.8,11.7,28.5,5.0,0.51,11.0
11,2,7.3,9.0,10.3,28.0,4.0,0.43,16.0
11,3,5.3,7.1,9.0,29.7,8.0,0.8,21.0
12,1,3.9,6.2,8.0,32.6,8.0,0.83,18.0
12,2,4.5,6.4,7.9,26.6,4.0,0.39,11.0
12,3,5.5,7.1,8.5,32.2,8.0,0.73,15.0
