m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,5.8,8.2,10.2,1.5,34.0,0.6
1,1,2,4.9,6.9,8.9,5.9,31.9,0.8
1,1,3,5.0,6.4,7.3,2.9,36.7,0.8
1,1,4,4.1,5.7,7.4,0.5,29.7,0.6
1,1,5,4.9,5.8,8.1,4.1,35.5,0.8
1,1,6,3.9,6.4,7.4,2.0,30.6,0.8
1,1,7,4.4,5.7,6.7,1.1,35.3,0.6
1,1,8,3.6,5.5,7.1,2.1,34.0,0.4
1,1,9,3.6,5.8,7.5,0.7,31.9,0.8
1,1,10,2.5,5.4,8.0,0.6,24.1,0.4
1,2,11,4.1,5.8,7.5,1.0,32.9,0.6
1,2,12,5.6,6.8,8.1,3.0,31.4,0.4
1,2,13,5.9,6.9,7.7,0.2,37.2,0.4
1,2,14,5.2,6.6,8.4,3.9,33.6,0.5
1,2,15,3.8,5.5,6.6,0.7,32.8,0.6
1,2,16,3.4,5.3,6.2,1.1,30.2,0.6
1,2,17,3.7,5.6,6.7,0.7,31.6,0.6
1,2,18,3.4,4.9,6.4,0.1,28.7,0.4
1,2,19,2.7,4.0,5.5,0.4,32.6,0.4
1,2,20,2.9,4.5,5.4,0.6,33.6,0.4
1,3,21,0.9,4.3,7.4,0.4,32.2,0.6
1,3,22,3.2,4.6,5.7,1.1,26.8,0.6
1,3,23,3.8,5.0,5.8,1.0,22.8,0.6
1,3,24,2.2,4.8,6.1,0.2,27.2,0.4
1,3,25,1.2,4.3,6.5,1.5,22.9,0.67
1,3,26,4.4,5.9,7.4,2.1,32.5,0.8
1,3,27,4.5,6.3,7.8,1.2,33.6,0.6
1,3,28,3.9,5.5,6.9,1.3,33.1,0.5
1,3,29,4.0,5.6,7.8,0.3,40.1,0.4
1,3,30,3.2,4.1,5.5,0.2,35.7,0.4
1,3,31,2.9,4.3,6.9,1.5,32.3,0.6
2,1,1,3.0,3.8,5.4,0.0,33.6,0.2
2,1,2,3.2,4.8,6.3,0.8,25.5,0.4
2,1,3,4.2,6.2,7.5,0.1,31.1,0.4
2,1,4,4.3,5.4,7.2,0.5,29.8,0.8
2,1,5,4.7,6.1,8.1,1.3,35.0,0.6
2,1,6,2.7,6.0,7.5,2.8,34.5,0.6
2,1,7,1.5,4.7,5.9,0.0,34.3,0.2
2,1,8,2.6,5.1,7.1,0.5,38.6,0.4
2,1,9,4.2,5.9,7.6,0.6,41.1,0.4
2,1,10,3.8,5.1,6.6,0.7,29.7,0.4
2,2,11,3.7,4.5,5.2,2.1,31.5,0.4
2,2,12,2.7,3.9,4.9,0.0,26.7,0.2
2,2,13,2.9,4.3,5.7,0.2,25.7,0.4
2,2,14,3.4,4.7,6.4,0.7,24.7,0.4
2,2,15,4.7,5.9,8.3,2.2,28.2,0.6
2,2,16,4.5,6.6,9.0,1.1,37.4,0.8
2,2,17,5.7,7.2,9.1,0.0,38.0,0.2
2,2,18,5.7,7.0,8.7,3.0,40.7,0.83
2,2,19,4.6,6.2,7.6,0.3,35.6,0.6
2,2,20,5.4,7.5,9.4,0.0,40.2,0.2
2,3,21,6.4,7.7,9.0,2.1,38.3,0.4
2,3,22,6.3,7.8,9.7,1.3,29.8,0.6
2,3,23,5.7,7.1,8.4,0.0,32.7,0.2
2,3,24,5.1,7.1,9.4,5.3,34.7,0.8
2,3,25,3.5,6.0,9.4,0.0,28.1,0.2
2,3,26,3.4,5.7,8.1,0.0,25.2,0.2
2,3,27,3.0,5.2,7.5,0.0,20.7,0.2
2,3,28,2.9,6.0,8.1,0.0,20.7,0.0
2,3,29,6.6,8.2,9.8,0.3,42.2,1.0
3,1,1,3.9,5.8,7.3,0.2,21.1,0.4
3,1,2,3.7,5.8,8.5,0.0,23.2,0.2
3,1,3,4.7,7.0,9.0,0.0,22.5,0.0
3,1,4,2.5,5.4,8.1,0.0,22.0,0.0
3,1,5,2.4,5.2,7.6,0.0,24.3,0.2
3,1,6,3.3,5.8,7.4,0.5,22.7,0.4
3,1,7,3.7,6.1,7.7,0.0,25.3,0.2
3,1,8,4.1,6.6,7.8,0.0,29.3,0.2
3,1,9,4.5,6.2,8.0,0.7,26.2,0.4
3,1,10,3.8,6.0,8.6,3.9,31.7,0.4
3,2,11,5.1,6.8,8.8,0.6,40.2,0.4
3,2,12,5.5,7.0,8.7,0.5,37.6,0.75
3,2,13,5.7,8.0,9.7,1.4,44.2,0.5
3,2,14,3.8,7.1,9.0,0.4,32.4,0.5
3,2,15,5.8,7.3,10.0,0.0,34.8,0.25
3,2,16,4.9,6.8,8.3,1.5,34.5,0.75
3,2,17,5.3,7.0,8.7,1.4,38.3,0.75
3,2,18,5.3,7.5,9.4,0.0,28.8,0.25
3,2,19,4.0,6.3,9.1,0.0,25.0,0.0
3,2,20,4.4,6.3,9.0,0.5,24.7,0.75
3,3,21,5.0,6.9,9.2,0.0,28.8,0.2
3,3,22,5.6,7.1,9.3,1.1,27.4,0.5
3,3,23,5.7,7.7,10.2,0.3,30.7,0.5
3,3,24,4.5,6.8,10.0,1.0,29.6,0.5
3,3,25,4.7,7.1,9.5,0.0,29.2,0.25
3,3,26,4.6,7.1,10.0,0.0,20.5,0.25
3,3,27,4.8,6.9,9.1,0.0,27.3,0.25
3,3,28,5.6,7.2,9.1,0.8,26.7,0.75
3,3,29,5.8,7.1,9.7,0.1,29.1,0.5
3,3,30,5.1,8.1,10.7,1.5,23.3,0.5
3,3,31,3.9,7.3,9.8,4.7,21.9,0.75
4,1,1,4.7,6.3,9.0,1.4,26.3,0.75
4,1,2,3.9,7.1,10.0,0.0,27.6,0.0
4,1,3,5.1,7.8,9.5,0.1,25.3,0.4
4,1,4,5.7,7.6,10.1,1.8,22.9,0.5
4,1,5,3.9,7.9,11.1,1.9,27.0,0.6
4,1,6,5.6,9.4,13.4,2.9,37.2,0.75
4,1,7,7.3,10.3,13.0,0.5,34.0,0.75
4,1,8,5.5,8.8,12.6,0.1,27.2,0.5
4,1,9,5.9,8.0,11.1,0.2,27.8,0.5
4,1,10,6.3,8.2,10.2,0.1,28.0,0.5
4,2,11,5.6,8.4,11.2,0.0,30.0,0.25
4,2,12,5.9,8.3,12.0,0.5,26.4,0.5
4,2,13,7.2,8.9,10.8,0.1,32.2,0.5
4,2,14,5.7,7.9,10.4,0.0,20.4,0.25
4,2,15,5.4,8.4,11.4,0.0,23.5,0.25
4,2,16,4.9,9.1,11.3,0.0,28.9,0.25
4,2,17,6.1,9.5,12.9,0.0,22.5,0.0
4,2,18,6.8,10.4,13.9,0.0,22.8,0.25
4,2,19,8.2,11.4,14.9,0.0,28.6,0.25
4,2,20,7.3,10.6,13.8,0.0,27.3,0.25
4,3,21,7.2,9.8,13.2,0.1,27.6,0.5
4,3,22,7.8,11.2,15.4,0.0,29.2,0.25
4,3,23,7.2,9.9,13.7,0.6,26.6,0.5
4,3,24,7.1,8.9,11.1,0.5,29.6,0.5
4,3,25,6.9,8.4,10.5,0.0,29.5,0.25
4,3,26,6.2,8.3,10.4,0.0,20.4,0.25
4,3,27,5.6,9.2,12.3,0.0,18.0,0.25
4,3,28,7.7,9.4,11.1,0.0,24.0,0.2
4,3,29,7.4,9.1,11.5,0.0,19.1,0.25
4,3,30,7.2,9.5,11.8,0.0,24.0,0.0
5,1,1,8.1,9.7,11.6,0.0,23.8,0.25
5,1,2,7.2,9.7,13.1,0.0,27.0,0.25
5,1,3,6.8,9.4,11.5,0.4,23.5,0.5
5,1,4,6.5,9.7,12.6,0.0,23.4,0.25
5,1,5,7.0,10.4,12.6,1.5,24.1,0.75
5,1,6,6.7,10.9,14.4,0.0,17.1,0.0
5,1,7,8.7,11.7,15.0,0.4,16.1,0.4
5,1,8,8.6,11.7,15.6,0.0,22.2,0.25
5,1,9,8.9,12.9,17.0,1.1,17.8,0.4
5,1,10,8.9,12.0,13.5,0.1,24.3,0.5
5,2,11,8.4,10.7,14.2,1.5,26.1,0.6
5,2,12,10.1,13.2,16.3,0.0,25.0,0.25
5,2,13,9.0,11.1,14.5,0.0,25.8,0.0
5,2,14,7.7,11.4,14.0,0.0,20.4,0.0
5,2,15,9.2,12.5,16.2,0.2,18.8,0.5
5,2,16,10.5,13.2,16.9,0.0,26.5,0.25
5,2,17,9.7,12.6,15.9,0.4,22.0,0.5
5,2,18,10.6,13.1,15.7,0.0,19.3,0.0
5,2,19,10.3,13.4,15.8,0.0,18.7,0.0
5,2,20,10.3,13.2,16.1,0.2,21.5,0.5
5,3,21,11.8,14.4,16.7,0.0,29.1,0.25
5,3,22,11.7,14.0,16.7,4.0,27.3,0.75
5,3,23,11.4,13.5,15.8,0.0,29.6,0.25
