m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,3.0,7.5,5.4,85.0,28.8,0.21
1,1,3.0,7.6,5.3,84.0,27.6,0.23
1,2,3.1,7.5,5.4,84.5,29.9,0.2
1,3,3.0,7.5,5.3,84.0,28.8,0.2
1,4,3.1,7.3,5.4,84.5,30.3,0.23
1,5,3.0,7.2,5.2,84.5,30.6,0.23
1,6,2.9,7.2,5.1,85.0,30.3,0.23
1,7,3.1,7.2,5.2,84.5,29.4,0.23
1,8,3.0,7.2,5.4,87.0,30.6,0.18
1,9,3.7,7.5,5.6,84.0,30.4,0.22
1,10,3.7,7.7,5.7,83.0,30.6,0.21
1,11,4.1,8.0,6.2,81.5,29.7,0.19
1,12,4.3,8.1,6.3,81.0,30.6,0.18
1,13,4.9,8.5,6.6,80.0,30.6,0.21
1,14,4.5,8.1,6.5,81.0,30.6,0.18
1,15,4.3,8.1,5.9,82.0,28.8,0.22
1,16,4.2,7.9,5.8,82.5,28.8,0.2
1,17,4.1,7.8,5.6,82.5,29.6,0.2
1,18,3.7,7.7,5.7,82.5,28.8,0.26
1,19,3.7,7.5,5.6,83.5,28.8,0.23
1,20,3.8,7.6,5.5,84.0,28.8,0.21
1,21,3.1,7.5,5.3,84.0,28.8,0.25
1,22,3.2,7.5,5.3,83.5,27.0,0.23
1,23,3.0,7.5,5.2,84.5,28.8,0.23
2,0,3.4,8.0,5.7,84.5,28.8,0.16
2,1,3.2,8.0,5.4,85.0,30.6,0.18
2,2,3.0,8.0,5.4,85.5,28.8,0.18
2,3,3.2,7.9,5.6,86.0,30.4,0.2
2,4,3.2,8.0,5.4,85.5,30.1,0.17
2,5,3.3,7.8,5.8,85.0,30.1,0.2
2,6,3.3,7.7,5.6,85.5,30.6,0.16
2,7,3.4,7.5,5.5,86.5,30.4,0.21
2,8,3.2,7.3,5.5,88.5,29.7,0.19
2,9,4.1,8.3,6.1,82.5,30.6,0.2
2,10,5.0,8.7,6.5,83.0,30.6,0.2
2,11,5.6,8.9,7.1,82.0,29.7,0.22
2,12,6.0,9.0,7.4,81.5,29.7,0.24
2,13,6.1,9.1,7.4,79.5,29.0,0.21
2,14,6.2,8.7,7.4,79.5,27.9,0.21
2,15,6.0,9.0,7.3,79.5,29.0,0.22
2,16,5.5,8.7,6.8,82.5,28.8,0.27
2,17,5.0,8.2,6.3,82.5,29.0,0.25
2,18,4.6,8.0,6.1,82.5,28.5,0.31
2,19,4.2,8.1,5.9,82.5,27.0,0.25
2,20,4.5,7.9,6.1,83.5,28.6,0.23
