m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,3.7,8.8,6.6,84.8,30.6,0.32
1,1,1,4.0,8.8,6.6,84.0,31.5,0.3
1,1,2,4.3,8.5,6.5,84.8,31.8,0.23
1,1,3,4.1,8.5,6.3,84.8,32.3,0.29
1,1,4,3.9,8.6,6.2,85.3,30.6,0.22
1,1,5,3.7,8.2,6.0,86.0,30.6,0.29
1,1,6,3.8,8.2,6.0,85.0,31.5,0.27
1,1,7,3.9,8.1,6.0,84.8,30.9,0.31
1,1,8,3.6,7.9,5.8,86.3,30.6,0.2
1,1,9,4.2,8.1,6.0,83.5,30.7,0.29
1,1,10,4.6,8.1,6.3,83.5,34.1,0.29
1,1,11,4.6,8.5,6.5,82.8,30.7,0.27
1,1,12,5.0,8.7,6.7,82.0,30.6,0.29
1,1,13,5.0,8.9,6.9,81.0,30.6,0.3
1,1,14,4.9,8.8,6.7,81.0,30.6,0.29
1,1,15,4.7,8.6,6.5,81.5,29.1,0.31
1,1,16,4.6,8.4,6.2,80.8,28.8,0.27
1,1,17,4.4,8.2,6.3,80.3,30.6,0.25
1,1,18,3.9,8.2,5.9,82.3,29.7,0.36
1,1,19,4.0,8.2,6.0,82.0,28.8,0.27
1,1,20,3.9,8.3,6.2,83.8,29.3,0.24
1,1,21,3.5,8.2,5.9,84.3,29.2,0.35
1,1,22,3.4,8.5,5.9,84.5,28.1,0.32
1,1,23,3.6,8.3,5.9,84.8,29.7,0.37
1,2,0,2.4,7.4,4.9,83.5,27.5,0.16
1,2,1,2.6,7.7,5.1,82.8,27.5,0.19
1,2,2,2.8,7.5,5.2,84.0,29.7,0.16
1,2,3,2.7,7.4,5.2,82.8,28.7,0.16
1,2,4,2.5,7.1,4.8,82.8,29.2,0.22
1,2,5,2.7,7.1,4.9,84.0,29.4,0.2
1,2,6,2.8,7.1,4.8,82.8,29.6,0.19
1,2,7,2.9,7.0,4.9,83.3,29.2,0.17
1,2,8,3.2,7.1,5.1,85.8,31.5,0.17
1,2,9,3.3,7.4,5.1,84.0,28.8,0.18
1,2,10,3.6,7.7,5.4,82.0,30.6,0.19
1,2,11,4.0,8.1,5.7,81.0,28.8,0.19
1,2,12,4.0,8.1,6.0,80.0,30.6,0.18
1,2,13,4.4,8.3,6.4,79.3,30.3,0.2
1,2,14,4.3,8.0,6.3,80.8,29.5,0.17
1,2,15,4.0,7.9,5.9,81.8,28.3,0.23
1,2,16,3.8,7.6,5.8,82.0,27.9,0.23
1,2,17,3.4,7.7,5.6,82.3,30.5,0.23
1,2,18,3.4,7.7,5.5,82.5,29.7,0.3
1,2,19,3.3,7.7,5.5,83.0,28.0,0.27
1,2,20,3.2,7.6,5.4,83.5,28.5,0.22
1,2,21,2.7,7.5,5.2,82.3,28.8,0.19
1,2,22,3.1,7.4,5.3,82.5,27.0,0.17
1,2,23,2.4,7.3,4.9,83.0,28.8,0.13
1,3,0,2.4,7.1,5.0,86.5,25.2,0.15
1,3,1,2.4,7.0,4.8,86.0,27.0,0.2
1,3,2,2.7,7.1,4.8,86.5,25.9,0.22
1,3,3,2.8,7.1,4.6,85.0,26.3,0.16
1,3,4,2.3,6.8,4.5,86.5,26.7,0.25
1,3,5,2.1,6.8,4.4,86.0,27.9,0.19
1,3,6,1.9,7.0,4.3,87.0,29.5,0.22
