m,coco,coco_pct
2,14.0,0.007
6,10.0,0.0
10,7.0,0.146
1,13.0,0.0
12,1.0,0.044
6,18.0,0.029
5,21.0,0.0
8,25.0,0.0
8,21.0,0.0
4,13.0,0.001
7,25.0,0.0
12,9.0,0.002
9,4.0,0.271
10,10.0,0.0
1,7.0,0.177
8,17.0,0.014
3,18.0,0.006
7,10.0,0.0
1,18.0,0.009
12,3.0,0.056
11,14.0,0.0
4,15.0,0.0
5,4.0,0.334
1,15.0,0.0
10,25.0,0.0
10,17.0,0.012
2,4.0,0.44
6,14.0,0.0
11,15.0,0.0
4,5.0,0.002
5,9.0,0.0
2,3.0,0.062
3,4.0,0.381
10,18.0,0.032
9,5.0,0.0
3,15.0,0.0
11,9.0,0.003
2,8.0,0.024
12,17.0,0.022
6,12.0,0.0
12,15.0,0.0
7,17.0,0.009
1,10.0,0.0
12,21.0,0.0
2,25.0,0.0
8,13.0,0.0
1,3.0,0.068
9,12.0,0.0
7,13.0,0.0
6,21.0,0.0
7,3.0,0.141
4,12.0,0.0
11,8.0,0.017
2,27.0,0.0
8,3.0,0.156
5,12.0,0.0
11,1.0,0.065
5,25.0,0.001
9,3.0,0.14
11,4.0,0.461
10,4.0,0.406
2,15.0,0.001
12,18.0,0.024
5,5.0,0.003
11,7.0,0.195
9,27.0,0.0
5,17.0,0.021
6,2.0,0.178
3,5.0,0.007
3,3.0,0.069
8,2.0,0.218
8,1.0,0.181
10,14.0,0.0
6,19.0,0.0
5,10.0,0.0
7,5.0,0.0
11,25.0,0.0
7,4.0,0.339
4,19.0,0.001
3,19.0,0.0
6,8.0,0.022
1,19.0,0.0
7,9.0,0.003
7,8.0,0.016
4,8.0,0.006
8,4.0,0.319
2,13.0,0.001
9,21.0,0.0
12,5.0,0.033
5,3.0,0.12
3,25.0,0.0
10,2.0,0.16
11,18.0,0.026
9,19.0,0.0
2,12.0,0.001
1,25.0,0.0
3,10.0,0.0
12,14.0,0.0
3,13.0,0.0
2,10.0,0.001
6,27.0,0.0
1,17.0,0.016
7,2.0,0.204
10,21.0,0.0
1,14.0,0.002
9,15.0,0.0
8,27.0,0.0
11,27.0,0.0
6,3.0,0.093
11,10.0,0.0
5,14.0,0.0
10,1.0,0.091
9,7.0,0.11
10,27.0,0.0
11,19.0,0.0
12,10.0,0.0
9,8.0,0.022
11,2.0,0.116
3,1.0,0.229
7,1.0,0.174
10,12.0,0.0
6,1.0,0.286
1,9.0,0.003
12,12.0,0.001
1,4.0,0.517
6,4.0,0.285
11,5.0,0.013
4,10.0,0.0
8,12.0,0.0
11,17.0,0.015
7,14.0,0.0
12,27.0,0.0
4,9.0,0.0
4,14.0,0.001
5,7.0,0.09
2,7.0,0.174
2,18.0,0.008
7,21.0,0.0
6,7.0,0.09
12,7.0,0.221
9,14.0,0.0
5,1.0,0.19
6,5.0,0.002
3,8.0,0.016
10,9.0,0.004
7,19.0,0.0
4,7.0,0.128
4,17.0,0.008
5,18.0,0.012
4,3.0,0.098
4,18.0,0.007
12,19.0,0.0
11,21.0,0.0
6,17.0,0.013
3,14.0,0.001
8,15.0,0.0
8,5.0,0.0
5,2.0,0.218
8,7.0,0.054
3,17.0,0.012
5,8.0,0.011
8,14.0,0.0
5,13.0,0.0
6,15.0,0.0
6,9.0,0.002
10,8.0,0.023
7,12.0,0.0
7,18.0,0.014
1,21.0,0.001
12,8.0,0.022
7,15.0,0.0
1,5.0,0.041
2,5.0,0.009
8,19.0,0.0
2,17.0,0.006
3,7.0,0.171
2,1.0,0.139
9,17.0,0.013
5,15.0,0.0
6,13.0,0.0
2,9.0,0.003
1,2.0,0.076
9,9.0,0.003
4,1.0,0.237
1,1.0,0.062
10,19.0,0.0
9,13.0,0.0
1,12.0,0.005
11,3.0,0.088
7,27.0,0.0
9,18.0,0.049
11,12.0,0.0
9,25.0,0.0
7,7.0,0.1
2,19.0,0.0
4,4.0,0.309
6,25.0,0.0
3,27.0,0.0
9,10.0,0.0
3,12.0,0.001
4,21.0,0.001
1,27.0,0.0
8,10.0,0.0
2,21.0,0.0
4,25.0,0.0
5,19.0,0.0
11,13.0,0.0
12,25.0,0.0
3,21.0,0.0
10,5.0,0.0
10,13.0,0.0
8,9.0,0.001
2,2.0,0.125
5,27.0,0.001
3,2.0,0.108
4,27.0,0.0
12,4.0,0.506
12,2.0,0.07
3,9.0,0.0
8,18.0,0.04
9,2.0,0.214
10,15.0,0.0
10,3.0,0.126
8,8.0,0.016
1,8.0,0.023
4,2.0,0.203
9,1.0,0.178
12,13.0,0.0
