m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,25.6,26.7,26.1,79.0,19.8,0.07
1,1,25.5,26.5,26.1,79.5,19.8,0.09
1,2,25.2,26.5,25.9,80.5,19.8,0.06
1,3,25.2,26.5,25.9,80.5,19.8,0.08
1,4,25.0,26.5,25.7,80.5,19.8,0.12
1,5,25.0,26.2,25.7,81.0,19.8,0.15
1,6,25.0,26.2,25.6,81.0,18.3,0.17
1,7,24.7,26.0,25.5,81.5,18.0,0.18
1,8,24.7,26.1,25.4,81.5,18.0,0.23
1,9,24.5,26.0,25.3,83.0,18.0,0.21
1,10,24.5,26.0,25.4,82.5,18.0,0.26
1,11,24.5,26.2,25.5,81.0,18.0,0.32
1,12,26.0,27.1,26.6,77.5,21.6,0.28
1,13,27.0,28.2,27.7,72.0,26.4,0.25
1,14,28.0,29.0,28.5,69.5,27.0,0.23
1,15,28.2,29.7,28.9,68.0,27.2,0.24
1,16,28.6,30.0,29.3,66.5,27.2,0.32
1,17,28.6,30.0,29.3,66.0,27.0,0.38
1,18,28.7,30.0,29.1,66.0,27.0,0.32
1,19,28.5,29.5,28.9,67.5,26.8,0.25
1,20,27.7,29.0,28.4,69.0,25.2,0.18
1,21,27.2,28.2,27.7,71.5,25.2,0.1
1,22,26.5,27.2,26.9,75.0,23.4,0.06
1,23,25.7,27.0,26.3,77.5,21.6,0.05
2,0,25.6,26.7,26.1,77.0,23.4,0.11
2,1,25.5,26.7,26.1,78.5,21.6,0.1
2,2,25.5,26.6,26.0,78.5,23.4,0.06
2,3,25.2,26.5,25.9,79.0,21.6,0.06
2,4,25.1,26.5,25.9,79.5,21.6,0.08
2,5,25.1,26.2,25.7,79.0,21.6,0.15
2,6,25.0,26.2,25.6,79.5,21.6,0.14
2,7,25.0,26.2,25.5,80.0,19.8,0.14
2,8,24.7,26.1,25.4,80.0,19.8,0.24
2,9,24.5,26.0,25.3,80.5,19.8,0.15
2,10,24.5,26.0,25.3,80.5,19.8,0.17
2,11,24.7,26.0,25.4,80.5,19.8,0.25
2,12,26.0,27.0,26.5,76.0,23.4,0.11
2,13,27.0,28.1,27.6,71.5,27.2,0.15
2,14,27.7,29.0,28.4,68.5,28.8,0.21
2,15,28.2,29.5,28.9,66.5,30.6,0.18
2,16,28.2,29.7,29.1,64.5,28.8,0.3
2,17,28.7,30.0,29.4,64.0,28.8,0.31
2,18,28.5,29.7,29.1,63.5,28.8,0.36
2,19,28.2,29.6,29.0,64.5,28.8,0.26
2,20,28.0,29.1,28.6,66.0,28.8,0.2
2,21,27.2,28.5,28.0,69.0,28.8,0.1
2,22,26.6,27.6,27.1,72.5,26.5,0.07
2,23,26.0,26.7,26.3,76.5,23.4,0.06
3,0,26.0,26.7,26.3,76.5,25.2,0.03
3,1,26.0,26.6,26.3,77.5,23.4,0.02
3,2,25.7,26.5,26.1,78.5,23.4,0.02
3,3,25.7,26.5,26.1,78.5,23.4,0.03
3,4,25.5,26.2,25.9,79.0,23.4,0.04
3,5,25.2,26.2,25.8,79.5,21.6,0.06
3,6,25.1,26.1,25.6,80.0,21.6,0.09
3,7,25.1,26.0,25.6,80.0,21.6,0.11
3,8,25.0,26.0,25.6,80.0,21.6,0.13
3,9,25.0,26.0,25.5,80.5,21.6,0.21
3,10,25.0,26.0,25.5,80.0,19.8,0.14
3,11,25.0,26.1,25.6,79.5,21.6,0.16
3,12,26.2,27.2,26.8,74.5,25.2,0.13
3,13,27.5,28.2,27.9,70.5,28.8,0.13
3,14,28.0,29.1,28.6,66.5,28.8,0.08
3,15,28.7,29.7,29.2,65.0,30.6,0.11
3,16,29.0,30.0,29.5,64.0,30.6,0.24
3,17,29.1,30.2,29.6,63.0,30.6,0.26
3,18,29.0,30.0,29.5,62.5,30.6,0.22
3,19,28.7,29.7,29.3,63.5,30.1,0.17
3,20,28.2,29.5,28.9,66.0,28.8,0.07
3,21,27.7,28.6,28.1,68.0,28.8,0.02
3,22,27.0,27.6,27.4,72.0,27.0,0.01
3,23,26.2,26.7,26.5,75.5,25.2,0.03
4,0,26.5,27.2,26.9,78.8,25.2,0.01
4,1,26.4,27.2,26.8,79.5,25.2,0.01
4,2,26.2,27.1,26.8,80.0,25.2,0.02
4,3,26.2,27.1,26.7,80.0,23.4,0.01
4,4,26.1,27.0,26.6,80.5,23.4,0.04
4,5,26.0,27.0,26.5,80.5,23.4,0.06
4,6,26.0,27.0,26.4,81.0,21.6,0.0
4,7,26.0,27.0,26.4,81.0,21.6,0.07
4,8,26.0,26.7,26.4,80.8,21.6,0.09
4,9,25.9,26.7,26.3,81.3,21.7,0.07
4,10,25.7,26.7,26.3,80.8,21.6,0.07
4,11,26.2,27.1,26.6,79.5,22.8,0.05
4,12,27.2,28.1,27.7,74.8,27.0,0.09
4,13,28.0,29.1,28.6,70.5,30.1,0.08
4,14,28.7,29.7,29.3,67.8,30.6,0.12
4,15,29.2,30.2,29.7,66.0,30.6,0.14
4,16,29.6,30.7,30.1,64.5,30.6,0.14
4,17,29.9,30.7,30.4,64.0,30.6,0.14
4,18,29.5,30.7,30.1,65.0,30.6,0.09
4,19,29.2,30.5,29.8,65.0,29.1,0.06
4,20,28.7,30.0,29.4,67.5,30.0,0.06
4,21,28.1,29.2,28.6,69.8,30.1,0.01
4,22,27.2,28.2,27.8,74.0,28.8,0.01
4,23,26.6,27.5,27.1,77.8,27.0,0.01
5,0,27.0,27.6,27.3,80.0,28.8,0.0
5,1,27.0,27.6,27.3,81.0,27.0,0.03
5,2,27.0,27.6,27.3,81.5,27.0,0.04
5,3,27.0,27.5,27.2,81.5,27.0,0.03
5,4,27.0,27.5,27.2,81.5,27.0,0.05
5,5,26.7,27.5,27.1,82.0,26.5,0.06
5,6,26.7,27.2,27.0,82.0,25.5,0.04
5,7,26.7,27.2,27.0,81.5,25.2,0.09
5,8,26.7,27.2,27.0,81.5,25.2,0.1
5,9,26.6,27.2,26.9,81.5,25.2,0.08
5,10,26.6,27.2,26.9,81.5,25.2,0.14
