m,m3,coco,coco_pct
6,3,1.0,0.01
6,2,3.0,0.115
3,2,3.0,0.063
8,3,9.0,0.0
8,2,2.0,0.855
7,1,2.0,0.841
11,3,8.0,0.001
4,1,18.0,0.01
2,2,17.0,0.051
10,1,17.0,0.022
3,1,9.0,0.0
3,1,4.0,0.0
7,3,8.0,0.0
2,1,25.0,0.002
5,2,17.0,0.003
6,1,3.0,0.183
12,3,25.0,0.0
8,3,26.0,0.0
3,3,2.0,0.907
2,3,18.0,0.034
9,3,3.0,0.043
2,1,2.0,0.83
1,3,26.0,0.0
6,1,2.0,0.773
4,1,9.0,0.0
10,1,18.0,0.057
8,2,4.0,0.0
4,3,18.0,0.027
7,1,27.0,0.001
4,3,4.0,0.001
5,2,9.0,0.0
7,1,7.0,0.001
4,3,7.0,0.001
2,1,1.0,0.034
10,3,27.0,0.001
9,2,3.0,0.028
7,3,3.0,0.043
9,2,26.0,0.0
2,3,8.0,0.001
11,1,3.0,0.11
10,3,1.0,0.007
12,2,3.0,0.03
6,2,26.0,0.0
7,1,25.0,0.001
7,1,18.0,0.038
1,1,27.0,0.0
11,1,26.0,0.0
7,1,1.0,0.015
2,2,25.0,0.0
11,2,7.0,0.013
2,2,4.0,0.002
8,3,27.0,0.0
4,2,26.0,0.0
1,2,18.0,0.027
11,1,9.0,0.005
3,1,3.0,0.041
10,1,1.0,0.008
8,2,18.0,0.053
11,3,4.0,0.001
2,3,25.0,0.0
3,1,17.0,0.025
5,3,17.0,0.002
5,3,27.0,0.0
8,2,27.0,0.0
6,2,9.0,0.0
3,1,1.0,0.024
11,3,7.0,0.002
7,1,26.0,0.001
4,2,27.0,0.0
4,3,1.0,0.01
3,1,25.0,0.0
5,1,9.0,0.0
8,1,9.0,0.0
6,3,9.0,0.0
6,2,1.0,0.008
5,3,3.0,0.212
11,2,9.0,0.0
8,3,18.0,0.072
12,3,8.0,0.001
11,2,2.0,0.685
1,3,7.0,0.001
9,3,27.0,0.0
4,2,25.0,0.0
9,3,2.0,0.859
4,1,7.0,0.0
11,1,17.0,0.044
6,1,25.0,0.0
2,3,9.0,0.0
4,3,26.0,0.0
3,3,27.0,0.0
9,1,8.0,0.0
1,3,2.0,0.903
2,1,7.0,0.002
11,3,18.0,0.105
12,1,26.0,0.0
11,3,25.0,0.002
