m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,25.5,27.4,30.1,2.2,21.5,1.0
1,1,2,24.6,26.9,29.7,1.8,22.5,0.67
1,1,3,25.5,27.3,29.5,4.6,20.0,1.0
1,1,4,25.5,26.8,29.3,2.0,18.6,1.0
1,1,5,25.2,26.7,29.2,1.4,17.8,0.67
1,1,6,25.5,27.0,29.5,1.0,17.8,1.0
1,1,7,25.5,27.4,29.6,0.2,20.4,0.67
1,1,8,25.5,27.3,29.9,1.4,19.5,0.67
1,1,9,24.5,26.9,29.5,2.1,19.5,0.67
1,1,10,24.5,27.1,30.0,0.0,19.6,0.33
1,2,11,25.0,26.8,29.5,0.6,20.4,0.67
1,2,12,25.7,27.3,29.5,0.3,20.4,0.67
1,2,13,24.8,26.9,29.6,0.4,19.1,1.0
1,2,14,23.5,26.3,29.1,2.0,16.7,0.67
1,2,15,24.7,27.1,29.5,0.6,18.7,0.67
1,2,16,25.0,26.7,29.3,0.7,19.3,1.0
1,2,17,25.0,26.8,29.5,0.8,19.7,1.0
1,2,18,25.0,27.0,29.5,0.5,20.5,0.67
1,2,19,25.0,27.1,29.5,1.8,21.6,0.67
1,2,20,25.0,26.7,29.5,1.5,22.6,0.67
1,3,21,25.0,26.9,29.7,1.1,21.3,1.0
1,3,22,24.8,27.0,30.0,1.1,21.0,1.0
1,3,23,24.5,26.6,28.8,1.6,24.0,0.67
1,3,24,25.0,26.9,29.7,0.5,21.5,0.67
1,3,25,24.6,26.8,29.5,0.0,20.7,0.33
1,3,26,25.0,27.1,29.7,0.7,21.7,1.0
1,3,27,25.0,26.8,29.6,0.0,20.0,0.33
1,3,28,23.5,26.6,29.7,0.1,17.0,0.5
1,3,29,23.9,26.6,29.0,0.9,19.1,0.5
1,3,30,23.3,26.4,29.4,0.3,16.9,0.5
1,3,31,25.0,26.9,30.0,0.6,18.9,1.0
2,1,1,25.0,27.0,29.5,1.4,21.7,0.5
2,1,2,24.3,26.8,29.7,0.0,20.6,0.0
2,1,3,25.0,26.9,29.6,0.0,21.0,0.0
2,1,4,24.9,26.7,29.6,0.8,20.0,1.0
2,1,5,24.9,26.8,29.5,0.5,19.4,0.5
2,1,6,25.4,27.1,30.5,1.3,20.3,1.0
2,1,7,25.0,26.8,30.0,3.9,21.4,1.0
2,1,8,24.8,26.6,29.5,2.0,21.4,1.0
2,1,9,24.9,26.8,29.6,1.6,21.0,1.0
2,1,10,24.5,26.7,29.5,2.2,21.9,1.0
2,2,11,25.0,27.0,30.0,1.7,23.2,1.0
2,2,12,24.8,26.9,29.3,0.9,24.7,0.5
2,2,13,25.0,27.1,29.6,1.6,23.2,1.0
2,2,14,25.5,26.8,29.2,1.0,22.7,1.0
2,2,15,25.3,26.9,29.7,1.3,23.0,0.5
2,2,16,25.3,26.8,29.3,0.6,22.6,0.5
2,2,17,25.5,26.8,29.7,0.3,24.1,0.5
2,2,18,24.9,26.6,29.5,0.7,23.9,0.5
2,2,19,24.5,26.8,29.5,0.7,22.1,0.5
2,2,20,25.1,26.8,29.5,3.9,21.9,1.0
2,3,21,24.3,26.2,29.0,0.6,19.8,0.5
2,3,22,24.5,26.7,29.5,0.6,19.9,1.0
2,3,23,24.4,26.7,29.6,0.3,20.0,1.0
2,3,24,25.0,26.7,29.2,0.2,20.4,0.5
2,3,25,24.5,26.9,29.7,1.3,19.1,0.5
2,3,26,24.7,27.0,29.6,0.8,19.6,1.0
2,3,27,24.0,27.0,29.6,0.4,21.1,0.5
2,3,28,25.0,26.9,30.0,0.1,22.0,0.5
2,3,29,25.7,27.7,30.4,0.8,19.7,1.0
3,1,1,25.5,27.0,30.0,0.4,22.1,0.5
3,1,2,25.2,26.9,30.2,0.2,20.6,0.5
3,1,3,24.0,26.8,29.8,0.8,20.8,1.0
3,1,4,24.9,26.9,29.7,0.0,22.3,0.0
3,1,5,25.3,27.3,30.0,0.0,21.7,0.0
3,1,6,25.3,27.4,30.2,0.4,21.8,0.5
3,1,7,25.5,27.1,29.6,0.0,20.8,0.0
3,1,8,25.0,27.0,30.0,0.3,21.7,1.0
3,1,9,25.5,27.3,30.3,1.2,22.0,0.5
3,1,10,25.5,27.0,29.6,0.0,21.0,0.0
3,2,11,24.5,27.0,30.1,0.0,20.5,0.0
3,2,12,25.4,27.2,30.9,0.6,20.4,0.5
