m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,26.0,27.0,26.5,79.0,19.5,0.07
1,1,1,26.0,27.0,26.5,79.0,20.4,0.07
1,1,2,26.0,27.0,26.5,79.0,20.4,0.1
1,1,3,25.8,27.0,26.4,80.0,20.9,0.27
1,1,4,26.0,27.0,26.5,79.0,20.4,0.13
1,1,5,26.0,27.0,26.3,80.3,20.0,0.2
1,1,6,25.5,27.0,26.2,80.8,18.6,0.2
1,1,7,25.0,26.5,26.0,81.5,19.5,0.27
1,1,8,25.0,27.0,26.0,80.8,18.7,0.13
1,1,9,25.2,27.0,26.1,80.5,17.7,0.17
1,1,10,25.0,26.5,25.5,80.8,18.6,0.23
1,1,11,25.0,26.4,25.5,81.5,18.7,0.17
1,1,12,25.6,27.0,26.4,79.8,17.3,0.23
1,1,13,27.0,28.4,27.6,75.8,20.8,0.3
1,1,14,27.0,29.0,28.0,72.8,21.3,0.37
1,1,15,27.7,29.6,28.7,71.3,21.7,0.37
1,1,16,28.0,30.0,29.0,70.5,21.5,0.53
1,1,17,28.2,30.0,29.3,68.3,21.3,0.57
1,1,18,27.9,29.6,28.8,67.8,21.3,0.6
1,1,19,28.0,29.8,28.9,69.0,20.4,0.5
1,1,20,28.0,29.5,28.7,70.3,21.0,0.27
1,1,21,27.2,28.9,28.0,72.8,19.5,0.07
1,1,22,26.5,28.0,27.3,75.8,19.5,0.07
1,1,23,26.0,27.0,26.5,79.0,18.6,0.0
1,2,0,25.8,27.0,26.4,78.3,19.5,0.0
1,2,1,26.0,27.0,26.5,79.0,20.5,0.0
1,2,2,26.0,27.0,26.5,80.3,20.5,0.0
1,2,3,25.7,26.8,26.3,79.8,20.0,0.0
1,2,4,26.0,27.0,26.0,81.3,20.4,0.03
1,2,5,25.0,26.4,26.0,80.5,19.5,0.03
1,2,6,25.0,27.0,25.9,80.5,17.7,0.03
1,2,7,25.0,26.9,25.8,81.5,17.7,0.03
1,2,8,24.5,27.0,25.5,81.5,17.7,0.03
1,2,9,24.8,26.7,25.5,83.3,18.6,0.03
1,2,10,25.0,26.7,25.5,81.3,17.2,0.03
1,2,11,24.0,26.0,25.5,81.5,17.7,0.07
1,2,12,25.3,27.0,26.2,78.8,17.3,0.07
1,2,13,26.6,28.0,27.3,75.5,20.4,0.07
1,2,14,27.0,28.8,28.0,72.5,22.3,0.2
1,2,15,27.8,29.2,28.6,70.3,23.1,0.37
1,2,16,28.0,30.0,29.0,68.0,22.3,0.47
1,2,17,28.0,30.0,28.8,69.3,21.4,0.6
1,2,18,28.0,29.4,28.7,69.8,22.4,0.53
1,2,19,28.0,29.2,28.7,70.0,21.3,0.43
1,2,20,28.0,29.0,28.5,68.8,21.8,0.3
1,2,21,27.3,28.7,28.0,71.5,20.6,0.07
1,2,22,27.0,28.0,27.3,74.5,19.1,0.0
1,2,23,26.0,27.0,26.5,78.0,19.1,0.0
1,3,0,25.7,26.8,26.2,77.5,19.5,0.0
1,3,1,26.0,27.0,26.5,79.0,22.2,0.0
1,3,2,26.0,27.0,26.5,79.0,21.2,0.0
1,3,3,25.4,26.6,26.0,80.0,20.4,0.0
1,3,4,25.0,26.7,25.9,79.5,21.3,0.03
1,3,5,25.0,26.6,25.8,79.0,20.4,0.0
1,3,6,25.0,26.6,25.9,79.5,17.7,0.03
1,3,7,25.0,26.0,25.5,79.0,19.5,0.09
1,3,8,25.0,26.0,25.5,81.5,18.5,0.06
1,3,9,24.8,26.3,25.6,80.5,18.6,0.09
1,3,10,25.0,26.0,25.5,79.5,17.7,0.09
1,3,11,24.0,26.0,25.0,81.5,17.7,0.12
1,3,12,25.6,26.4,26.0,78.5,16.8,0.12
1,3,13,27.0,28.0,27.5,72.0,20.5,0.15
1,3,14,28.0,28.5,28.3,72.5,22.2,0.12
1,3,15,27.9,29.1,28.6,68.0,22.4,0.27
1,3,16,28.0,30.0,29.0,67.5,22.4,0.39
1,3,17,28.0,30.0,29.0,67.0,22.2,0.45
1,3,18,28.3,29.8,29.1,66.5,23.0,0.52
1,3,19,28.0,29.0,28.6,66.0,22.5,0.48
1,3,20,28.0,29.0,28.5,68.0,22.5,0.15
1,3,21,27.1,28.4,27.7,71.5,19.7,0.06
1,3,22,27.0,28.0,27.5,73.0,18.7,0.0
1,3,23,26.0,27.0,26.5,78.0,18.6,0.0
2,1,0,25.8,27.0,26.4,78.5,20.0,0.03
2,1,1,26.0,27.0,26.5,79.0,21.3,0.03
2,1,2,26.0,27.0,26.5,79.3,21.3,0.03
2,1,3,25.4,26.8,26.1,80.0,19.5,0.03
2,1,4,25.6,27.0,26.0,80.8,20.4,0.03
2,1,5,25.0,26.0,25.5,81.5,19.5,0.07
2,1,6,25.3,26.2,25.7,81.8,18.6,0.13
2,1,7,25.0,26.0,25.5,81.0,18.6,0.17
2,1,8,25.0,26.0,25.6,81.5,19.5,0.13
2,1,9,25.1,26.0,25.5,81.3,17.2,0.2
2,1,10,25.0,26.0,25.5,83.8,16.9,0.13
2,1,11,25.0,26.0,25.3,81.5,17.3,0.13
2,1,12,25.7,26.8,26.3,79.3,17.7,0.17
2,1,13,27.0,28.0,27.5,75.8,21.3,0.23
2,1,14,28.0,29.0,28.5,71.5,21.3,0.3
2,1,15,28.1,29.3,28.7,69.5,22.7,0.27
2,1,16,28.0,30.0,29.0,68.0,21.3,0.57
2,1,17,29.0,30.0,29.3,66.5,22.7,0.6
2,1,18,28.3,29.7,29.0,68.0,23.9,0.6
2,1,19,28.0,30.0,29.0,68.3,22.2,0.53
2,1,20,28.0,29.0,28.5,68.0,21.9,0.5
2,1,21,27.5,28.5,28.1,70.8,20.8,0.23
2,1,22,27.0,28.0,27.5,73.5,20.1,0.0
2,1,23,26.0,27.0,26.5,78.0,19.5,0.0
2,2,0,25.8,26.7,26.2,79.0,22.2,0.03
2,2,1,26.0,26.7,26.0,79.0,23.2,0.03
2,2,2,26.0,26.3,26.0,79.3,22.9,0.03
2,2,3,25.5,26.5,26.0,80.0,21.3,0.03
2,2,4,26.0,26.1,26.0,79.0,21.8,0.03
2,2,5,25.3,26.0,25.9,79.0,22.3,0.07
2,2,6,25.3,26.2,25.7,81.0,20.8,0.1
2,2,7,25.0,26.0,25.5,81.8,20.5,0.07
2,2,8,25.0,26.0,25.5,80.8,20.0,0.07
2,2,9,25.1,26.0,25.7,81.0,20.9,0.1
2,2,10,25.0,26.0,25.5,81.0,20.4,0.07
2,2,11,25.0,26.0,25.5,81.0,20.5,0.1
2,2,12,25.9,26.8,26.4,77.5,20.4,0.03
2,2,13,27.0,28.0,27.5,74.5,23.5,0.1
2,2,14,28.0,29.0,28.3,71.3,25.0,0.23
2,2,15,28.0,29.2,28.5,69.0,24.6,0.43
2,2,16,28.4,30.0,29.1,67.5,25.0,0.5
2,2,17,28.0,30.0,29.0,66.3,24.2,0.5
2,2,18,28.6,29.9,29.3,64.5,27.4,0.47
2,2,19,28.5,30.0,29.0,66.3,25.4,0.43
2,2,20,28.0,29.1,28.6,66.5,25.0,0.27
2,2,21,27.5,28.7,28.1,69.5,24.0,0.07
2,2,22,27.0,28.0,27.5,73.5,22.7,0.0
2,2,23,26.0,27.0,26.5,77.5,22.8,0.0
2,3,0,25.7,26.8,26.3,77.0,20.4,0.0
2,3,1,26.0,26.9,26.5,78.0,21.3,0.0
2,3,2,26.0,26.9,26.3,79.0,22.1,0.0
2,3,3,25.6,26.5,26.1,79.0,20.6,0.0
2,3,4,26.0,26.4,26.0,79.0,20.4,0.0
2,3,5,25.0,26.0,25.7,79.0,21.3,0.0
2,3,6,25.2,26.0,25.7,79.0,18.6,0.0
2,3,7,25.0,26.0,25.5,79.0,19.5,0.0
2,3,8,25.0,26.0,25.5,79.5,17.7,0.0
2,3,9,25.0,26.0,25.3,81.0,17.7,0.0
2,3,10,25.0,26.0,25.5,80.5,17.7,0.0
2,3,11,25.0,26.0,25.5,81.5,17.5,0.0
2,3,12,25.9,27.0,26.4,78.0,18.6,0.04
2,3,13,27.0,28.0,27.5,72.5,21.2,0.04
2,3,14,28.0,29.0,28.5,69.5,21.4,0.04
2,3,15,28.4,29.8,29.2,67.0,22.3,0.18
2,3,16,29.0,30.0,29.0,65.0,23.0,0.41
2,3,17,29.0,30.0,29.5,64.0,22.3,0.33
2,3,18,28.8,30.0,29.5,64.5,22.2,0.37
2,3,19,29.0,30.0,29.5,66.0,22.2,0.33
2,3,20,28.0,29.4,29.0,65.5,21.3,0.26
2,3,21,27.6,28.9,28.3,67.5,21.3,0.07
2,3,22,27.0,28.0,27.5,73.0,20.4,0.0
2,3,23,26.0,27.0,26.5,76.5,20.4,0.0
3,1,0,25.9,27.0,26.5,77.3,20.8,0.0
3,1,1,26.0,27.0,26.5,77.0,21.3,0.0
3,1,2,26.0,27.0,26.5,79.0,21.3,0.0
3,1,3,25.7,26.5,26.1,79.0,19.1,0.0
3,1,4,26.0,26.3,26.0,79.0,20.1,0.0
3,1,5,25.5,26.0,26.0,79.5,19.1,0.0
3,1,6,25.3,26.2,25.7,79.8,18.6,0.0
3,1,7,25.0,26.0,25.5,80.3,18.6,0.0
3,1,8,25.0,26.0,25.5,81.3,18.6,0.03
3,1,9,25.0,26.0,25.5,80.5,19.1,0.03
3,1,10,25.0,26.0,25.5,81.5,18.6,0.0
3,1,11,25.0,26.0,25.5,81.5,18.1,0.0
3,1,12,26.0,27.0,26.5,77.5,20.4,0.0
3,1,13,27.0,28.0,27.5,72.5,22.6,0.07
3,1,14,28.0,29.0,28.5,68.5,22.7,0.07
3,1,15,28.6,29.8,29.3,66.8,23.7,0.13
3,1,16,29.0,30.0,29.5,65.0,23.6,0.2
3,1,17,29.0,30.1,29.6,63.5,24.1,0.2
3,1,18,29.1,30.4,29.7,63.3,24.5,0.1
3,1,19,29.0,30.1,29.6,63.0,23.6,0.07
3,1,20,29.0,30.0,29.5,65.8,23.1,0.03
3,1,21,27.8,29.0,28.4,68.0,22.3,0.0
3,1,22,27.0,28.0,27.5,72.5,21.4,0.0
3,1,23,26.0,27.0,26.5,75.8,21.3,0.0
3,2,0,26.0,26.9,26.4,77.0,21.4,0.0
3,2,1,26.0,27.0,26.5,77.8,22.3,0.0
3,2,2,26.0,27.0,26.5,76.8,22.3,0.0
3,2,3,25.7,26.6,26.2,78.5,20.0,0.0
3,2,4,26.0,26.0,26.0,79.0,20.8,0.0
3,2,5,26.0,26.0,26.0,79.0,20.9,0.0
3,2,6,25.5,26.2,25.8,79.0,19.5,0.0
3,2,7,25.0,26.0,25.5,78.8,19.5,0.0
3,2,8,25.0,26.0,25.5,79.0,19.5,0.0
3,2,9,25.1,26.1,25.7,79.0,18.6,0.0
3,2,10,25.0,26.0,25.5,79.3,19.1,0.05
3,2,11,25.0,26.0,25.5,80.0,18.6,0.05
3,2,12,26.3,27.0,26.7,75.3,20.4,0.05
3,2,13,27.0,28.0,27.5,70.5,23.2,0.0
3,2,14,28.0,29.0,28.5,67.5,22.7,0.05
3,2,15,28.6,29.8,29.3,64.3,23.1,0.05
3,2,16,29.0,30.0,29.5,62.5,25.0,0.1
3,2,17,29.0,30.0,29.7,61.8,25.5,0.1
3,2,18,29.1,30.2,29.7,62.0,24.6,0.15
3,2,19,29.0,30.0,29.5,64.0,23.7,0.1
3,2,20,29.0,30.0,29.5,64.3,23.1,0.1
3,2,21,27.9,29.0,28.5,67.5,22.2,0.0
3,2,22,27.0,28.0,27.5,72.0,21.8,0.0
3,2,23,26.0,27.0,26.5,74.5,21.8,0.0
3,3,0,26.2,26.9,26.6,76.0,21.4,0.0
3,3,1,26.0,27.0,26.5,77.5,21.4,0.0
3,3,2,26.0,27.0,26.5,77.5,22.3,0.0
3,3,3,25.9,26.7,26.3,77.5,21.3,0.0
3,3,4,26.0,26.6,26.3,77.0,21.3,0.0
3,3,5,26.0,26.0,26.0,76.5,20.4,0.0
3,3,6,25.6,26.3,26.0,77.5,20.4,0.0
3,3,7,25.8,26.0,25.9,79.0,20.4,0.0
3,3,8,25.8,26.0,25.9,79.0,20.4,0.0
3,3,9,25.5,26.0,25.8,77.5,19.5,0.05
3,3,10,25.0,26.0,25.5,78.5,19.5,0.0
3,3,11,26.0,26.0,26.0,78.5,19.5,0.0
3,3,12,26.5,27.2,26.9,73.0,20.4,0.09
3,3,13,28.0,28.0,28.0,70.5,23.2,0.0
3,3,14,28.0,29.0,28.5,66.0,24.1,0.05
3,3,15,28.9,29.9,29.4,64.0,24.1,0.23
3,3,16,29.0,30.0,29.5,64.0,24.1,0.27
3,3,17,29.0,30.7,29.9,63.0,24.1,0.27
3,3,18,29.3,30.4,29.9,62.0,24.1,0.32
3,3,19,29.0,30.0,29.5,62.5,24.1,0.27
3,3,20,29.0,30.0,29.5,64.0,23.2,0.23
3,3,21,28.1,28.9,28.5,67.0,23.0,0.0
3,3,22,27.0,28.0,27.5,72.0,22.3,0.0
3,3,23,26.0,27.0,26.5,74.5,21.3,0.0
4,1,0,26.1,27.4,26.8,78.0,22.3,0.0
4,1,1,26.0,27.0,26.5,79.0,22.2,0.0
4,1,2,26.0,27.0,26.5,80.3,21.8,0.0
4,1,3,26.0,27.3,26.7,79.5,20.0,0.0
4,1,4,26.0,27.0,26.5,81.5,20.4,0.0
4,1,5,26.0,27.0,26.5,81.5,19.5,0.0
4,1,6,25.6,26.8,26.3,80.3,17.7,0.0
4,1,7,26.0,27.0,26.5,80.3,18.6,0.0
4,1,8,26.0,26.9,26.0,81.0,19.5,0.0
4,1,9,25.5,26.8,26.2,80.0,18.6,0.0
4,1,10,26.0,27.0,26.0,79.0,19.1,0.0
4,1,11,26.0,27.0,26.5,79.0,19.1,0.0
4,1,12,26.6,27.9,27.2,75.0,21.4,0.0
4,1,13,28.0,29.0,28.0,72.0,22.3,0.0
4,1,14,28.0,29.5,28.8,68.5,23.1,0.1
4,1,15,28.5,30.3,29.5,66.8,24.6,0.25
4,1,16,29.0,30.6,29.8,64.3,24.1,0.3
4,1,17,29.0,31.0,30.0,64.3,24.1,0.3
4,1,18,29.1,30.6,29.9,63.3,25.9,0.25
4,1,19,29.0,31.0,30.0,63.3,24.6,0.2
4,1,20,29.0,30.0,29.5,66.0,23.7,0.1
4,1,21,28.0,29.3,28.7,69.3,22.3,0.05
4,1,22,27.0,28.0,27.5,73.5,22.3,0.0
4,1,23,26.5,28.0,27.0,76.5,22.7,0.0
4,2,0,26.4,27.5,27.0,78.5,22.3,0.0
4,2,1,26.0,27.0,26.5,78.0,22.8,0.0
4,2,2,26.0,27.0,26.5,79.0,22.3,0.0
4,2,3,26.3,27.1,26.7,79.0,20.9,0.05
4,2,4,26.0,27.0,26.5,80.8,20.9,0.05
4,2,5,26.0,27.0,26.5,81.5,20.9,0.05
4,2,6,26.1,26.7,26.4,80.3,19.5,0.1
4,2,7,26.0,27.0,26.5,81.0,19.5,0.05
4,2,8,26.0,27.0,26.5,80.5,20.9,0.05
4,2,9,25.8,26.5,26.2,79.8,19.5,0.05
4,2,10,26.0,27.0,26.5,80.5,20.4,0.0
4,2,11,26.0,27.0,26.5,79.0,20.4,0.0
4,2,12,27.0,28.0,27.5,74.5,23.1,0.0
4,2,13,28.0,29.0,28.5,70.8,24.6,0.05
4,2,14,29.0,30.0,29.5,68.0,25.5,0.1
4,2,15,29.2,30.6,29.9,65.5,25.9,0.3
4,2,16,29.3,31.0,30.2,63.3,26.1,0.1
4,2,17,30.0,31.0,30.5,62.8,26.4,0.15
4,2,18,29.8,31.0,30.4,62.5,25.5,0.15
4,2,19,29.5,31.0,30.3,62.5,25.0,0.0
4,2,20,29.0,30.0,29.5,66.0,23.6,0.0
4,2,21,28.3,29.4,28.9,69.0,23.2,0.0
4,2,22,27.0,29.0,28.0,72.8,22.8,0.0
4,2,23,27.0,28.0,27.5,76.5,23.1,0.0
4,3,0,26.6,27.4,27.0,78.8,20.9,0.0
4,3,1,27.0,27.0,27.0,79.0,21.3,0.0
4,3,2,27.0,27.0,27.0,80.8,21.3,0.05
4,3,3,26.4,27.1,26.8,79.8,20.0,0.0
4,3,4,26.0,27.0,26.5,80.5,20.4,0.05
4,3,5,26.0,27.0,26.5,79.5,19.5,0.0
4,3,6,26.1,26.9,26.6,80.8,18.6,0.0
4,3,7,26.0,27.0,26.5,81.5,19.1,0.15
4,3,8,26.0,27.0,26.5,81.5,17.6,0.1
4,3,9,25.8,26.7,26.3,81.5,16.7,0.0
4,3,10,26.0,27.0,26.5,81.5,17.3,0.0
4,3,11,26.0,27.0,26.5,81.0,17.7,0.1
4,3,12,27.2,28.1,27.6,75.8,20.4,0.1
4,3,13,28.0,29.0,28.5,71.0,23.1,0.05
4,3,14,29.0,30.0,29.5,68.8,22.6,0.15
4,3,15,29.2,30.4,29.7,67.5,23.6,0.15
4,3,16,29.5,31.0,30.0,64.8,23.6,0.05
4,3,17,30.0,31.0,30.5,64.0,24.1,0.1
4,3,18,29.5,31.2,30.5,63.5,24.1,0.1
4,3,19,29.0,31.0,30.0,64.3,23.2,0.1
4,3,20,29.0,30.0,29.5,67.3,23.2,0.05
4,3,21,28.2,29.5,28.9,71.0,22.3,0.05
4,3,22,27.5,29.0,28.0,74.5,20.4,0.0
4,3,23,27.0,28.0,27.5,76.8,21.3,0.0
5,1,0,26.9,27.5,27.3,79.0,22.7,0.0
5,1,1,27.0,27.0,27.0,81.5,24.1,0.0
