m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,24.8,26.9,29.6,22.6,22.0,0.71,27.0,nederlandse-antillen,bonaire
2,24.7,26.9,29.8,24.3,17.0,0.57,25.0,nederlandse-antillen,bonaire
3,25.1,27.1,29.9,25.6,13.0,0.4,14.0,nederlandse-antillen,bonaire
4,26.1,27.8,30.6,26.8,12.0,0.38,13.0,nederlandse-antillen,bonaire
5,26.8,28.3,30.9,29.4,12.0,0.38,19.0,nederlandse-antillen,bonaire
6,27.1,28.9,31.6,27.3,20.0,0.66,57.0,nederlandse-antillen,bonaire
7,27.0,28.8,31.6,26.5,22.0,0.72,29.0,nederlandse-antillen,bonaire
8,27.4,29.5,32.2,23.5,19.0,0.62,32.0,nederlandse-antillen,bonaire
9,27.4,29.9,32.8,20.3,19.0,0.63,32.0,nederlandse-antillen,bonaire
10,27.0,29.4,32.0,19.5,25.0,0.82,82.0,nederlandse-antillen,bonaire
11,25.9,28.2,30.9,18.2,28.0,0.92,133.0,nederlandse-antillen,bonaire
12,25.3,27.5,30.1,20.7,26.0,0.83,37.0,nederlandse-antillen,bonaire
1,25.0,26.9,29.5,20.0,23.0,0.74,33.0,nederlandse-antillen,curacao
2,24.9,26.8,29.6,21.4,21.0,0.71,32.0,nederlandse-antillen,curacao
3,25.4,27.2,30.2,21.7,11.0,0.35,9.0,nederlandse-antillen,curacao
4,26.0,27.8,30.6,21.9,14.0,0.45,10.0,nederlandse-antillen,curacao
5,26.5,28.2,31.0,23.7,13.0,0.4,19.0,nederlandse-antillen,curacao
6,26.8,28.7,31.5,22.7,21.0,0.69,33.0,nederlandse-antillen,curacao
7,26.9,28.8,31.5,21.4,20.0,0.66,18.0,nederlandse-antillen,curacao
8,27.3,29.4,32.5,20.8,17.0,0.56,15.0,nederlandse-antillen,curacao
9,27.5,29.7,32.7,18.4,18.0,0.61,20.0,nederlandse-antillen,curacao
10,26.8,29.1,31.9,17.0,24.0,0.77,79.0,nederlandse-antillen,curacao
11,26.0,28.2,30.7,15.9,29.0,0.98,139.0,nederlandse-antillen,curacao
12,25.5,27.5,30.0,19.1,25.0,0.81,35.0,nederlandse-antillen,curacao
