m,coco,coco_pct,country,place
1,1.0,0.064,nederlandse-antillen,bonaire
1,2.0,0.646,nederlandse-antillen,bonaire
1,3.0,0.149,nederlandse-antillen,bonaire
1,4.0,0.045,nederlandse-antillen,bonaire
1,5.0,0.0,nederlandse-antillen,bonaire
1,7.0,0.022,nederlandse-antillen,bonaire
1,8.0,0.008,nederlandse-antillen,bonaire
1,9.0,0.0,nederlandse-antillen,bonaire
1,17.0,0.004,nederlandse-antillen,bonaire
1,18.0,0.062,nederlandse-antillen,bonaire
1,25.0,0.0,nederlandse-antillen,bonaire
1,26.0,0.0,nederlandse-antillen,bonaire
1,27.0,0.0,nederlandse-antillen,bonaire
2,1.0,0.071,nederlandse-antillen,bonaire
2,2.0,0.647,nederlandse-antillen,bonaire
2,3.0,0.178,nederlandse-antillen,bonaire
2,4.0,0.057,nederlandse-antillen,bonaire
2,5.0,0.0,nederlandse-antillen,bonaire
2,7.0,0.012,nederlandse-antillen,bonaire
2,8.0,0.001,nederlandse-antillen,bonaire
2,9.0,0.0,nederlandse-antillen,bonaire
2,17.0,0.002,nederlandse-antillen,bonaire
2,18.0,0.032,nederlandse-antillen,bonaire
2,25.0,0.0,nederlandse-antillen,bonaire
2,26.0,0.0,nederlandse-antillen,bonaire
2,27.0,0.0,nederlandse-antillen,bonaire
3,1.0,0.053,nederlandse-antillen,bonaire
3,2.0,0.693,nederlandse-antillen,bonaire
3,3.0,0.171,nederlandse-antillen,bonaire
3,4.0,0.042,nederlandse-antillen,bonaire
3,5.0,0.001,nederlandse-antillen,bonaire
3,7.0,0.003,nederlandse-antillen,bonaire
3,8.0,0.001,nederlandse-antillen,bonaire
3,9.0,0.0,nederlandse-antillen,bonaire
3,17.0,0.003,nederlandse-antillen,bonaire
3,18.0,0.034,nederlandse-antillen,bonaire
3,25.0,0.0,nederlandse-antillen,bonaire
3,26.0,0.0,nederlandse-antillen,bonaire
3,27.0,0.0,nederlandse-antillen,bonaire
4,1.0,0.033,nederlandse-antillen,bonaire
4,2.0,0.619,nederlandse-antillen,bonaire
4,3.0,0.28,nederlandse-antillen,bonaire
4,4.0,0.055,nederlandse-antillen,bonaire
4,5.0,0.0,nederlandse-antillen,bonaire
4,7.0,0.0,nederlandse-antillen,bonaire
4,8.0,0.0,nederlandse-antillen,bonaire
4,9.0,0.0,nederlandse-antillen,bonaire
4,17.0,0.001,nederlandse-antillen,bonaire
4,18.0,0.011,nederlandse-antillen,bonaire
4,25.0,0.0,nederlandse-antillen,bonaire
4,26.0,0.0,nederlandse-antillen,bonaire
4,27.0,0.0,nederlandse-antillen,bonaire
5,1.0,0.035,nederlandse-antillen,bonaire
5,2.0,0.525,nederlandse-antillen,bonaire
5,3.0,0.357,nederlandse-antillen,bonaire
5,4.0,0.072,nederlandse-antillen,bonaire
5,5.0,0.0,nederlandse-antillen,bonaire
5,7.0,0.002,nederlandse-antillen,bonaire
5,8.0,0.0,nederlandse-antillen,bonaire
5,9.0,0.0,nederlandse-antillen,bonaire
5,17.0,0.0,nederlandse-antillen,bonaire
5,18.0,0.008,nederlandse-antillen,bonaire
5,25.0,0.0,nederlandse-antillen,bonaire
5,26.0,0.0,nederlandse-antillen,bonaire
5,27.0,0.0,nederlandse-antillen,bonaire
6,1.0,0.047,nederlandse-antillen,bonaire
6,2.0,0.538,nederlandse-antillen,bonaire
