m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,25.0,27.0,29.6,22.1,8.0,0.77,17.0,nederlandse-antillen,bonaire
1,2,24.6,26.9,29.8,22.0,6.0,0.6,4.0,nederlandse-antillen,bonaire
1,3,24.8,26.8,29.6,23.0,8.0,0.76,6.0,nederlandse-antillen,bonaire
2,1,25.1,26.9,29.7,23.8,7.0,0.7,14.0,nederlandse-antillen,bonaire
2,2,25.1,27.0,29.8,28.4,6.0,0.55,9.0,nederlandse-antillen,bonaire
2,3,24.0,26.7,29.9,23.1,4.0,0.44,2.0,nederlandse-antillen,bonaire
3,1,25.0,27.1,30.0,25.5,4.0,0.4,3.0,nederlandse-antillen,bonaire
3,2,24.9,27.0,29.9,25.9,2.0,0.2,5.0,nederlandse-antillen,bonaire
3,3,25.5,27.2,29.9,26.0,7.0,0.59,6.0,nederlandse-antillen,bonaire
4,1,26.1,27.6,30.4,27.1,4.0,0.4,4.0,nederlandse-antillen,bonaire
4,2,26.2,27.8,30.6,27.7,4.0,0.35,5.0,nederlandse-antillen,bonaire
4,3,26.3,27.9,30.9,24.9,4.0,0.4,4.0,nederlandse-antillen,bonaire
5,1,26.8,28.2,30.6,29.2,3.0,0.3,8.0,nederlandse-antillen,bonaire
5,2,26.8,28.3,30.8,30.1,2.0,0.2,2.0,nederlandse-antillen,bonaire
5,3,26.9,28.5,31.2,27.7,7.0,0.61,9.0,nederlandse-antillen,bonaire
6,1,27.4,28.9,31.5,27.9,5.0,0.5,5.0,nederlandse-antillen,bonaire
6,2,27.2,28.8,31.6,28.2,7.0,0.7,11.0,nederlandse-antillen,bonaire
6,3,26.9,28.8,31.6,25.8,8.0,0.77,41.0,nederlandse-antillen,bonaire
7,1,27.0,28.8,31.6,27.2,7.0,0.67,8.0,nederlandse-antillen,bonaire
7,2,27.1,28.9,31.6,26.2,8.0,0.77,12.0,nederlandse-antillen,bonaire
7,3,27.0,28.8,31.6,25.5,8.0,0.73,8.0,nederlandse-antillen,bonaire
8,1,27.3,29.2,32.0,24.8,6.0,0.57,9.0,nederlandse-antillen,bonaire
8,2,27.5,29.5,32.3,23.1,6.0,0.6,12.0,nederlandse-antillen,bonaire
8,3,27.4,29.6,32.4,22.4,8.0,0.68,11.0,nederlandse-antillen,bonaire
9,1,27.9,29.9,32.8,22.8,7.0,0.68,4.0,nederlandse-antillen,bonaire
9,2,27.4,30.0,32.9,18.9,5.0,0.53,5.0,nederlandse-antillen,bonaire
9,3,27.3,29.9,32.8,18.9,7.0,0.67,24.0,nederlandse-antillen,bonaire
10,1,27.2,29.4,32.1,18.6,9.0,0.87,33.0,nederlandse-antillen,bonaire
10,2,27.4,29.4,32.1,20.8,7.0,0.7,16.0,nederlandse-antillen,bonaire
10,3,26.6,28.8,31.8,17.9,10.0,0.88,33.0,nederlandse-antillen,bonaire
11,1,26.1,28.4,31.0,17.1,9.0,0.93,60.0,nederlandse-antillen,bonaire
11,2,25.9,28.2,31.0,18.0,9.0,0.9,40.0,nederlandse-antillen,bonaire
11,3,25.9,28.1,30.8,20.5,9.0,0.93,33.0,nederlandse-antillen,bonaire
12,1,25.3,27.6,30.4,20.5,8.0,0.77,14.0,nederlandse-antillen,bonaire
12,2,25.5,27.7,30.3,22.6,8.0,0.83,10.0,nederlandse-antillen,bonaire
12,3,25.3,27.3,30.0,20.5,10.0,0.88,13.0,nederlandse-antillen,bonaire
1,1,25.5,27.1,29.6,19.6,8.0,0.77,17.0,nederlandse-antillen,curacao
1,2,25.0,26.9,29.5,20.0,8.0,0.77,9.0,nederlandse-antillen,curacao
1,3,24.8,26.8,29.7,20.7,8.0,0.68,7.0,nederlandse-antillen,curacao
2,1,24.9,26.8,29.6,21.0,7.0,0.7,14.0,nederlandse-antillen,curacao
2,2,25.1,26.8,29.5,23.1,7.0,0.7,13.0,nederlandse-antillen,curacao
2,3,24.5,26.9,29.6,19.9,7.0,0.72,5.0,nederlandse-antillen,curacao
3,1,25.3,27.0,30.0,21.7,4.0,0.4,3.0,nederlandse-antillen,curacao
