m,coco,coco_pct
10,17.0,0.003
6,19.0,0.0
4,19.0,0.0
7,27.0,0.0
11,23.0,0.0
3,2.0,0.383
9,23.0,0.0
10,3.0,0.181
5,1.0,0.504
1,1.0,0.397
2,8.0,0.013
5,5.0,0.0
5,3.0,0.09
12,25.0,0.0
1,19.0,0.0
10,27.0,0.0
4,8.0,0.012
2,1.0,0.38
4,23.0,0.0
6,8.0,0.001
7,7.0,0.0
4,3.0,0.19
3,18.0,0.021
3,3.0,0.167
2,5.0,0.002
11,1.0,0.301
12,7.0,0.035
12,1.0,0.328
6,9.0,0.0
6,18.0,0.001
11,7.0,0.033
7,25.0,0.0
10,8.0,0.01
5,19.0,0.0
12,4.0,0.031
10,9.0,0.007
5,9.0,0.0
7,2.0,0.09
5,26.0,0.0
6,5.0,0.003
5,27.0,0.0
4,7.0,0.032
8,26.0,0.0
12,27.0,0.0
6,17.0,0.001
10,25.0,0.001
9,18.0,0.006
2,17.0,0.003
2,7.0,0.033
8,4.0,0.002
9,8.0,0.002
8,9.0,0.0
7,4.0,0.004
2,9.0,0.003
11,25.0,0.005
9,27.0,0.0
4,18.0,0.013
11,18.0,0.018
2,2.0,0.344
5,25.0,0.001
9,1.0,0.552
11,26.0,0.0
4,17.0,0.007
8,19.0,0.0
6,7.0,0.006
6,26.0,0.0
8,27.0,0.0
12,2.0,0.357
10,5.0,0.003
4,9.0,0.0
3,25.0,0.001
4,5.0,0.004
11,4.0,0.034
5,17.0,0.002
9,5.0,0.003
7,1.0,0.883
6,27.0,0.0
9,4.0,0.011
11,2.0,0.363
11,8.0,0.012
2,3.0,0.188
6,3.0,0.089
1,27.0,0.0
12,18.0,0.01
3,9.0,0.001
5,18.0,0.002
8,1.0,0.87
3,17.0,0.008
12,19.0,0.0
3,7.0,0.051
9,17.0,0.001
2,19.0,0.0
7,9.0,0.0
1,8.0,0.009
4,27.0,0.0
6,23.0,0.0
12,3.0,0.2
6,25.0,0.0
7,8.0,0.0
10,26.0,0.0
9,19.0,0.0
8,17.0,0.0
12,26.0,0.0
10,4.0,0.026
1,9.0,0.004
12,17.0,0.003
5,2.0,0.38
12,23.0,0.0
3,19.0,0.0
8,3.0,0.014
10,1.0,0.386
3,5.0,0.006
8,25.0,0.0
1,2.0,0.306
2,4.0,0.03
7,17.0,0.0
5,8.0,0.001
8,18.0,0.0
7,26.0,0.0
12,9.0,0.005
2,25.0,0.001
9,3.0,0.087
3,26.0,0.0
8,7.0,0.0
1,17.0,0.004
7,18.0,0.001
7,19.0,0.0
6,1.0,0.583
7,23.0,0.0
7,5.0,0.002
3,1.0,0.303
5,4.0,0.011
3,8.0,0.026
1,4.0,0.043
10,18.0,0.01
5,23.0,0.0
7,3.0,0.018
9,26.0,0.0
2,18.0,0.004
1,18.0,0.01
4,26.0,0.0
9,25.0,0.0
2,26.0,0.0
9,7.0,0.005
3,23.0,0.0
11,9.0,0.0
12,8.0,0.017
5,7.0,0.008
6,4.0,0.016
4,4.0,0.029
4,1.0,0.304
4,2.0,0.407
2,23.0,0.0
1,26.0,0.0
1,7.0,0.031
3,4.0,0.033
3,27.0,0.0
12,5.0,0.015
11,27.0,0.0
9,2.0,0.333
10,7.0,0.026
10,19.0,0.0
6,2.0,0.301
10,23.0,0.0
11,5.0,0.009
10,2.0,0.348
1,5.0,0.013
8,5.0,0.004
1,25.0,0.0
11,19.0,0.0
8,2.0,0.108
2,27.0,0.0
8,23.0,0.0
11,17.0,0.009
4,25.0,0.001
11,3.0,0.216
1,3.0,0.184
9,9.0,0.0
8,8.0,0.0
1,23.0,0.0
