m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,8.8,12.7,16.5,11.3,3.0,0.27,5.0
1,2,8.8,13.1,16.5,14.1,2.0,0.18,4.0
1,3,10.5,14.0,17.0,16.0,3.0,0.29,6.0
2,1,9.8,13.6,17.2,13.0,3.0,0.25,8.0
2,2,11.1,14.6,18.2,13.6,2.0,0.24,9.0
2,3,10.8,14.5,18.2,14.2,2.0,0.22,2.0
3,1,10.6,14.1,17.9,15.4,4.0,0.45,17.0
3,2,11.7,15.4,19.1,13.0,3.0,0.28,14.0
3,3,12.3,15.4,18.9,16.5,3.0,0.25,14.0
4,1,12.4,15.8,19.4,14.8,3.0,0.34,6.0
4,2,14.1,17.4,21.4,14.6,2.0,0.21,4.0
4,3,13.5,17.1,20.5,16.6,3.0,0.28,9.0
5,1,15.1,19.0,23.0,14.0,1.0,0.1,1.0
5,2,16.1,19.9,24.9,15.3,1.0,0.12,0.0
5,3,16.5,20.8,25.0,14.8,1.0,0.11,0.0
6,1,17.4,20.8,24.3,15.3,2.0,0.17,2.0
6,2,17.5,20.6,24.9,16.8,1.0,0.11,0.0
6,3,18.6,22.5,26.6,14.3,0.0,0.03,0.0
7,1,19.2,23.1,27.2,14.4,0.0,0.0,0.0
7,2,20.8,24.5,28.6,14.4,0.0,0.0,0.0
7,3,20.8,24.6,29.5,14.4,0.0,0.03,0.0
8,1,20.7,25.3,30.4,12.8,0.0,0.02,0.0
8,2,20.6,24.5,29.1,12.4,0.0,0.0,0.0
8,3,20.8,24.5,28.4,11.9,0.0,0.0,0.0
9,1,19.6,23.0,26.5,12.8,1.0,0.13,0.0
9,2,19.5,22.6,26.1,12.2,2.0,0.2,1.0
9,3,18.4,21.9,25.9,12.0,2.0,0.17,1.0
10,1,17.9,21.2,25.6,12.1,1.0,0.09,0.0
10,2,16.5,19.6,23.0,13.5,4.0,0.41,32.0
10,3,15.5,18.5,21.5,11.9,5.0,0.44,23.0
11,1,13.7,17.2,20.3,13.0,4.0,0.35,8.0
11,2,13.5,16.8,20.0,13.5,3.0,0.31,16.0
11,3,11.6,15.3,18.6,12.3,3.0,0.3,14.0
12,1,10.4,14.0,17.8,11.8,3.0,0.32,12.0
12,2,11.6,14.6,17.5,14.1,4.0,0.39,15.0
12,3,10.7,14.1,17.5,12.4,2.0,0.17,2.0
