m,m3,coco,coco_pct
12,2,4.0,0.051
5,1,3.0,0.092
9,1,9.0,0.0
2,2,5.0,0.006
8,2,1.0,0.906
1,1,1.0,0.438
7,1,8.0,0.0
10,3,26.0,0.001
3,2,1.0,0.384
3,3,26.0,0.0
8,3,26.0,0.0
9,2,18.0,0.017
1,2,2.0,0.324
7,3,19.0,0.0
3,1,4.0,0.051
6,3,26.0,0.0
8,1,1.0,0.877
12,2,2.0,0.369
7,2,23.0,0.0
7,3,3.0,0.02
12,2,18.0,0.011
3,3,4.0,0.032
9,1,2.0,0.301
11,2,4.0,0.031
1,3,23.0,0.0
6,1,7.0,0.011
5,3,19.0,0.0
7,1,9.0,0.0
2,1,4.0,0.034
8,1,5.0,0.006
3,1,26.0,0.0
5,2,17.0,0.005
1,1,7.0,0.03
9,1,7.0,0.0
10,1,4.0,0.008
8,2,17.0,0.0
9,3,26.0,0.0
10,3,23.0,0.0
1,1,17.0,0.002
10,2,5.0,0.001
8,3,18.0,0.0
6,3,25.0,0.0
10,2,18.0,0.021
11,3,1.0,0.293
3,1,23.0,0.0
12,3,9.0,0.0
3,1,9.0,0.006
6,2,18.0,0.0
12,3,18.0,0.006
5,3,9.0,0.0
10,2,26.0,0.0
12,1,3.0,0.213
7,2,19.0,0.0
11,2,25.0,0.001
11,1,23.0,0.0
5,1,26.0,0.0
11,1,9.0,0.0
11,2,23.0,0.001
4,3,26.0,0.0
10,1,3.0,0.069
9,2,4.0,0.015
10,2,1.0,0.342
3,3,3.0,0.201
7,1,3.0,0.016
9,3,9.0,0.0
2,2,26.0,0.0
2,2,7.0,0.026
5,2,4.0,0.009
9,2,26.0,0.0
2,3,26.0,0.0
3,2,8.0,0.018
10,2,2.0,0.357
6,2,19.0,0.0
12,3,26.0,0.0
1,2,3.0,0.146
10,3,25.0,0.001
8,2,4.0,0.002
5,2,7.0,0.015
2,1,5.0,0.001
4,3,5.0,0.0
1,3,25.0,0.0
4,2,1.0,0.368
11,3,8.0,0.007
1,1,5.0,0.017
8,3,25.0,0.001
1,1,25.0,0.0
4,2,3.0,0.166
2,3,5.0,0.0
6,3,5.0,0.005
8,3,2.0,0.147
10,1,17.0,0.0
1,2,1.0,0.439
1,2,7.0,0.027
1,3,9.0,0.002
10,3,18.0,0.009
2,1,19.0,0.0
12,1,19.0,0.0
10,3,17.0,0.004
11,1,25.0,0.006
3,3,17.0,0.002
8,1,8.0,0.0
2,3,19.0,0.0
6,2,4.0,0.014
9,3,8.0,0.003
2,3,8.0,0.007
4,2,8.0,0.003
5,3,7.0,0.002
2,3,4.0,0.03
5,2,9.0,0.001
9,3,7.0,0.007
8,1,9.0,0.0
