m,coco,coco_pct
11,7.0,0.04
8,8.0,0.008
1,17.0,0.011
12,17.0,0.017
8,18.0,0.033
9,5.0,0.0
12,7.0,0.061
10,3.0,0.6
4,9.0,0.011
8,3.0,0.305
7,9.0,0.0
1,3.0,0.561
5,5.0,0.0
12,5.0,0.0
2,8.0,0.036
12,9.0,0.014
1,4.0,0.152
7,2.0,0.575
12,1.0,0.0
9,8.0,0.007
5,9.0,0.003
1,9.0,0.011
5,4.0,0.069
12,18.0,0.086
2,17.0,0.011
9,17.0,0.006
4,1.0,0.001
7,17.0,0.003
5,17.0,0.01
6,17.0,0.015
8,4.0,0.006
12,3.0,0.554
7,5.0,0.0
4,4.0,0.051
5,1.0,0.0
9,7.0,0.022
6,3.0,0.488
6,9.0,0.003
10,17.0,0.015
9,4.0,0.003
4,8.0,0.028
5,2.0,0.267
6,8.0,0.015
6,2.0,0.399
3,5.0,0.002
8,17.0,0.005
8,5.0,0.0
12,2.0,0.156
4,5.0,0.0
10,5.0,0.0
2,5.0,0.0
10,4.0,0.039
9,18.0,0.026
7,4.0,0.01
3,7.0,0.047
11,3.0,0.595
7,3.0,0.393
1,8.0,0.038
10,18.0,0.07
4,7.0,0.046
2,4.0,0.105
4,18.0,0.06
10,1.0,0.0
8,1.0,0.0
5,18.0,0.042
10,9.0,0.008
12,4.0,0.079
8,9.0,0.001
4,3.0,0.574
2,2.0,0.157
10,8.0,0.03
11,8.0,0.037
3,8.0,0.023
4,17.0,0.022
9,2.0,0.44
7,18.0,0.009
6,1.0,0.0
1,2.0,0.122
11,2.0,0.177
9,9.0,0.0
6,7.0,0.023
2,18.0,0.039
11,5.0,0.0
12,8.0,0.034
2,3.0,0.577
11,9.0,0.011
8,7.0,0.02
1,1.0,0.0
3,18.0,0.043
5,3.0,0.53
3,2.0,0.182
6,18.0,0.046
1,5.0,0.0
6,5.0,0.005
3,4.0,0.053
7,1.0,0.001
11,4.0,0.077
5,7.0,0.059
3,1.0,0.0
6,4.0,0.005
3,3.0,0.632
3,9.0,0.007
2,1.0,0.0
10,7.0,0.04
4,2.0,0.209
7,7.0,0.005
2,9.0,0.012
11,1.0,0.0
11,17.0,0.014
1,18.0,0.045
11,18.0,0.049
5,8.0,0.02
2,7.0,0.063
9,1.0,0.0
10,2.0,0.199
1,7.0,0.061
3,17.0,0.01
8,2.0,0.622
9,3.0,0.497
7,8.0,0.004
