m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,15.3,16.3,17.5,18.9,8.0,0.84,40.0
1,2,14.6,16.0,17.3,18.1,8.0,0.8,27.0
1,3,14.7,16.0,17.2,17.9,8.0,0.75,38.0
2,1,14.4,15.8,17.3,18.0,7.0,0.73,27.0
2,2,13.2,15.1,17.0,19.0,7.0,0.73,43.0
2,3,13.8,15.5,17.0,17.0,8.0,0.84,32.0
3,1,13.9,15.4,17.3,17.8,7.0,0.71,24.0
3,2,14.3,15.6,17.5,17.5,6.0,0.64,28.0
3,3,13.4,15.3,17.2,16.5,8.0,0.76,29.0
4,1,14.4,16.0,17.4,21.2,7.0,0.68,36.0
4,2,14.7,16.3,18.2,16.4,7.0,0.73,22.0
4,3,14.6,16.5,18.3,16.2,7.0,0.7,19.0
5,1,15.5,17.4,19.5,15.6,8.0,0.78,28.0
5,2,15.3,17.7,20.0,12.2,7.0,0.72,12.0
5,3,16.0,18.1,20.1,12.5,8.0,0.74,17.0
6,1,17.0,18.7,20.8,14.6,7.0,0.71,22.0
6,2,17.6,19.7,21.9,12.1,7.0,0.66,25.0
6,3,18.4,20.3,22.7,12.7,6.0,0.59,11.0
7,1,19.0,21.0,23.2,11.9,7.0,0.71,8.0
7,2,19.5,21.6,23.9,12.8,6.0,0.62,12.0
7,3,20.7,22.9,25.1,10.5,8.0,0.73,9.0
8,1,20.8,23.2,25.4,11.1,6.0,0.64,14.0
8,2,21.3,23.5,25.8,11.4,5.0,0.51,7.0
8,3,21.4,23.4,25.5,11.5,7.0,0.67,22.0
9,1,20.5,22.6,25.0,12.5,7.0,0.69,17.0
9,2,20.6,22.4,24.8,13.6,5.0,0.53,13.0
9,3,20.5,22.1,24.0,14.4,7.0,0.74,27.0
10,1,20.2,21.8,23.5,16.4,8.0,0.79,33.0
10,2,18.3,20.0,21.9,17.6,8.0,0.79,47.0
10,3,17.5,19.1,20.8,17.0,8.0,0.69,33.0
11,1,17.5,19.1,20.9,17.3,7.0,0.71,40.0
11,2,16.6,18.2,20.0,15.9,8.0,0.77,26.0
11,3,16.6,17.8,19.1,17.8,9.0,0.85,50.0
12,1,15.5,16.9,18.6,15.3,8.0,0.75,35.0
12,2,15.0,16.3,18.0,20.4,8.0,0.84,32.0
12,3,14.8,16.3,17.6,19.8,7.0,0.63,67.0
