m,m3,coco,coco_pct
8,2,5.0,0.0
1,3,17.0,0.009
1,2,2.0,0.12
10,3,5.0,0.0
5,2,18.0,0.029
4,3,18.0,0.038
4,3,17.0,0.014
11,1,2.0,0.181
1,1,3.0,0.501
10,1,3.0,0.634
11,2,4.0,0.081
1,3,2.0,0.101
6,1,9.0,0.002
12,3,18.0,0.102
8,2,18.0,0.016
7,3,17.0,0.0
8,1,25.0,0.0
12,2,8.0,0.021
5,3,3.0,0.506
5,2,9.0,0.0
10,1,2.0,0.21
4,2,4.0,0.063
10,2,7.0,0.041
8,2,7.0,0.021
6,3,18.0,0.036
11,1,4.0,0.062
6,2,5.0,0.001
1,1,8.0,0.045
8,1,8.0,0.01
7,3,1.0,0.0
11,3,7.0,0.057
6,2,17.0,0.02
8,3,25.0,0.0
10,2,4.0,0.03
3,1,8.0,0.021
6,3,9.0,0.003
5,1,1.0,0.0
5,2,25.0,0.0
4,1,3.0,0.532
12,1,18.0,0.057
9,1,4.0,0.0
7,3,4.0,0.003
2,2,1.0,0.0
3,3,9.0,0.005
5,1,8.0,0.023
11,2,7.0,0.02
6,3,2.0,0.488
7,1,25.0,0.0
3,2,5.0,0.008
5,3,9.0,0.006
9,2,7.0,0.022
10,2,3.0,0.552
10,1,5.0,0.0
4,1,2.0,0.187
1,1,5.0,0.0
4,3,2.0,0.189
5,1,2.0,0.219
4,3,5.0,0.0
1,3,8.0,0.035
9,2,4.0,0.001
7,2,1.0,0.003
8,1,18.0,0.032
1,1,2.0,0.155
12,1,17.0,0.01
3,3,8.0,0.024
1,1,18.0,0.034
10,2,8.0,0.047
12,1,7.0,0.046
5,1,17.0,0.009
6,1,18.0,0.06
8,3,1.0,0.0
3,3,3.0,0.643
1,2,1.0,0.0
1,2,25.0,0.0
9,2,2.0,0.446
2,2,18.0,0.027
11,2,3.0,0.598
11,2,17.0,0.024
10,3,2.0,0.165
5,1,18.0,0.035
12,1,9.0,0.005
5,1,4.0,0.1
11,3,5.0,0.0
11,1,17.0,0.008
2,2,2.0,0.183
8,2,8.0,0.013
6,1,8.0,0.017
6,2,18.0,0.041
8,2,3.0,0.185
4,1,4.0,0.047
9,2,18.0,0.024
12,3,7.0,0.049
3,2,8.0,0.024
9,3,1.0,0.0
11,1,25.0,0.0
10,3,7.0,0.039
2,1,3.0,0.62
2,2,9.0,0.015
6,2,4.0,0.01
2,2,25.0,0.0
6,2,8.0,0.013
4,3,9.0,0.011
2,1,17.0,0.012
1,3,3.0,0.621
7,2,9.0,0.0
2,2,3.0,0.592
10,1,1.0,0.0
1,2,18.0,0.08
4,2,3.0,0.533
7,3,3.0,0.339
8,3,5.0,0.0
12,1,8.0,0.027
9,3,17.0,0.007
1,3,7.0,0.046
7,2,8.0,0.007
3,2,25.0,0.0
11,2,8.0,0.017
1,3,1.0,0.0
11,2,2.0,0.21
4,2,5.0,0.0
10,2,25.0,0.0
3,2,2.0,0.225
6,2,25.0,0.0
11,2,1.0,0.0
12,2,4.0,0.106
1,2,9.0,0.008
4,1,17.0,0.026
9,3,3.0,0.567
2,2,8.0,0.016
8,3,2.0,0.543
12,2,18.0,0.095
12,3,2.0,0.141
3,2,1.0,0.0
9,1,2.0,0.533
5,2,1.0,0.001
1,3,18.0,0.023
10,1,25.0,0.0
11,2,25.0,0.0
3,2,7.0,0.043
9,1,9.0,0.0
8,1,4.0,0.011
9,3,8.0,0.017
3,1,5.0,0.001
11,1,8.0,0.042
2,1,18.0,0.011
11,3,2.0,0.141
10,2,17.0,0.013
10,2,2.0,0.226
9,3,2.0,0.341
2,3,2.0,0.18
11,3,8.0,0.052
3,1,3.0,0.646
9,1,5.0,0.0
10,3,25.0,0.0
5,2,3.0,0.567
9,3,25.0,0.0
2,1,2.0,0.191
12,3,9.0,0.032
5,1,25.0,0.0
2,3,17.0,0.032
8,3,18.0,0.05
12,3,25.0,0.0
2,2,17.0,0.014
7,1,3.0,0.469
8,1,1.0,0.0
1,2,4.0,0.145
7,3,7.0,0.008
6,3,5.0,0.0
3,3,7.0,0.063
11,1,3.0,0.616
12,1,1.0,0.0
9,1,17.0,0.007
3,3,2.0,0.196
9,3,5.0,0.0
5,3,18.0,0.06
