m,coco,coco_pct
3,7.0,0.06
1,1.0,0.307
11,7.0,0.078
4,17.0,0.005
12,1.0,0.2
8,5.0,0.027
1,7.0,0.067
4,27.0,0.01
8,18.0,0.012
12,7.0,0.071
6,17.0,0.001
1,4.0,0.112
4,4.0,0.097
9,5.0,0.034
9,7.0,0.021
10,7.0,0.061
7,21.0,0.0
3,27.0,0.008
3,21.0,0.0
12,17.0,0.005
11,27.0,0.0
6,2.0,0.307
5,18.0,0.043
5,3.0,0.223
11,9.0,0.024
6,1.0,0.187
8,4.0,0.181
12,3.0,0.172
8,21.0,0.0
7,18.0,0.004
11,17.0,0.009
8,17.0,0.0
3,18.0,0.082
6,5.0,0.003
4,7.0,0.038
8,27.0,0.0
11,8.0,0.04
10,17.0,0.008
11,18.0,0.148
7,5.0,0.008
11,4.0,0.104
3,9.0,0.007
12,5.0,0.013
7,7.0,0.01
8,8.0,0.008
3,2.0,0.291
2,17.0,0.004
2,2.0,0.242
7,8.0,0.002
2,21.0,0.0
11,2.0,0.252
11,1.0,0.124
12,4.0,0.141
1,17.0,0.005
8,9.0,0.0
7,2.0,0.31
8,1.0,0.341
7,17.0,0.0
12,27.0,0.0
10,27.0,0.0
2,8.0,0.027
2,7.0,0.048
9,1.0,0.243
8,2.0,0.305
3,3.0,0.184
9,2.0,0.325
5,2.0,0.353
12,21.0,0.002
5,5.0,0.001
7,3.0,0.144
6,9.0,0.002
6,18.0,0.055
2,18.0,0.07
5,8.0,0.01
3,4.0,0.103
4,18.0,0.099
4,2.0,0.27
1,18.0,0.087
6,27.0,0.006
9,18.0,0.045
9,21.0,0.0
9,17.0,0.001
5,1.0,0.24
2,3.0,0.225
3,8.0,0.024
12,9.0,0.021
1,3.0,0.154
10,21.0,0.0
2,9.0,0.009
3,17.0,0.009
8,7.0,0.005
9,9.0,0.008
1,2.0,0.194
10,9.0,0.029
10,3.0,0.179
1,8.0,0.043
5,9.0,0.005
4,8.0,0.025
5,4.0,0.097
5,27.0,0.003
1,21.0,0.0
4,3.0,0.257
7,4.0,0.158
5,7.0,0.022
11,5.0,0.009
10,8.0,0.044
6,4.0,0.148
9,27.0,0.0
4,5.0,0.005
5,17.0,0.003
10,5.0,0.012
5,21.0,0.0
10,18.0,0.131
2,5.0,0.007
12,18.0,0.14
9,4.0,0.095
8,3.0,0.122
7,9.0,0.001
1,9.0,0.023
12,2.0,0.2
7,27.0,0.002
3,5.0,0.008
12,8.0,0.035
10,1.0,0.195
2,1.0,0.231
4,9.0,0.006
10,4.0,0.086
6,3.0,0.246
11,3.0,0.214
1,5.0,0.008
4,1.0,0.19
11,21.0,0.0
9,8.0,0.014
2,27.0,0.0
9,3.0,0.214
6,7.0,0.033
4,21.0,0.0
7,1.0,0.362
6,21.0,0.0
3,1.0,0.224
2,4.0,0.138
10,2.0,0.256
1,27.0,0.0
6,8.0,0.013
