m,coco,coco_pct
9,4.0,0.095
10,4.0,0.086
2,8.0,0.025
10,9.0,0.029
12,2.0,0.2
7,8.0,0.002
12,5.0,0.013
10,5.0,0.012
8,8.0,0.008
8,18.0,0.012
11,5.0,0.009
3,27.0,0.016
2,17.0,0.003
3,8.0,0.024
5,8.0,0.01
9,7.0,0.021
7,17.0,0.0
1,4.0,0.114
9,21.0,0.0
10,1.0,0.195
11,3.0,0.214
10,3.0,0.179
9,17.0,0.001
5,18.0,0.043
4,17.0,0.005
3,9.0,0.008
12,17.0,0.005
11,21.0,0.0
8,9.0,0.0
2,2.0,0.257
8,2.0,0.305
5,2.0,0.353
5,5.0,0.001
3,1.0,0.222
3,17.0,0.01
10,21.0,0.0
4,21.0,0.0
3,7.0,0.054
5,21.0,0.0
2,21.0,0.0
3,18.0,0.086
10,17.0,0.008
2,4.0,0.108
6,17.0,0.001
8,17.0,0.0
12,3.0,0.172
1,17.0,0.004
5,17.0,0.003
6,9.0,0.002
11,18.0,0.148
7,21.0,0.0
9,3.0,0.214
10,8.0,0.044
9,9.0,0.008
6,27.0,0.006
8,21.0,0.0
12,9.0,0.021
12,21.0,0.002
4,18.0,0.099
7,3.0,0.144
7,18.0,0.004
2,7.0,0.035
6,2.0,0.307
11,9.0,0.024
7,1.0,0.362
5,1.0,0.24
1,5.0,0.008
11,17.0,0.009
9,1.0,0.243
1,9.0,0.023
2,9.0,0.01
1,1.0,0.316
3,2.0,0.288
11,7.0,0.078
4,4.0,0.097
2,5.0,0.008
7,27.0,0.002
1,3.0,0.151
11,2.0,0.252
4,7.0,0.038
9,5.0,0.034
7,9.0,0.001
9,8.0,0.014
12,18.0,0.14
4,27.0,0.01
9,2.0,0.325
10,27.0,0.0
2,1.0,0.257
10,2.0,0.256
7,5.0,0.008
3,5.0,0.009
7,4.0,0.158
1,8.0,0.043
1,27.0,0.0
3,21.0,0.0
8,7.0,0.005
5,7.0,0.022
2,3.0,0.215
10,7.0,0.061
3,3.0,0.185
6,5.0,0.003
2,18.0,0.074
4,5.0,0.005
5,27.0,0.003
11,27.0,0.0
5,9.0,0.005
4,9.0,0.006
6,8.0,0.013
6,18.0,0.055
6,7.0,0.033
4,3.0,0.257
4,8.0,0.025
1,21.0,0.0
1,2.0,0.192
11,4.0,0.104
1,18.0,0.084
10,18.0,0.131
6,1.0,0.187
12,27.0,0.0
8,27.0,0.0
4,2.0,0.27
6,21.0,0.0
4,1.0,0.19
12,4.0,0.141
5,4.0,0.097
12,7.0,0.071
9,27.0,0.0
11,8.0,0.04
3,4.0,0.1
1,7.0,0.065
8,1.0,0.341
6,4.0,0.148
9,18.0,0.045
8,3.0,0.122
7,7.0,0.01
12,8.0,0.035
8,5.0,0.027
2,27.0,0.007
5,3.0,0.223
7,2.0,0.31
6,3.0,0.246
12,1.0,0.2
11,1.0,0.124
8,4.0,0.181
