m,m3,coco,coco_pct
6,2,8.0,0.02
3,2,18.0,0.055
10,1,17.0,0.004
10,3,2.0,0.245
9,1,3.0,0.201
10,1,4.0,0.098
9,3,18.0,0.043
1,2,8.0,0.038
12,3,27.0,0.0
7,3,21.0,0.0
4,1,3.0,0.239
7,3,17.0,0.0
4,3,17.0,0.003
10,1,5.0,0.023
3,3,21.0,0.0
11,3,1.0,0.111
4,2,3.0,0.235
8,1,7.0,0.001
1,3,8.0,0.065
9,2,3.0,0.207
6,2,3.0,0.311
9,3,8.0,0.014
5,3,9.0,0.001
11,1,7.0,0.088
5,1,1.0,0.219
2,3,17.0,0.005
12,1,27.0,0.0
10,1,9.0,0.015
2,3,8.0,0.02
4,1,4.0,0.089
2,3,27.0,0.004
11,1,17.0,0.011
10,2,7.0,0.072
5,3,5.0,0.003
3,1,2.0,0.226
4,1,2.0,0.246
4,1,1.0,0.195
1,1,8.0,0.024
6,1,7.0,0.028
12,3,4.0,0.114
1,2,2.0,0.209
12,1,2.0,0.238
1,1,4.0,0.139
11,3,5.0,0.003
1,2,9.0,0.019
4,2,17.0,0.003
11,2,18.0,0.095
8,1,27.0,0.0
8,2,27.0,0.0
5,1,7.0,0.029
3,2,1.0,0.25
12,2,18.0,0.187
10,2,1.0,0.117
7,2,8.0,0.003
7,2,3.0,0.14
8,2,17.0,0.0
6,1,18.0,0.045
9,3,2.0,0.384
1,1,27.0,0.0
3,3,18.0,0.055
11,3,4.0,0.125
3,3,8.0,0.013
9,2,1.0,0.247
8,2,9.0,0.001
2,1,18.0,0.101
9,2,18.0,0.054
11,2,9.0,0.005
11,2,8.0,0.02
2,3,4.0,0.07
2,1,9.0,0.018
10,3,8.0,0.049
7,2,9.0,0.003
1,1,2.0,0.201
2,1,4.0,0.123
9,2,2.0,0.314
9,2,17.0,0.003
12,1,7.0,0.082
6,1,1.0,0.224
12,3,7.0,0.072
8,1,3.0,0.11
12,2,8.0,0.052
4,2,18.0,0.064
8,2,21.0,0.0
5,2,17.0,0.003
3,1,21.0,0.0
9,3,4.0,0.074
9,1,5.0,0.016
7,3,3.0,0.135
11,1,3.0,0.213
7,1,4.0,0.152
6,3,9.0,0.001
1,3,7.0,0.065
2,2,27.0,0.012
10,3,1.0,0.15
6,2,7.0,0.047
