m,m3,coco,coco_pct
10,1,5.0,0.052
4,3,3.0,0.427
2,3,1.0,0.21
9,1,5.0,0.05
7,1,17.0,0.002
10,3,9.0,0.028
2,3,9.0,0.006
10,3,17.0,0.023
8,3,9.0,0.0
6,2,8.0,0.002
9,2,7.0,0.007
10,1,7.0,0.015
6,3,9.0,0.004
4,3,4.0,0.008
7,3,2.0,0.357
5,1,7.0,0.034
12,2,9.0,0.063
11,3,8.0,0.043
12,2,2.0,0.243
5,1,17.0,0.017
11,1,17.0,0.029
4,3,17.0,0.024
6,1,18.0,0.003
11,2,5.0,0.064
5,3,9.0,0.0
11,2,4.0,0.015
3,3,17.0,0.031
8,2,18.0,0.001
3,2,1.0,0.252
10,3,5.0,0.022
12,2,26.0,0.0
9,1,1.0,0.361
4,3,1.0,0.138
8,1,4.0,0.075
9,3,25.0,0.0
5,3,5.0,0.014
10,3,2.0,0.297
2,3,18.0,0.01
6,3,5.0,0.006
10,3,4.0,0.024
5,2,17.0,0.015
3,2,3.0,0.333
11,3,4.0,0.019
1,2,2.0,0.155
7,3,18.0,0.002
1,1,5.0,0.037
5,2,26.0,0.0
5,3,17.0,0.007
5,1,1.0,0.156
4,1,9.0,0.006
8,3,26.0,0.0
7,2,18.0,0.0
10,2,7.0,0.052
6,2,25.0,0.0
2,3,8.0,0.011
5,3,3.0,0.341
7,1,3.0,0.273
3,3,9.0,0.02
4,1,1.0,0.129
3,2,25.0,0.0
5,3,8.0,0.004
8,2,7.0,0.005
6,1,9.0,0.009
2,2,1.0,0.202
8,2,3.0,0.219
11,1,5.0,0.029
7,3,26.0,0.0
9,3,4.0,0.008
9,3,3.0,0.231
2,1,1.0,0.324
7,2,9.0,0.0
9,2,18.0,0.032
9,1,9.0,0.004
3,2,4.0,0.006
2,2,25.0,0.0
12,3,7.0,0.045
1,3,25.0,0.0
4,3,25.0,0.0
1,2,8.0,0.037
12,1,1.0,0.181
6,2,5.0,0.019
11,2,8.0,0.031
11,2,3.0,0.362
7,2,17.0,0.001
6,3,26.0,0.0
4,1,25.0,0.0
4,1,4.0,0.045
7,1,2.0,0.253
4,3,5.0,0.005
3,2,7.0,0.024
10,3,1.0,0.174
2,1,26.0,0.0
4,2,4.0,0.025
12,2,18.0,0.022
9,1,17.0,0.011
4,3,7.0,0.039
11,2,25.0,0.0
6,3,18.0,0.004
8,2,2.0,0.304
11,3,3.0,0.419
6,3,2.0,0.347
6,1,3.0,0.366
6,2,1.0,0.129
8,1,17.0,0.0
11,3,9.0,0.032
3,1,3.0,0.396
1,1,1.0,0.282
5,3,26.0,0.0
2,1,5.0,0.021
8,2,26.0,0.0
12,2,17.0,0.017
12,1,18.0,0.02
7,1,26.0,0.0
10,3,25.0,0.001
10,2,18.0,0.017
5,1,9.0,0.002
2,3,7.0,0.038
6,1,8.0,0.015
9,1,7.0,0.005
8,1,2.0,0.276
2,2,2.0,0.241
3,2,26.0,0.0
6,2,26.0,0.0
2,2,7.0,0.023
10,3,8.0,0.04
3,3,18.0,0.016
