m,coco,coco_pct
4,9.0,0.01
9,5.0,0.015
8,5.0,0.001
11,1.0,0.223
2,18.0,0.002
2,7.0,0.022
6,9.0,0.018
9,17.0,0.028
5,18.0,0.001
3,1.0,0.202
10,8.0,0.06
4,8.0,0.012
8,9.0,0.0
2,2.0,0.108
8,2.0,0.072
12,3.0,0.4
7,18.0,0.0
1,3.0,0.382
5,2.0,0.143
10,9.0,0.049
11,8.0,0.065
11,9.0,0.032
12,8.0,0.052
12,9.0,0.047
7,5.0,0.0
2,3.0,0.381
8,3.0,0.126
10,7.0,0.05
3,7.0,0.045
6,7.0,0.02
8,1.0,0.8
11,5.0,0.093
5,3.0,0.451
6,17.0,0.026
1,7.0,0.033
8,8.0,0.0
12,7.0,0.038
5,1.0,0.349
12,1.0,0.314
10,2.0,0.106
8,17.0,0.0
7,9.0,0.0
3,8.0,0.048
6,3.0,0.341
11,17.0,0.005
7,2.0,0.072
2,8.0,0.024
2,9.0,0.019
12,5.0,0.081
4,2.0,0.122
1,5.0,0.069
4,18.0,0.001
9,1.0,0.437
9,7.0,0.021
1,2.0,0.074
3,2.0,0.089
5,8.0,0.02
12,18.0,0.0
8,7.0,0.0
7,1.0,0.784
12,2.0,0.057
1,18.0,0.001
4,3.0,0.451
1,1.0,0.319
2,17.0,0.016
6,8.0,0.026
5,9.0,0.009
2,5.0,0.027
7,3.0,0.143
11,2.0,0.095
10,5.0,0.019
1,8.0,0.06
5,7.0,0.015
11,7.0,0.048
11,3.0,0.438
9,2.0,0.119
4,1.0,0.355
10,1.0,0.251
10,3.0,0.436
5,5.0,0.001
1,17.0,0.007
9,3.0,0.324
3,9.0,0.036
3,5.0,0.032
8,18.0,0.0
5,17.0,0.009
9,8.0,0.026
6,5.0,0.009
11,18.0,0.001
3,17.0,0.025
9,9.0,0.023
1,9.0,0.055
6,18.0,0.006
4,5.0,0.015
3,18.0,0.002
10,18.0,0.001
3,3.0,0.521
2,1.0,0.4
6,1.0,0.407
6,2.0,0.146
7,17.0,0.0
4,17.0,0.019
10,17.0,0.027
9,18.0,0.005
4,7.0,0.014
7,8.0,0.0
12,17.0,0.009
7,7.0,0.0
