m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,3.8,8.2,6.3,86.0,11.1,0.11
1,1,3.3,8.1,6.0,86.0,11.0,0.1
1,2,3.4,7.6,6.0,86.5,11.5,0.12
1,3,3.0,7.6,5.8,87.5,11.5,0.12
1,4,2.8,7.7,5.5,88.0,11.2,0.11
1,5,2.7,7.4,5.1,89.0,11.2,0.12
1,6,2.6,7.8,5.0,89.5,11.2,0.13
1,7,2.3,7.6,5.0,90.0,11.2,0.14
1,8,2.1,7.4,5.0,89.0,11.5,0.09
1,9,3.9,8.7,6.4,84.0,12.1,0.11
1,10,6.3,9.8,8.2,80.0,12.3,0.12
1,11,8.2,10.8,9.7,73.5,12.6,0.14
1,12,9.7,11.7,10.6,70.5,13.4,0.16
1,13,10.4,12.7,11.7,65.0,13.4,0.16
1,14,11.1,13.2,12.1,62.5,13.2,0.15
1,15,11.2,13.4,12.4,63.0,13.2,0.19
1,16,11.0,13.1,12.0,65.0,12.5,0.16
1,17,9.3,12.5,10.6,72.0,10.5,0.14
1,18,7.8,10.9,9.4,76.5,10.8,0.14
1,19,6.9,10.4,8.8,80.5,11.4,0.13
1,20,5.8,9.8,7.9,82.5,11.7,0.14
1,21,5.0,9.1,7.3,85.0,11.6,0.15
1,22,4.5,8.9,6.8,86.5,11.7,0.13
1,23,3.9,8.6,6.4,87.5,11.9,0.13
2,0,5.8,8.7,7.1,88.0,10.1,0.12
2,1,5.3,8.4,6.7,88.0,9.2,0.13
2,2,5.0,8.2,6.6,88.0,9.7,0.1
2,3,4.6,7.7,6.2,89.5,9.0,0.13
2,4,4.7,7.5,6.0,89.5,9.9,0.08
2,5,4.7,7.1,6.2,88.0,10.6,0.08
2,6,4.4,7.0,6.0,88.0,10.1,0.09
2,7,4.4,6.9,5.6,89.0,9.8,0.1
2,8,5.0,7.3,6.1,89.0,10.7,0.12
2,9,7.4,9.3,8.4,83.0,11.5,0.12
2,10,9.2,11.1,10.1,75.5,11.9,0.12
2,11,10.7,12.7,11.6,69.0,11.1,0.17
2,12,12.0,14.2,13.0,64.5,12.6,0.19
2,13,13.0,15.2,14.1,59.5,12.6,0.17
2,14,13.8,15.9,14.9,55.5,13.1,0.17
2,15,13.7,16.2,15.1,55.0,13.4,0.17
2,16,13.5,16.0,15.0,54.5,12.6,0.12
2,17,12.5,15.0,13.9,63.0,10.6,0.1
2,18,10.7,12.9,12.0,67.5,10.1,0.11
2,19,9.7,11.4,10.6,72.0,10.5,0.09
2,20,8.6,10.5,9.7,76.5,10.8,0.08
2,21,7.9,9.8,9.1,79.0,10.5,0.09
2,22,7.3,9.5,8.5,82.5,10.6,0.1
2,23,6.8,9.0,7.7,85.0,10.4,0.08
3,0,8.1,9.7,9.0,84.0,11.0,0.13
3,1,7.5,9.0,8.5,87.5,10.8,0.15
3,2,7.2,8.7,8.2,88.5,10.3,0.16
3,3,6.8,8.8,7.8,88.0,11.0,0.18
3,4,6.1,8.7,7.6,88.5,11.0,0.15
3,5,6.0,8.3,7.0,88.5,11.4,0.14
3,6,6.1,8.2,6.9,89.0,11.7,0.12
3,7,6.0,8.3,7.1,89.0,11.0,0.13
3,8,8.4,9.3,8.8,83.0,11.9,0.16
3,9,10.5,11.3,10.9,75.0,13.5,0.17
3,10,12.1,13.1,12.8,66.0,13.9,0.23
3,11,13.4,14.9,14.7,61.0,14.3,0.29
3,12,14.3,16.6,15.9,55.0,14.8,0.22
3,13,14.7,17.3,16.8,51.0,14.4,0.22
3,14,15.6,17.9,17.3,49.5,14.6,0.23
3,15,15.7,18.2,17.1,48.5,15.1,0.23
3,16,15.8,18.1,17.0,49.5,14.4,0.18
3,17,15.4,17.3,15.8,52.0,13.3,0.18
3,18,13.1,15.8,14.2,60.5,11.4,0.16
3,19,11.6,13.6,12.6,65.0,11.9,0.14
3,20,10.5,12.3,11.5,69.5,11.7,0.13
3,21,9.8,11.4,10.9,76.5,11.9,0.15
3,22,9.2,10.6,10.1,78.0,11.6,0.15
3,23,8.8,10.3,9.4,81.5,11.4,0.11
4,0,10.2,11.9,11.1,83.0,9.9,0.09
4,1,9.3,11.3,10.4,83.8,9.4,0.1
4,2,8.9,10.9,9.9,87.0,8.6,0.12
4,3,8.6,10.6,9.5,88.0,9.0,0.12
4,4,8.2,10.0,9.3,89.0,9.5,0.13
4,5,8.2,10.0,9.0,88.0,9.0,0.13
4,6,8.4,9.7,9.0,87.3,8.7,0.12
4,7,9.8,11.4,10.6,82.8,10.4,0.1
4,8,11.9,13.2,12.6,73.5,10.2,0.13
4,9,13.4,15.2,14.4,63.8,11.5,0.2
4,10,15.3,17.2,16.2,55.5,11.3,0.21
4,11,16.8,18.5,17.7,49.5,10.9,0.25
4,12,17.5,19.6,19.0,45.5,12.2,0.16
4,13,18.1,20.5,19.5,44.0,11.6,0.2
4,14,18.7,21.0,20.4,41.3,12.7,0.23
4,15,18.6,21.3,20.7,41.3,12.3,0.18
4,16,17.9,21.4,20.5,42.5,13.5,0.15
4,17,17.1,20.9,19.6,45.3,13.9,0.16
4,18,15.9,19.4,18.2,52.3,11.9,0.14
4,19,14.6,17.3,16.1,59.5,11.4,0.1
4,20,13.1,15.3,14.4,65.8,11.5,0.06
4,21,12.4,14.3,13.3,70.5,11.1,0.06
4,22,11.4,13.6,12.6,75.8,11.5,0.06
4,23,11.0,13.0,12.0,78.5,10.7,0.06
5,0,13.0,15.3,14.1,74.0,10.5,0.02
5,1,12.2,14.6,13.5,76.0,10.1,0.02
5,2,11.6,13.8,12.5,75.0,10.1,0.01
5,3,11.5,13.3,12.1,77.5,9.7,0.02
5,4,11.2,12.9,11.6,78.5,9.2,0.02
5,5,11.1,12.3,11.4,80.0,9.4,0.03
5,6,11.4,12.7,11.9,79.0,10.3,0.05
5,7,13.1,14.7,13.7,69.5,10.5,0.04
5,8,15.3,16.9,15.9,60.5,11.0,0.06
5,9,17.3,19.2,18.3,51.5,11.0,0.06
5,10,19.0,21.3,20.2,45.5,11.4,0.07
5,11,20.3,23.0,21.5,39.5,12.6,0.08
5,12,21.6,23.7,22.7,36.0,13.0,0.06
5,13,22.6,24.9,23.5,33.5,13.5,0.03
5,14,23.1,25.4,24.3,31.5,14.4,0.08
5,15,23.5,25.7,24.6,31.5,15.5,0.08
5,16,22.7,25.9,24.2,33.0,16.4,0.08
5,17,22.2,25.5,23.3,35.5,17.1,0.07
5,18,20.4,23.9,22.2,41.0,16.8,0.07
5,19,18.6,22.1,20.3,48.5,15.5,0.05
5,20,16.6,20.0,18.3,55.5,14.8,0.04
