m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.9,7.4,12.0,8.7,4.0,0.37,6.0
1,2,4.2,8.1,12.2,11.8,4.0,0.39,23.0
1,3,5.5,9.8,13.8,12.9,4.0,0.4,11.0
2,1,5.5,9.3,15.0,12.1,4.0,0.36,18.0
2,2,6.2,10.8,16.2,10.3,3.0,0.33,6.0
2,3,5.4,10.8,14.5,10.6,5.0,0.5,5.0
3,1,5.8,9.8,13.6,12.1,7.0,0.65,40.0
3,2,7.4,12.1,17.5,11.5,4.0,0.37,11.0
3,3,7.5,12.3,19.0,12.4,4.0,0.4,28.0
4,1,7.8,12.5,20.4,11.8,5.0,0.51,22.0
4,2,9.6,15.3,21.7,10.6,4.0,0.37,14.0
4,3,9.4,14.9,19.7,11.5,6.0,0.58,26.0
5,1,11.0,17.6,27.4,11.7,2.0,0.24,5.0
5,2,14.4,21.1,32.0,13.4,3.0,0.31,2.0
5,3,12.7,19.7,26.3,12.4,2.0,0.21,2.0
6,1,13.4,20.2,27.8,10.7,4.0,0.41,9.0
6,2,14.2,20.7,29.3,10.6,4.0,0.43,6.0
6,3,15.6,22.4,29.5,12.1,3.0,0.28,1.0
7,1,15.8,24.5,34.9,11.2,0.0,0.04,0.0
7,2,18.6,25.9,34.0,12.0,0.0,0.0,0.0
7,3,17.7,24.9,35.1,11.6,0.0,0.04,0.0
8,1,17.8,24.5,30.6,11.4,0.0,0.04,0.0
8,2,17.2,24.4,32.2,11.1,2.0,0.21,30.0
8,3,18.5,25.4,34.1,10.4,1.0,0.05,0.0
9,1,16.4,23.2,28.3,10.8,3.0,0.26,0.0
9,2,16.4,21.8,27.4,10.5,4.0,0.37,23.0
9,3,13.2,19.5,25.1,10.6,3.0,0.28,4.0
10,1,14.3,19.5,28.1,8.7,2.0,0.2,0.0
10,2,13.2,16.5,23.6,9.9,6.0,0.62,50.0
10,3,11.2,14.5,20.0,12.6,7.0,0.64,36.0
11,1,9.2,12.1,16.7,11.3,6.0,0.55,30.0
11,2,8.8,12.4,17.6,12.0,4.0,0.42,15.0
11,3,6.8,10.3,15.1,10.1,6.0,0.56,28.0
12,1,6.3,9.9,13.9,11.3,6.0,0.59,13.0
12,2,7.1,10.1,13.8,11.8,5.0,0.51,51.0
12,3,6.3,9.3,13.7,9.6,5.0,0.45,17.0
