m,m3,coco,coco_pct
5,2,8.0,0.002
9,3,5.0,0.017
11,1,8.0,0.079
7,3,9.0,0.001
1,3,1.0,0.433
10,3,9.0,0.052
5,2,3.0,0.408
5,3,17.0,0.013
6,3,5.0,0.004
9,1,3.0,0.374
1,3,8.0,0.048
12,2,5.0,0.033
10,1,2.0,0.107
3,3,7.0,0.038
8,1,17.0,0.0
8,1,3.0,0.026
1,2,5.0,0.053
8,2,8.0,0.0
12,1,17.0,0.01
8,2,18.0,0.0
9,2,2.0,0.168
12,2,1.0,0.269
2,1,17.0,0.013
9,2,7.0,0.018
6,3,7.0,0.025
12,2,2.0,0.072
6,1,2.0,0.156
8,3,5.0,0.0
9,2,5.0,0.022
10,2,2.0,0.121
8,3,17.0,0.0
1,3,17.0,0.003
10,2,17.0,0.04
9,3,3.0,0.287
12,3,3.0,0.337
9,2,3.0,0.312
9,1,17.0,0.03
8,1,1.0,0.924
9,1,2.0,0.086
4,1,9.0,0.017
1,2,2.0,0.085
12,2,7.0,0.051
3,1,18.0,0.0
2,2,7.0,0.027
10,3,8.0,0.073
8,3,18.0,0.0
11,2,7.0,0.053
7,3,18.0,0.0
4,1,3.0,0.521
5,1,17.0,0.01
3,2,9.0,0.0
4,2,1.0,0.435
4,1,5.0,0.029
2,2,9.0,0.015
11,2,3.0,0.383
4,3,17.0,0.031
5,3,9.0,0.027
3,3,3.0,0.578
12,3,7.0,0.028
2,2,1.0,0.279
2,1,3.0,0.244
11,2,8.0,0.051
11,2,18.0,0.001
3,1,9.0,0.063
9,3,8.0,0.019
2,2,18.0,0.002
6,3,18.0,0.001
8,1,2.0,0.046
11,1,18.0,0.003
3,3,9.0,0.044
12,3,2.0,0.038
2,2,5.0,0.017
2,1,8.0,0.038
9,2,9.0,0.035
8,1,9.0,0.0
4,3,18.0,0.002
7,1,2.0,0.071
8,3,3.0,0.179
4,3,7.0,0.017
10,2,8.0,0.086
3,1,8.0,0.083
7,3,1.0,0.852
6,2,5.0,0.013
8,2,2.0,0.085
2,1,9.0,0.033
2,2,8.0,0.021
12,2,17.0,0.013
9,3,17.0,0.008
6,3,1.0,0.6
12,3,17.0,0.004
11,3,17.0,0.001
12,1,1.0,0.208
9,2,18.0,0.004
3,3,2.0,0.078
6,2,2.0,0.192
9,1,9.0,0.03
8,1,18.0,0.0
3,1,7.0,0.079
2,1,7.0,0.015
8,1,7.0,0.0
6,2,17.0,0.026
12,3,9.0,0.013
1,1,3.0,0.436
8,2,9.0,0.0
3,2,2.0,0.113
2,1,18.0,0.004
7,1,18.0,0.0
10,1,8.0,0.019
4,1,8.0,0.017
2,3,17.0,0.037
2,3,2.0,0.213
7,3,5.0,0.0
1,2,3.0,0.365
7,3,7.0,0.0
12,2,9.0,0.083
5,1,1.0,0.267
2,1,1.0,0.579
10,2,9.0,0.087
7,1,8.0,0.0
11,1,3.0,0.433
5,3,18.0,0.004
5,3,2.0,0.153
1,2,9.0,0.082
9,2,1.0,0.354
4,2,3.0,0.377
6,1,9.0,0.031
12,3,8.0,0.023
10,3,17.0,0.03
6,2,3.0,0.385
6,3,8.0,0.012
7,2,17.0,0.0
1,1,17.0,0.003
9,2,17.0,0.046
11,3,7.0,0.04
8,3,8.0,0.0
10,1,3.0,0.407
1,3,9.0,0.035
3,2,5.0,0.052
5,1,18.0,0.0
7,3,2.0,0.048
11,3,18.0,0.0
2,3,8.0,0.014
8,2,1.0,0.747
11,1,9.0,0.032
11,1,7.0,0.05
11,1,17.0,0.011
10,3,5.0,0.014
10,1,17.0,0.011
11,3,5.0,0.1
9,3,7.0,0.019
9,3,9.0,0.006
11,3,2.0,0.069
7,2,3.0,0.203
3,3,17.0,0.027
6,1,3.0,0.396
9,3,2.0,0.103
4,2,9.0,0.002
3,2,3.0,0.544
8,2,17.0,0.0
7,1,17.0,0.001
6,1,8.0,0.058
9,1,7.0,0.026
4,3,2.0,0.129
12,1,9.0,0.05
1,3,7.0,0.015
2,3,5.0,0.049
11,2,5.0,0.11
10,2,1.0,0.176
7,1,7.0,0.0
1,3,3.0,0.349
10,3,1.0,0.169
2,3,7.0,0.025
5,1,9.0,0.0
1,3,18.0,0.0
5,1,2.0,0.11
7,1,9.0,0.0
2,2,17.0,0.0
6,1,17.0,0.042
6,1,5.0,0.01
3,1,3.0,0.435
8,1,8.0,0.0
3,1,2.0,0.079
12,1,7.0,0.036
11,2,2.0,0.117
5,1,3.0,0.59
10,3,18.0,0.0
1,3,2.0,0.064
5,3,8.0,0.042
2,3,3.0,0.319
10,1,7.0,0.017
9,3,1.0,0.54
4,2,8.0,0.008
1,2,17.0,0.017
11,3,1.0,0.193
8,3,1.0,0.736
4,1,7.0,0.017
11,2,17.0,0.003
9,3,18.0,0.0
2,1,5.0,0.019
11,1,5.0,0.069
2,2,2.0,0.065
6,3,9.0,0.014
12,1,3.0,0.467
7,3,8.0,0.001
2,3,18.0,0.0
6,2,1.0,0.361
1,2,18.0,0.003
9,1,8.0,0.019
8,2,5.0,0.0
1,1,9.0,0.05
6,2,7.0,0.003
4,2,18.0,0.002
5,1,8.0,0.015
6,1,7.0,0.031
3,3,8.0,0.055
12,1,5.0,0.103
4,2,2.0,0.148
11,3,8.0,0.064
5,2,2.0,0.165
3,2,17.0,0.021
8,2,7.0,0.0
9,1,1.0,0.418
3,2,7.0,0.019
5,1,5.0,0.0
9,1,5.0,0.006
5,3,5.0,0.0
11,2,9.0,0.029
4,3,9.0,0.01
3,1,17.0,0.027
6,1,1.0,0.26
4,2,5.0,0.01
12,2,3.0,0.403
6,2,18.0,0.003
1,2,7.0,0.04
5,2,18.0,0.0
8,1,5.0,0.004
8,3,9.0,0.0
1,1,1.0,0.217
6,2,8.0,0.008
7,1,5.0,0.0
1,3,5.0,0.052
7,3,3.0,0.097
10,2,7.0,0.051
2,3,1.0,0.336
4,3,5.0,0.006
6,3,2.0,0.09
4,1,17.0,0.019
3,3,5.0,0.021
4,2,7.0,0.008
2,1,2.0,0.056
10,3,7.0,0.078
2,2,3.0,0.575
3,1,1.0,0.208
5,2,7.0,0.006
5,3,7.0,0.028
11,3,9.0,0.035
9,2,8.0,0.04
4,3,1.0,0.338
7,2,8.0,0.0
12,3,18.0,0.0
7,3,17.0,0.0
3,2,18.0,0.0
2,3,9.0,0.007
9,1,18.0,0.012
1,1,5.0,0.104
10,1,5.0,0.015
1,2,1.0,0.296
11,2,1.0,0.253
10,1,9.0,0.008
6,3,17.0,0.011
1,1,2.0,0.074
10,3,3.0,0.491
8,3,2.0,0.085
3,2,8.0,0.006
7,2,5.0,0.0
7,2,18.0,0.0
11,1,1.0,0.224
12,2,18.0,0.001
3,3,18.0,0.006
5,1,7.0,0.008
12,2,8.0,0.074
5,2,17.0,0.004
7,2,7.0,0.0
7,2,9.0,0.0
5,2,1.0,0.41
10,2,3.0,0.406
5,3,1.0,0.369
4,3,3.0,0.456
10,2,5.0,0.029
5,2,5.0,0.004
7,2,1.0,0.699
3,2,1.0,0.246
4,1,2.0,0.09
12,1,18.0,0.0
7,1,3.0,0.133
4,3,8.0,0.01
12,1,2.0,0.064
8,2,3.0,0.168
4,2,17.0,0.008
10,2,18.0,0.003
1,1,18.0,0.0
7,1,1.0,0.795
3,1,5.0,0.025
10,1,1.0,0.415
4,1,1.0,0.292
6,2,9.0,0.01
11,3,3.0,0.497
10,1,18.0,0.0
11,1,2.0,0.099
12,3,5.0,0.106
12,3,1.0,0.452
5,3,3.0,0.364
3,3,1.0,0.155
7,2,2.0,0.099
1,1,7.0,0.044
6,1,18.0,0.015
10,3,2.0,0.092
1,1,8.0,0.072
5,2,9.0,0.0
8,3,7.0,0.0
6,3,3.0,0.242
4,1,18.0,0.0
12,1,8.0,0.062
1,2,8.0,0.06
