m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,3.1,7.7,5.3,92.5,8.0,0.06
1,1,1,2.8,7.5,4.9,93.5,7.9,0.04
1,1,2,2.5,7.5,4.9,94.0,7.8,0.04
1,1,3,1.9,7.2,4.6,93.3,7.5,0.02
1,1,4,2.1,7.0,4.4,92.5,8.8,0.04
1,1,5,2.0,6.7,4.5,94.3,8.5,0.08
1,1,6,1.9,6.3,4.1,94.0,8.1,0.08
1,1,7,1.6,6.5,4.1,94.0,8.9,0.08
1,1,8,1.5,6.4,4.0,94.5,8.2,0.06
1,1,9,3.5,7.9,5.8,91.0,8.5,0.08
1,1,10,5.8,9.5,7.4,86.3,7.7,0.12
1,1,11,7.4,10.7,9.3,78.5,7.2,0.14
1,1,12,9.1,11.3,10.4,73.0,9.8,0.21
1,1,13,10.2,12.0,11.2,68.8,11.2,0.14
1,1,14,10.9,12.4,11.7,67.5,11.0,0.2
1,1,15,10.7,12.7,11.8,67.8,11.2,0.24
1,1,16,10.4,12.6,11.5,71.5,10.5,0.16
1,1,17,8.4,12.5,10.4,77.8,9.3,0.16
1,1,18,6.9,11.1,9.2,83.5,9.1,0.14
1,1,19,6.3,10.9,8.6,86.0,9.7,0.12
1,1,20,5.5,9.9,7.7,88.3,9.8,0.14
1,1,21,4.7,9.1,7.4,89.5,10.0,0.16
1,1,22,4.0,8.3,6.4,90.8,9.5,0.1
1,1,23,3.5,8.0,5.6,91.5,9.1,0.1
1,2,0,3.7,6.9,5.5,83.0,12.5,0.14
1,2,1,3.4,7.3,5.4,82.5,11.6,0.1
1,2,2,3.5,7.4,5.4,83.3,11.9,0.12
1,2,3,3.0,7.4,5.3,83.3,11.8,0.16
1,2,4,2.6,7.4,4.9,84.5,11.6,0.14
1,2,5,2.0,7.2,4.8,85.0,11.5,0.12
1,2,6,1.8,7.6,4.8,85.3,11.6,0.14
1,2,7,1.8,7.7,4.6,86.5,11.4,0.16
1,2,8,1.5,7.6,4.2,84.8,11.6,0.12
1,2,9,3.6,8.2,5.8,81.5,12.1,0.12
1,2,10,6.2,9.3,7.7,75.8,12.0,0.1
1,2,11,7.9,10.2,9.1,70.8,12.2,0.14
1,2,12,9.3,11.2,10.2,66.0,11.8,0.12
1,2,13,10.3,12.3,11.1,62.8,11.4,0.12
1,2,14,10.9,12.9,11.8,61.5,11.0,0.12
1,2,15,11.1,12.9,12.1,61.8,11.2,0.12
1,2,16,10.8,12.4,11.8,63.3,11.3,0.18
1,2,17,9.1,11.0,10.3,70.5,11.0,0.16
1,2,18,7.6,9.6,8.6,75.5,11.6,0.16
1,2,19,6.5,8.2,7.6,78.5,12.1,0.16
1,2,20,5.7,7.8,7.1,81.5,12.1,0.16
1,2,21,4.8,7.5,6.4,83.3,11.3,0.18
1,2,22,4.0,7.3,6.2,84.0,12.5,0.18
1,2,23,3.6,7.2,6.1,83.8,12.6,0.22
1,3,0,4.9,8.6,7.0,85.0,12.3,0.13
1,3,1,4.3,8.3,6.6,85.5,11.7,0.16
1,3,2,4.3,8.2,6.4,84.0,11.9,0.18
1,3,3,4.5,8.2,6.3,84.5,12.5,0.16
1,3,4,3.4,8.0,6.1,86.0,12.4,0.15
1,3,5,3.1,8.1,5.9,87.0,13.3,0.15
1,3,6,2.9,7.8,5.8,88.0,13.5,0.16
1,3,7,2.9,8.2,5.5,83.5,13.5,0.18
1,3,8,2.9,8.4,5.3,82.5,13.3,0.09
1,3,9,4.9,9.2,7.1,83.5,13.7,0.13
1,3,10,7.2,10.5,9.2,80.0,13.1,0.15
1,3,11,9.0,12.4,10.4,72.5,14.0,0.13
1,3,12,10.5,12.9,11.7,69.5,14.8,0.16
1,3,13,11.7,14.0,12.6,65.0,14.4,0.2
1,3,14,12.1,14.8,13.5,61.0,14.1,0.13
1,3,15,12.5,15.3,13.8,60.0,14.1,0.2
1,3,16,12.2,15.1,13.5,61.0,13.2,0.15
1,3,17,11.1,13.6,12.3,68.5,11.0,0.11
1,3,18,8.9,12.0,10.4,76.0,11.2,0.11
1,3,19,8.2,11.5,9.4,78.0,12.3,0.11
1,3,20,6.8,10.5,8.6,80.0,12.8,0.13
1,3,21,5.6,9.7,7.9,84.0,12.8,0.11
1,3,22,5.0,9.4,7.2,83.0,12.4,0.11
1,3,23,4.3,8.9,7.0,82.0,12.4,0.07
2,1,0,5.5,8.5,7.0,86.3,11.7,0.16
2,1,1,4.9,8.4,6.6,86.8,11.8,0.18
2,1,2,4.5,8.3,6.4,86.3,12.3,0.14
