m,coco,coco_pct
3,3.0,0.195
3,17.0,0.003
5,7.0,0.022
5,1.0,0.303
7,17.0,0.0
2,18.0,0.042
2,27.0,0.0
9,1.0,0.369
9,27.0,0.0
11,1.0,0.202
7,9.0,0.0
8,27.0,0.0
5,5.0,0.0
8,17.0,0.0
11,27.0,0.0
1,9.0,0.004
1,7.0,0.055
5,27.0,0.0
6,2.0,0.441
8,5.0,0.0
4,2.0,0.408
4,8.0,0.028
12,1.0,0.264
4,5.0,0.001
6,17.0,0.002
3,8.0,0.047
6,1.0,0.306
10,7.0,0.055
4,4.0,0.015
2,2.0,0.313
4,18.0,0.09
10,17.0,0.002
3,27.0,0.002
2,17.0,0.0
2,1.0,0.289
3,2.0,0.385
8,18.0,0.004
3,7.0,0.051
8,1.0,0.656
6,27.0,0.002
11,18.0,0.081
9,7.0,0.021
6,7.0,0.026
8,4.0,0.0
6,4.0,0.017
10,18.0,0.063
4,3.0,0.206
6,3.0,0.157
11,17.0,0.001
10,2.0,0.352
7,2.0,0.313
1,8.0,0.056
3,9.0,0.002
9,5.0,0.0
7,7.0,0.006
6,18.0,0.039
4,17.0,0.002
5,4.0,0.016
12,4.0,0.012
12,7.0,0.041
12,3.0,0.299
2,3.0,0.264
1,1.0,0.393
10,9.0,0.005
12,27.0,0.0
9,8.0,0.012
7,8.0,0.0
7,5.0,0.0
11,9.0,0.009
12,8.0,0.042
8,2.0,0.295
10,4.0,0.001
9,4.0,0.0
10,1.0,0.279
8,9.0,0.0
5,2.0,0.494
3,5.0,0.001
10,5.0,0.0
12,2.0,0.245
8,3.0,0.04
9,3.0,0.102
11,7.0,0.062
8,8.0,0.001
12,5.0,0.01
4,9.0,0.0
8,7.0,0.004
12,17.0,0.001
4,7.0,0.04
10,8.0,0.042
7,4.0,0.011
5,17.0,0.001
5,9.0,0.0
2,7.0,0.04
3,1.0,0.253
4,27.0,0.003
1,27.0,0.0
2,4.0,0.023
11,5.0,0.003
11,3.0,0.266
2,5.0,0.002
10,3.0,0.202
7,1.0,0.606
1,18.0,0.049
11,8.0,0.044
2,8.0,0.023
3,18.0,0.053
9,2.0,0.454
1,2.0,0.206
6,5.0,0.001
1,5.0,0.011
9,18.0,0.043
5,8.0,0.006
9,17.0,0.0
10,27.0,0.0
1,3.0,0.193
7,18.0,0.002
6,8.0,0.01
7,27.0,0.0
5,18.0,0.027
7,3.0,0.061
4,1.0,0.209
6,9.0,0.0
11,4.0,0.022
1,4.0,0.034
12,18.0,0.08
5,3.0,0.133
11,2.0,0.311
3,4.0,0.008
9,9.0,0.0
2,9.0,0.004
12,9.0,0.007
1,17.0,0.0
