m,m3,coco,coco_pct
2,2,2.0,0.347
8,2,3.0,0.053
6,2,8.0,0.008
11,3,18.0,0.089
8,1,9.0,0.0
7,3,8.0,0.0
1,2,18.0,0.079
7,1,9.0,0.0
8,3,1.0,0.666
10,2,17.0,0.003
2,3,5.0,0.0
7,1,17.0,0.0
3,2,3.0,0.162
10,3,27.0,0.0
9,3,17.0,0.0
8,3,9.0,0.0
8,3,8.0,0.0
11,3,8.0,0.048
2,1,18.0,0.065
12,3,18.0,0.067
2,1,1.0,0.413
11,1,5.0,0.001
10,2,2.0,0.407
1,1,9.0,0.013
10,2,27.0,0.0
2,1,4.0,0.007
10,3,5.0,0.0
12,3,8.0,0.019
7,2,7.0,0.007
8,1,7.0,0.009
5,3,4.0,0.023
5,3,9.0,0.0
6,1,9.0,0.0
7,1,7.0,0.006
8,2,9.0,0.0
12,2,27.0,0.0
2,1,2.0,0.206
3,1,27.0,0.005
1,2,1.0,0.448
10,3,9.0,0.004
8,2,8.0,0.002
12,3,5.0,0.0
4,2,4.0,0.032
10,1,18.0,0.036
6,2,7.0,0.024
11,3,27.0,0.0
1,1,4.0,0.039
1,1,2.0,0.241
9,2,18.0,0.076
11,1,7.0,0.09
2,2,7.0,0.044
12,2,17.0,0.004
7,1,4.0,0.017
1,2,9.0,0.0
8,1,2.0,0.248
1,3,17.0,0.0
6,1,8.0,0.016
11,3,1.0,0.17
12,3,4.0,0.003
4,1,9.0,0.0
4,2,9.0,0.0
5,3,5.0,0.0
5,2,5.0,0.0
10,1,17.0,0.001
3,2,27.0,0.005
6,2,4.0,0.019
6,2,27.0,0.0
11,1,1.0,0.176
11,1,3.0,0.272
6,1,5.0,0.0
4,3,4.0,0.007
6,3,8.0,0.005
10,3,8.0,0.056
11,3,7.0,0.062
12,1,18.0,0.075
7,3,18.0,0.003
7,3,5.0,0.0
6,2,17.0,0.0
5,2,3.0,0.151
3,1,3.0,0.253
4,1,1.0,0.238
8,3,27.0,0.0
1,1,27.0,0.0
8,3,7.0,0.0
7,3,7.0,0.004
5,3,1.0,0.393
9,2,2.0,0.524
10,1,9.0,0.0
5,3,27.0,0.0
10,3,17.0,0.002
7,2,2.0,0.327
6,1,27.0,0.003
11,1,2.0,0.276
4,2,17.0,0.002
2,3,8.0,0.022
11,1,18.0,0.094
2,3,4.0,0.003
3,1,18.0,0.112
3,3,2.0,0.401
3,3,4.0,0.005
12,1,8.0,0.02
