m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,7.9,11.2,14.6,0.0,12.1,0.25
1,1,2,7.0,10.0,14.0,0.1,7.2,0.4
1,1,3,7.8,10.8,14.8,0.2,7.8,0.4
1,1,4,6.6,9.5,14.4,1.4,10.6,0.75
1,1,5,6.5,8.7,13.6,3.7,7.8,0.75
1,1,6,4.3,8.4,12.1,0.0,7.4,0.25
1,1,7,5.6,8.9,13.3,0.1,11.3,0.5
1,1,8,6.8,10.2,12.5,9.0,10.4,0.75
1,1,9,8.5,10.8,13.3,0.9,7.3,1.0
1,1,10,7.9,10.4,14.1,1.5,8.7,1.0
1,2,11,6.7,10.2,14.3,1.6,8.3,1.0
1,2,12,6.8,9.8,14.1,0.0,7.8,0.0
1,2,13,6.1,9.3,13.4,0.0,8.1,0.33
1,2,14,6.2,9.4,13.7,0.7,13.0,0.5
1,2,15,7.2,10.6,14.1,2.6,8.7,0.6
1,2,16,8.2,10.9,14.5,2.7,14.2,0.75
1,2,17,7.4,10.2,13.8,10.9,12.6,0.75
1,2,18,7.8,9.8,12.4,7.2,9.0,0.75
1,2,19,6.7,9.9,13.0,4.2,12.2,1.0
1,2,20,8.5,10.3,13.5,5.0,14.5,0.6
1,3,21,7.6,10.6,13.7,4.9,11.0,0.75
1,3,22,7.8,10.4,13.7,0.2,10.6,0.4
1,3,23,7.9,11.1,14.6,3.6,9.6,0.67
1,3,24,8.0,10.8,14.2,1.0,8.8,0.5
1,3,25,7.9,11.4,15.1,5.7,8.9,0.6
1,3,26,8.3,11.7,15.1,7.0,8.4,0.4
1,3,27,9.8,11.8,14.4,1.2,12.2,0.67
1,3,28,9.4,11.7,14.0,2.6,10.5,0.6
1,3,29,9.5,11.8,14.7,1.5,10.8,0.67
1,3,30,9.1,11.3,14.7,0.3,11.5,0.33
1,3,31,8.5,12.0,15.1,1.5,9.8,0.5
2,1,1,9.7,12.0,15.4,6.0,10.5,0.4
2,1,2,9.2,12.0,16.3,1.0,9.9,0.6
2,1,3,8.5,11.7,16.5,0.0,6.5,0.17
2,1,4,7.2,11.2,15.8,0.0,6.0,0.0
2,1,5,7.6,11.1,16.2,0.0,7.6,0.0
2,1,6,7.0,11.3,15.9,0.0,8.0,0.25
2,1,7,8.7,10.9,15.7,0.1,9.8,0.5
2,1,8,8.6,12.1,14.2,12.7,9.3,0.75
2,1,9,9.8,12.3,15.0,2.7,11.1,0.6
