m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,6.9,11.2,15.0,8.7,4.0,0.45,10.0
1,2,6.6,10.9,14.8,12.4,4.0,0.38,20.0
1,3,8.5,12.1,15.2,13.3,3.0,0.3,9.0
2,1,7.5,11.2,15.6,12.9,4.0,0.4,13.0
2,2,8.8,12.3,16.9,10.6,5.0,0.45,13.0
2,3,8.5,12.2,16.9,12.6,6.0,0.64,7.0
3,1,8.6,12.3,15.0,15.4,6.0,0.6,23.0
3,2,9.3,13.0,17.0,12.0,5.0,0.45,2.0
3,3,9.5,13.5,17.5,12.1,5.0,0.45,5.0
4,1,9.7,13.7,17.1,14.1,5.0,0.45,3.0
4,2,11.2,14.7,18.1,12.4,3.0,0.3,2.0
4,3,11.1,14.7,18.6,14.4,5.0,0.48,12.0
5,1,12.4,16.6,20.8,14.4,3.0,0.25,1.0
5,2,13.2,16.5,21.0,15.0,2.0,0.2,1.0
5,3,14.4,18.2,22.2,14.4,4.0,0.34,2.0
6,1,14.8,17.6,20.8,14.8,5.0,0.48,8.0
6,2,15.3,18.2,22.1,15.5,4.0,0.43,4.0
6,3,15.7,18.7,22.5,16.0,3.0,0.3,1.0
7,1,16.1,19.4,23.5,15.3,2.0,0.15,0.0
7,2,16.4,20.3,25.0,15.6,1.0,0.05,0.0
7,3,16.5,19.7,24.1,19.1,1.0,0.05,0.0
8,1,17.0,20.2,24.2,17.0,1.0,0.08,0.0
8,2,16.6,20.0,24.9,17.4,1.0,0.05,0.0
8,3,16.0,20.0,24.7,15.8,0.0,0.03,0.0
9,1,16.0,20.0,26.0,14.0,5.0,0.45,3.0
9,2,16.5,20.0,25.5,12.3,6.0,0.55,18.0
9,3,14.6,18.8,23.8,13.9,3.0,0.25,1.0
10,1,14.1,18.5,24.3,11.9,3.0,0.25,0.0
10,2,14.1,17.7,21.4,13.3,5.0,0.53,14.0
10,3,12.6,16.5,19.9,13.1,8.0,0.75,30.0
11,1,11.3,14.6,18.1,12.1,6.0,0.55,9.0
11,2,11.1,14.2,18.4,9.7,4.0,0.35,5.0
11,3,9.9,13.4,16.6,12.5,5.0,0.53,11.0
12,1,8.2,12.3,15.7,11.4,6.0,0.63,15.0
12,2,10.2,13.4,15.8,14.7,5.0,0.49,15.0
12,3,8.6,12.0,15.9,10.5,6.0,0.52,17.0
