m,m3,coco,coco_pct
6,3,7.0,0.023
10,3,8.0,0.042
7,2,5.0,0.006
8,3,9.0,0.0
10,3,5.0,0.005
11,1,3.0,0.341
9,3,25.0,0.0
10,1,9.0,0.001
2,2,5.0,0.008
7,3,9.0,0.0
7,3,18.0,0.0
7,2,9.0,0.0
5,2,2.0,0.412
12,3,18.0,0.019
9,2,17.0,0.018
7,1,3.0,0.285
4,2,8.0,0.024
1,2,7.0,0.084
4,1,3.0,0.332
7,1,17.0,0.002
8,2,25.0,0.0
9,1,18.0,0.011
1,3,9.0,0.006
4,1,9.0,0.004
7,2,7.0,0.002
9,3,7.0,0.036
12,2,9.0,0.06
6,3,2.0,0.469
9,1,1.0,0.24
2,2,1.0,0.184
10,3,25.0,0.0
8,1,5.0,0.017
5,3,25.0,0.0
11,1,9.0,0.01
10,3,18.0,0.059
3,1,7.0,0.1
5,1,25.0,0.0
2,2,4.0,0.092
1,2,9.0,0.021
3,3,5.0,0.005
5,3,5.0,0.004
9,3,1.0,0.224
12,3,5.0,0.01
8,1,4.0,0.121
7,1,5.0,0.019
8,2,7.0,0.006
10,2,17.0,0.015
3,3,4.0,0.026
11,3,9.0,0.029
11,1,4.0,0.059
4,2,4.0,0.029
8,1,7.0,0.005
4,1,17.0,0.029
9,2,8.0,0.017
12,1,8.0,0.029
10,2,1.0,0.102
11,3,3.0,0.336
5,2,18.0,0.016
6,3,5.0,0.013
5,3,4.0,0.02
4,3,17.0,0.016
7,3,5.0,0.009
6,2,9.0,0.0
11,1,5.0,0.005
6,3,25.0,0.004
12,2,2.0,0.271
6,3,8.0,0.003
11,3,7.0,0.07
2,2,9.0,0.014
10,2,9.0,0.023
12,2,7.0,0.067
3,2,25.0,0.0
4,3,5.0,0.001
12,1,4.0,0.047
8,2,17.0,0.0
2,2,2.0,0.291
12,2,4.0,0.082
7,1,25.0,0.0
2,3,9.0,0.003
1,1,2.0,0.314
5,2,3.0,0.395
6,1,1.0,0.072
3,3,1.0,0.189
7,3,1.0,0.121
3,1,4.0,0.044
7,2,3.0,0.26
3,2,8.0,0.011
12,1,9.0,0.008
6,1,18.0,0.008
5,3,9.0,0.0
3,3,2.0,0.331
8,1,18.0,0.0
4,1,18.0,0.072
5,1,5.0,0.005
1,1,25.0,0.0
9,2,1.0,0.161
1,3,5.0,0.021
12,2,5.0,0.007
2,1,7.0,0.067
12,1,25.0,0.0
3,1,3.0,0.348
2,3,4.0,0.047
6,2,4.0,0.058
3,2,7.0,0.025
4,2,5.0,0.006
5,3,2.0,0.46
7,2,1.0,0.235
9,3,2.0,0.527
4,1,5.0,0.003
10,3,9.0,0.016
5,2,8.0,0.002
9,3,5.0,0.005
10,3,4.0,0.062
12,2,8.0,0.051
10,1,5.0,0.014
7,3,2.0,0.494
10,2,2.0,0.375
7,1,9.0,0.0
4,2,9.0,0.005
6,3,17.0,0.007
4,2,25.0,0.0
7,2,8.0,0.0
1,1,18.0,0.024
7,1,2.0,0.429
11,1,2.0,0.312
5,1,8.0,0.001
8,2,9.0,0.0
9,3,3.0,0.175
4,2,2.0,0.398
5,3,3.0,0.346
3,3,25.0,0.0
6,3,1.0,0.081
10,1,7.0,0.024
6,2,1.0,0.025
8,1,25.0,0.0
5,2,4.0,0.026
2,2,7.0,0.033
9,2,18.0,0.052
8,3,8.0,0.0
10,3,2.0,0.35
1,2,17.0,0.017
6,2,18.0,0.01
12,3,3.0,0.301
10,1,4.0,0.048
10,1,1.0,0.305
2,1,17.0,0.015
1,3,17.0,0.007
6,1,3.0,0.35
9,1,9.0,0.001
