m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,8.3,11.6,15.3,0.0,10.9,0.25
1,1,2,7.4,11.3,15.1,0.1,8.4,0.6
1,1,3,6.0,10.3,15.6,0.7,6.8,0.6
1,1,4,7.3,11.0,15.0,1.8,9.9,0.8
1,1,5,4.6,10.1,14.8,1.6,10.4,0.6
1,1,6,2.5,9.2,14.5,0.0,7.0,0.2
1,1,7,3.2,9.5,15.0,0.0,8.9,0.2
1,1,8,8.1,11.6,14.1,5.6,13.9,0.6
1,1,9,6.4,11.4,14.9,0.0,7.3,0.2
1,1,10,7.7,11.6,14.5,0.3,8.0,0.4
1,2,11,7.2,10.9,14.8,0.0,7.3,0.2
1,2,12,4.5,9.3,15.0,0.0,6.9,0.0
1,2,13,4.0,9.3,15.0,0.0,7.6,0.2
1,2,14,6.3,10.0,14.7,0.0,12.2,0.2
1,2,15,7.9,11.9,14.8,0.6,10.5,0.6
1,2,16,8.6,11.9,14.5,0.5,15.5,0.4
1,2,17,6.2,10.9,15.0,1.8,15.2,0.4
1,2,18,6.2,11.3,15.4,0.5,12.5,0.4
1,2,19,6.9,10.6,14.4,5.3,16.4,0.8
1,2,20,8.7,11.0,14.5,11.6,16.4,0.6
1,3,21,8.7,11.4,14.4,3.2,13.3,0.4
1,3,22,7.8,11.1,14.6,1.0,14.9,0.4
1,3,23,8.5,11.2,14.5,0.0,13.3,0.2
1,3,24,5.8,11.2,13.6,0.2,10.2,0.4
1,3,25,7.5,12.1,15.1,2.4,10.5,0.4
1,3,26,6.2,12.5,16.0,1.7,9.5,0.6
1,3,27,10.1,12.6,15.2,0.0,13.3,0.2
1,3,28,9.8,12.9,15.5,0.0,13.9,0.2
1,3,29,9.9,12.6,15.2,0.6,13.6,0.4
1,3,30,9.6,12.2,15.1,0.0,14.2,0.2
1,3,31,7.5,12.1,16.0,0.0,15.1,0.2
2,1,1,9.4,12.7,16.5,0.1,8.4,0.4
2,1,2,7.6,11.8,16.3,0.1,11.9,0.4
2,1,3,7.3,11.3,16.7,0.0,7.0,0.2
2,1,4,4.0,10.1,15.8,0.0,4.9,0.2
2,1,5,5.0,10.5,16.7,0.0,8.5,0.2
2,1,6,4.8,10.8,17.1,0.3,8.2,0.4
2,1,7,7.1,11.2,15.7,3.6,10.5,0.6
2,1,8,8.9,11.6,15.0,5.5,14.6,0.6
2,1,9,9.1,12.3,15.9,5.3,16.5,0.6
2,1,10,9.5,12.6,15.6,0.5,11.3,0.4
2,2,11,8.1,12.0,15.8,4.5,14.9,0.6
2,2,12,7.7,12.1,16.4,0.2,9.8,0.4
2,2,13,7.0,11.9,16.5,0.7,8.3,0.4
2,2,14,7.3,12.0,17.5,0.2,11.4,0.4
2,2,15,10.0,12.9,17.0,5.3,13.2,0.6
2,2,16,8.8,12.9,16.3,0.4,8.5,0.4
2,2,17,9.6,12.3,16.7,0.1,9.3,0.4
2,2,18,10.5,12.3,15.6,1.1,14.2,0.8
2,2,19,9.0,12.6,17.0,0.1,15.9,0.4
2,2,20,6.2,12.2,17.5,1.8,7.9,0.4
2,3,21,8.3,12.7,16.9,2.5,11.0,0.6
2,3,22,8.5,12.6,17.9,0.5,13.4,0.8
2,3,23,8.5,12.1,17.1,0.8,12.7,0.4
2,3,24,6.2,12.2,16.9,1.1,10.9,0.8
2,3,25,7.2,13.3,17.5,1.9,11.9,0.8
