m,coco,coco_pct
5,7.0,0.018
4,8.0,0.026
7,8.0,0.0
5,2.0,0.331
2,3.0,0.379
9,3.0,0.256
4,3.0,0.393
8,1.0,0.319
3,3.0,0.369
12,1.0,0.212
10,8.0,0.035
6,18.0,0.003
4,17.0,0.023
8,4.0,0.056
11,26.0,0.0
1,5.0,0.03
11,5.0,0.038
4,26.0,0.0
4,1.0,0.134
10,17.0,0.021
12,2.0,0.228
9,8.0,0.013
2,1.0,0.231
1,9.0,0.024
7,9.0,0.0
2,9.0,0.015
4,5.0,0.014
7,1.0,0.345
9,18.0,0.012
9,4.0,0.006
1,8.0,0.03
11,2.0,0.231
10,25.0,0.0
2,17.0,0.018
4,9.0,0.007
10,4.0,0.012
7,17.0,0.001
8,8.0,0.0
6,9.0,0.006
8,25.0,0.0
11,7.0,0.054
2,7.0,0.041
2,18.0,0.012
6,7.0,0.029
1,2.0,0.171
11,25.0,0.001
8,2.0,0.302
2,8.0,0.022
1,25.0,0.0
6,17.0,0.014
12,7.0,0.058
11,17.0,0.02
5,4.0,0.021
1,4.0,0.032
1,3.0,0.315
6,8.0,0.007
7,26.0,0.0
10,3.0,0.301
3,9.0,0.02
9,5.0,0.036
7,4.0,0.054
10,5.0,0.042
9,9.0,0.006
10,26.0,0.0
4,7.0,0.044
5,26.0,0.0
11,8.0,0.035
10,18.0,0.016
9,1.0,0.319
12,5.0,0.033
4,4.0,0.026
11,9.0,0.026
2,25.0,0.0
4,25.0,0.0
3,25.0,0.0
10,7.0,0.043
7,18.0,0.001
2,2.0,0.219
5,18.0,0.012
7,3.0,0.284
1,7.0,0.054
7,2.0,0.281
3,5.0,0.02
8,5.0,0.057
12,18.0,0.018
10,2.0,0.296
2,5.0,0.023
5,8.0,0.004
1,18.0,0.012
3,4.0,0.011
5,25.0,0.0
11,3.0,0.384
11,4.0,0.024
12,9.0,0.03
5,1.0,0.212
12,8.0,0.038
6,25.0,0.0
7,25.0,0.0
1,1.0,0.315
9,25.0,0.0
2,26.0,0.0
3,2.0,0.28
3,26.0,0.0
6,3.0,0.359
3,8.0,0.028
7,7.0,0.005
3,1.0,0.173
5,17.0,0.013
6,26.0,0.0
6,1.0,0.17
10,1.0,0.212
6,2.0,0.369
2,4.0,0.041
1,26.0,0.0
10,9.0,0.022
6,4.0,0.029
12,25.0,0.0
11,18.0,0.028
9,7.0,0.014
12,3.0,0.335
9,26.0,0.0
1,17.0,0.018
8,18.0,0.0
9,2.0,0.326
4,2.0,0.268
7,5.0,0.03
8,3.0,0.263
5,3.0,0.38
8,26.0,0.0
11,1.0,0.159
12,4.0,0.026
3,18.0,0.025
12,17.0,0.022
5,5.0,0.01
9,17.0,0.012
5,9.0,0.001
8,7.0,0.003
3,17.0,0.028
12,26.0,0.0
4,18.0,0.065
6,5.0,0.015
3,7.0,0.047
8,17.0,0.0
8,9.0,0.0
