m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,8.9,13.8,11.1,82.0,15.1,0.14
1,1,8.8,13.8,11.2,83.0,15.8,0.18
1,2,8.6,13.8,11.2,82.5,16.3,0.15
1,3,8.2,13.8,10.9,83.0,15.8,0.15
1,4,8.0,14.0,10.9,82.5,16.9,0.14
1,5,7.9,13.9,11.0,83.0,16.9,0.14
1,6,7.8,14.1,11.1,82.5,16.7,0.12
1,7,7.0,14.0,10.5,85.5,13.5,0.14
1,8,7.0,13.0,10.0,85.0,12.5,0.14
1,9,8.0,14.0,11.3,82.0,13.6,0.14
1,10,10.0,15.0,12.5,76.0,14.0,0.14
1,11,11.0,15.0,13.5,70.0,16.0,0.14
1,12,12.0,16.0,14.0,70.0,16.4,0.14
1,13,13.0,16.0,14.5,69.5,15.8,0.14
1,14,13.0,16.0,14.5,68.0,16.5,0.16
1,15,13.0,16.0,14.8,69.0,17.3,0.19
1,16,13.0,16.0,14.2,69.5,15.5,0.16
1,17,12.0,15.0,13.5,73.5,13.9,0.15
1,18,11.0,15.0,12.8,80.5,12.5,0.18
1,19,10.0,14.0,11.9,80.5,13.2,0.17
1,20,10.0,14.5,12.1,81.5,17.6,0.14
1,21,9.3,14.2,11.7,82.0,16.9,0.15
1,22,9.2,14.2,11.6,81.5,15.8,0.14
1,23,9.1,14.2,11.5,82.0,16.8,0.14
2,0,10.3,13.7,12.0,84.0,15.5,0.1
2,1,10.4,13.6,11.9,83.5,15.8,0.14
2,2,10.3,13.4,11.8,83.5,15.2,0.17
2,3,9.5,13.4,11.4,84.0,15.4,0.14
2,4,9.3,13.3,11.4,83.5,15.0,0.14
2,5,9.7,13.2,11.3,83.5,15.6,0.16
2,6,9.6,13.2,11.2,83.0,15.3,0.15
2,7,9.0,13.0,10.5,85.5,11.5,0.13
2,8,9.0,13.0,11.0,84.5,11.0,0.16
2,9,11.0,14.0,12.5,80.5,12.0,0.17
2,10,12.9,15.0,14.0,72.5,14.7,0.19
2,11,14.0,16.0,15.0,69.5,15.6,0.19
2,12,14.1,17.0,15.5,68.5,16.6,0.15
2,13,15.0,18.0,16.5,63.0,16.6,0.19
2,14,15.0,18.0,16.5,64.0,16.5,0.2
2,15,15.0,18.0,16.5,65.5,17.5,0.19
2,16,14.0,17.0,16.0,65.5,16.5,0.18
2,17,14.0,17.0,15.5,69.5,15.0,0.14
2,18,13.0,15.0,14.0,74.5,14.0,0.14
2,19,12.0,14.7,13.5,79.5,12.5,0.14
2,20,12.0,14.1,12.9,80.5,15.4,0.14
2,21,11.0,14.0,12.5,82.0,16.1,0.14
2,22,10.7,14.0,12.3,82.5,17.3,0.14
2,23,10.6,14.0,12.2,83.5,16.8,0.12
3,0,10.5,13.5,12.2,83.0,15.0,0.11
3,1,10.9,13.5,12.3,82.5,15.3,0.15
3,2,10.8,13.5,12.2,82.5,14.5,0.15
3,3,9.9,13.3,11.8,83.5,14.9,0.14
3,4,10.5,13.2,11.9,83.0,14.3,0.18
3,5,10.4,13.1,11.7,84.0,15.1,0.14
3,6,9.3,13.2,11.4,84.5,14.8,0.12
3,7,9.0,13.0,11.2,85.5,11.8,0.18
3,8,10.8,14.0,12.4,82.5,13.0,0.13
3,9,12.0,15.0,13.8,73.5,17.0,0.18
3,10,13.0,16.0,15.0,70.5,17.5,0.16
3,11,14.0,17.0,15.5,64.5,17.7,0.17
3,12,14.0,18.0,16.5,64.5,19.5,0.16
3,13,15.0,19.0,16.5,63.5,18.5,0.22
3,14,15.0,19.0,16.5,64.0,18.7,0.23
3,15,14.0,19.0,16.1,65.5,19.4,0.21
3,16,14.0,18.0,16.0,68.0,19.5,0.24
3,17,13.7,18.0,15.5,69.5,19.5,0.24
3,18,12.3,16.1,14.5,72.5,18.4,0.17
3,19,12.8,15.0,14.0,76.0,15.5,0.19
3,20,12.0,14.7,13.4,78.0,16.1,0.18
3,21,11.4,14.0,12.8,80.0,15.2,0.17
3,22,11.8,13.8,13.0,81.0,15.6,0.14
3,23,11.7,13.7,12.8,80.5,15.5,0.13
4,0,11.2,14.9,13.2,84.8,15.3,0.09
4,1,12.3,14.8,13.5,84.5,14.7,0.12
4,2,12.1,14.7,13.3,85.3,14.4,0.14
4,3,10.5,14.6,12.6,85.5,13.9,0.15
4,4,11.9,14.5,13.1,85.5,14.6,0.18
4,5,11.7,14.4,13.0,86.3,14.1,0.19
4,6,9.1,14.0,12.0,88.3,11.5,0.14
4,7,12.0,15.0,13.6,85.0,12.0,0.13
4,8,13.0,16.0,14.5,80.0,15.3,0.13
4,9,13.5,17.4,15.6,74.5,16.3,0.13
4,10,15.0,18.0,16.5,70.5,16.7,0.13
4,11,16.0,19.0,17.1,68.0,17.2,0.19
4,12,16.0,19.3,17.5,69.0,18.5,0.18
4,13,16.0,20.0,17.9,66.3,18.6,0.18
4,14,16.0,20.0,17.6,66.5,19.6,0.2
4,15,15.3,19.1,17.4,66.0,20.6,0.16
4,16,15.4,19.0,17.2,65.5,21.5,0.15
4,17,15.0,18.0,16.5,70.5,20.4,0.12
4,18,14.0,17.0,15.6,73.0,19.1,0.09
4,19,14.0,16.0,15.0,76.5,16.3,0.05
4,20,13.0,16.0,14.5,80.3,14.9,0.06
4,21,12.2,15.5,13.9,82.0,15.8,0.09
4,22,12.8,15.3,14.1,82.8,17.0,0.12
4,23,12.6,15.0,13.9,84.0,16.5,0.1
5,0,14.0,16.3,15.2,84.0,17.3,0.04
5,1,14.3,16.2,15.3,83.0,16.7,0.04
5,2,14.1,16.0,15.1,84.5,16.4,0.03
5,3,13.4,15.7,14.5,85.0,15.5,0.05
5,4,13.7,15.6,14.8,85.5,16.7,0.02
5,5,13.7,15.5,14.7,85.5,17.5,0.02
5,6,13.0,16.0,14.5,86.0,13.0,0.03
5,7,15.0,18.0,16.0,79.5,16.0,0.05
5,8,16.0,19.0,17.5,73.5,16.5,0.06
5,9,16.4,21.0,18.9,68.0,17.5,0.08
5,10,18.0,22.2,19.6,64.0,17.5,0.06
5,11,18.0,23.0,20.5,62.0,17.7,0.06
5,12,19.0,24.0,21.0,61.5,18.5,0.08
5,13,19.0,24.0,22.0,59.0,20.5,0.06
5,14,19.0,24.0,21.5,62.0,22.5,0.06
5,15,18.0,24.0,21.0,60.5,23.5,0.06
5,16,18.0,23.0,20.5,63.0,23.5,0.06
5,17,17.4,21.0,19.5,62.5,23.5,0.05
5,18,17.0,20.0,18.5,67.5,22.5,0.04
5,19,16.0,19.0,17.5,70.5,21.5,0.02
5,20,15.0,17.6,16.5,76.0,18.5,0.02
5,21,14.7,17.0,15.9,79.5,17.8,0.02
5,22,14.8,16.6,15.7,80.0,19.2,0.02
5,23,14.6,16.5,15.5,81.0,18.6,0.01
6,0,15.3,17.9,16.5,87.0,17.3,0.03
6,1,15.7,17.6,16.5,87.5,17.7,0.06
6,2,15.5,17.4,16.4,88.0,17.4,0.1
6,3,14.7,17.3,16.0,88.5,16.2,0.06
6,4,15.3,17.0,16.1,88.5,17.0,0.07
6,5,15.2,16.8,16.0,89.5,15.9,0.09
6,6,15.0,18.0,16.5,88.0,12.8,0.1
6,7,16.5,19.0,17.8,82.8,15.3,0.11
6,8,17.0,20.0,18.5,76.0,16.4,0.12
6,9,18.0,21.0,19.7,71.3,18.5,0.08
6,10,19.0,22.0,20.5,66.5,18.6,0.11
6,11,20.0,23.5,21.5,63.8,20.5,0.08
6,12,19.6,24.0,21.4,60.8,21.8,0.08
6,13,20.0,25.0,22.5,58.8,22.5,0.07
6,14,20.0,25.0,22.3,59.0,23.4,0.06
6,15,20.0,24.0,22.0,59.8,24.6,0.07
6,16,20.0,23.0,21.5,62.0,23.9,0.1
6,17,19.0,22.0,20.5,64.5,24.8,0.05
6,18,18.0,21.0,19.5,68.8,24.0,0.05
6,19,17.8,20.0,18.8,72.5,24.0,0.06
6,20,17.0,19.0,18.0,77.5,21.8,0.06
6,21,15.4,18.4,17.0,84.0,19.5,0.07
6,22,15.9,18.1,16.9,85.3,20.2,0.04
6,23,15.8,17.8,16.8,86.5,19.6,0.05
7,0,17.0,18.5,17.8,89.0,19.5,0.0
7,1,16.8,18.5,17.7,90.0,19.5,0.0
7,2,16.8,18.1,17.5,90.5,18.8,0.0
7,3,16.6,17.9,17.3,91.0,17.8,0.02
7,4,16.6,17.8,17.2,91.0,17.7,0.02
7,5,16.5,17.8,17.1,91.0,17.3,0.01
7,6,17.0,19.0,18.0,85.5,16.0,0.01
7,7,18.0,20.0,19.0,80.5,16.5,0.0
7,8,19.0,22.0,20.5,73.5,18.5,0.03
7,9,19.7,23.0,21.6,69.0,18.2,0.02
7,10,21.0,25.0,23.0,64.0,19.5,0.02
7,11,22.0,26.0,24.0,61.5,19.5,0.02
7,12,22.0,27.0,24.5,58.5,22.5,0.0
7,13,22.0,27.0,24.7,57.5,23.5,0.0
7,14,22.0,28.0,25.5,54.5,23.5,0.01
7,15,22.0,28.0,25.0,56.0,25.2,0.01
7,16,22.0,28.0,24.5,58.0,26.3,0.02
7,17,21.3,26.0,23.6,61.5,27.7,0.01
7,18,20.0,24.0,22.0,67.0,26.8,0.01
7,19,19.0,22.0,20.5,71.0,25.5,0.0
7,20,18.3,21.0,19.5,76.0,24.5,0.0
7,21,17.4,19.7,18.5,84.5,22.7,0.01
7,22,17.3,19.0,18.2,86.5,21.8,0.01
7,23,17.1,18.9,18.0,89.0,20.3,0.01
8,0,17.2,19.1,18.2,88.5,19.7,0.02
8,1,16.9,18.8,17.9,89.5,19.5,0.01
8,2,16.8,18.6,17.7,90.0,18.5,0.0
8,3,16.5,18.5,17.5,91.0,18.5,0.0
8,4,16.3,18.3,17.3,92.0,17.5,0.01
8,5,16.4,18.3,17.4,92.0,17.1,0.0
8,6,16.4,19.0,18.0,88.5,17.7,0.01
