m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,8.0,11.9,15.2,12.0,3.0,0.32,9.0
1,2,8.1,11.8,14.6,16.1,4.0,0.41,37.0
1,3,10.3,12.7,15.2,18.2,4.0,0.36,24.0
2,1,9.6,12.6,16.5,14.6,3.0,0.34,23.0
2,2,9.9,13.1,16.9,13.3,4.0,0.41,14.0
2,3,10.0,13.3,17.4,16.1,4.0,0.42,9.0
3,1,10.0,12.9,15.6,18.5,6.0,0.6,36.0
3,2,10.7,13.9,17.6,16.3,4.0,0.41,4.0
3,3,10.8,14.1,18.0,14.1,4.0,0.38,8.0
4,1,11.1,14.0,17.1,16.4,6.0,0.56,26.0
4,2,12.5,15.6,19.5,16.3,4.0,0.41,13.0
4,3,11.9,15.6,19.3,16.8,5.0,0.45,18.0
5,1,13.7,17.3,21.9,17.2,3.0,0.26,4.0
5,2,14.0,17.7,22.5,19.6,2.0,0.15,0.0
5,3,15.0,18.3,23.5,18.8,2.0,0.2,1.0
6,1,15.6,18.4,22.5,19.6,3.0,0.32,6.0
6,2,16.0,18.7,22.4,17.2,3.0,0.34,3.0
6,3,16.3,19.5,23.6,21.2,2.0,0.23,3.0
7,1,16.6,20.5,24.6,21.5,1.0,0.13,0.0
7,2,17.2,21.2,26.6,19.9,0.0,0.03,0.0
7,3,17.0,20.4,25.0,23.8,1.0,0.05,0.0
8,1,17.5,20.8,25.5,21.2,1.0,0.1,0.0
8,2,17.4,20.7,25.8,22.8,0.0,0.02,0.0
8,3,16.4,20.3,25.6,19.9,0.0,0.02,0.0
9,1,16.5,20.2,26.4,14.2,3.0,0.25,2.0
9,2,17.0,20.8,25.8,14.8,3.0,0.28,24.0
9,3,15.9,20.0,24.3,16.3,2.0,0.18,4.0
10,1,15.6,19.5,24.9,14.4,2.0,0.17,1.0
10,2,15.4,18.2,21.1,15.1,5.0,0.5,20.0
10,3,13.7,17.1,20.3,14.4,6.0,0.58,35.0
11,1,12.7,15.3,18.4,15.0,6.0,0.63,17.0
11,2,12.3,15.3,18.3,14.5,5.0,0.46,13.0
11,3,11.2,14.5,16.9,14.2,6.0,0.59,29.0
12,1,9.5,12.6,16.2,14.7,5.0,0.46,19.0
12,2,10.9,13.7,16.0,16.7,6.0,0.56,47.0
12,3,10.0,13.0,16.5,11.8,4.0,0.38,18.0
