m,m3,coco,coco_pct
4,3,2.0,0.266
9,3,4.0,0.008
3,1,4.0,0.019
11,2,3.0,0.362
11,1,17.0,0.029
11,3,2.0,0.233
3,1,1.0,0.061
5,2,25.0,0.001
3,2,17.0,0.017
6,3,25.0,0.0
2,1,1.0,0.316
8,3,26.0,0.0
2,3,17.0,0.021
3,2,2.0,0.277
6,1,9.0,0.009
1,1,9.0,0.024
11,3,17.0,0.019
1,3,1.0,0.329
2,1,26.0,0.0
2,2,2.0,0.212
9,2,8.0,0.021
10,1,5.0,0.052
6,1,2.0,0.382
8,2,26.0,0.0
12,2,17.0,0.017
8,1,8.0,0.0
7,1,1.0,0.361
10,2,5.0,0.052
5,1,1.0,0.156
11,3,4.0,0.019
12,3,17.0,0.023
4,2,4.0,0.025
6,3,1.0,0.24
3,3,1.0,0.204
5,2,18.0,0.015
6,3,26.0,0.0
6,1,4.0,0.014
4,3,25.0,0.0
4,3,18.0,0.06
12,1,18.0,0.02
8,2,25.0,0.0
4,1,25.0,0.0
12,3,3.0,0.314
11,2,8.0,0.031
10,1,26.0,0.0
12,1,8.0,0.029
5,2,9.0,0.0
6,1,18.0,0.003
12,1,17.0,0.026
12,2,25.0,0.0
7,2,1.0,0.405
5,3,8.0,0.004
11,1,1.0,0.158
3,3,17.0,0.031
6,1,1.0,0.14
8,1,3.0,0.282
8,2,9.0,0.0
3,2,26.0,0.0
4,1,9.0,0.006
8,2,17.0,0.0
11,3,1.0,0.125
9,1,8.0,0.006
7,2,7.0,0.003
10,1,3.0,0.286
10,3,2.0,0.297
1,1,7.0,0.024
10,2,17.0,0.035
6,2,2.0,0.379
7,3,9.0,0.001
6,3,5.0,0.006
3,2,9.0,0.008
10,3,3.0,0.306
9,1,25.0,0.0
1,2,2.0,0.155
9,3,3.0,0.231
11,2,4.0,0.015
1,1,8.0,0.031
6,2,4.0,0.043
2,3,4.0,0.039
12,2,1.0,0.142
9,1,17.0,0.011
5,3,25.0,0.0
7,3,4.0,0.045
10,1,4.0,0.001
2,3,8.0,0.019
8,3,17.0,0.0
4,3,4.0,0.008
12,1,25.0,0.0
2,3,3.0,0.386
5,2,8.0,0.003
10,2,3.0,0.309
2,1,18.0,0.025
9,1,1.0,0.361
5,1,9.0,0.002
4,1,4.0,0.045
11,3,3.0,0.419
1,2,1.0,0.332
2,3,25.0,0.0
1,1,18.0,0.007
7,1,4.0,0.057
12,2,26.0,0.0
3,1,8.0,0.043
4,1,26.0,0.0
6,2,3.0,0.367
12,2,7.0,0.076
12,2,5.0,0.02
9,1,4.0,0.007
6,2,5.0,0.019
6,3,8.0,0.005
1,1,1.0,0.282
5,2,3.0,0.429
3,2,4.0,0.006
1,3,2.0,0.116
2,1,4.0,0.037
7,2,3.0,0.291
3,3,8.0,0.026
