m,m3,coco,coco_pct
12,3,18.0,0.026
5,2,2.0,0.528
4,2,8.0,0.002
7,2,7.0,0.003
7,3,12.0,0.0
2,2,9.0,0.01
10,1,14.0,0.0
8,3,12.0,0.0
3,1,8.0,0.018
4,2,17.0,0.022
5,1,4.0,0.034
12,2,7.0,0.029
5,3,17.0,0.024
8,1,2.0,0.519
11,3,2.0,0.369
6,3,2.0,0.431
4,1,25.0,0.0
12,2,17.0,0.033
4,1,9.0,0.005
2,2,5.0,0.055
11,2,4.0,0.026
3,2,7.0,0.004
10,1,7.0,0.009
3,3,3.0,0.375
9,1,14.0,0.0
1,3,7.0,0.013
1,2,23.0,0.0
11,3,17.0,0.023
8,2,9.0,0.002
2,1,18.0,0.028
6,2,23.0,0.0
8,3,1.0,0.164
4,2,1.0,0.096
3,1,9.0,0.004
10,2,4.0,0.016
6,3,4.0,0.009
11,3,1.0,0.09
2,2,25.0,0.0
5,2,7.0,0.009
12,3,2.0,0.364
10,2,7.0,0.017
4,3,9.0,0.002
3,3,18.0,0.09
7,2,1.0,0.217
8,1,17.0,0.001
1,2,18.0,0.026
12,3,4.0,0.027
7,2,3.0,0.198
6,2,25.0,0.0
10,2,5.0,0.013
12,2,1.0,0.06
8,2,4.0,0.002
2,3,2.0,0.365
1,2,4.0,0.028
7,1,17.0,0.01
9,1,7.0,0.015
2,3,12.0,0.001
1,1,17.0,0.03
8,2,5.0,0.027
10,3,5.0,0.015
8,2,3.0,0.172
12,3,25.0,0.0
7,1,14.0,0.0
2,1,7.0,0.005
8,3,5.0,0.022
7,1,4.0,0.007
5,1,17.0,0.004
12,2,3.0,0.373
12,2,5.0,0.021
5,3,2.0,0.52
8,2,2.0,0.553
8,3,23.0,0.0
8,1,9.0,0.0
10,2,18.0,0.054
3,3,2.0,0.342
11,2,9.0,0.002
8,3,8.0,0.006
10,3,9.0,0.022
5,2,18.0,0.002
5,3,1.0,0.102
5,2,17.0,0.011
11,3,25.0,0.0
7,1,12.0,0.0
2,1,8.0,0.01
8,3,2.0,0.57
3,2,12.0,0.0
5,1,9.0,0.0
3,1,3.0,0.452
1,1,1.0,0.037
8,1,18.0,0.0
6,1,12.0,0.0
11,3,12.0,0.0
5,2,12.0,0.0
9,2,14.0,0.0
5,2,3.0,0.369
12,1,8.0,0.019
3,3,9.0,0.006
11,3,9.0,0.013
8,1,7.0,0.001
1,1,8.0,0.03
3,2,14.0,0.0
10,1,1.0,0.132
2,2,3.0,0.407
12,3,9.0,0.002
7,2,9.0,0.0
2,3,9.0,0.002
5,3,18.0,0.0
2,1,25.0,0.0
3,3,7.0,0.01
3,2,1.0,0.049
7,1,9.0,0.001
9,3,23.0,0.0
10,2,2.0,0.442
8,2,7.0,0.006
11,1,9.0,0.007
3,3,4.0,0.022
10,1,5.0,0.027
11,1,23.0,0.0
2,3,14.0,0.0
6,1,9.0,0.026
4,2,7.0,0.01
8,1,12.0,0.0
9,3,4.0,0.014
2,3,4.0,0.008
9,2,4.0,0.015
7,1,5.0,0.015
8,1,8.0,0.0
3,3,1.0,0.102
6,1,23.0,0.0
11,1,4.0,0.021
10,3,23.0,0.001
1,3,9.0,0.001
9,2,12.0,0.0
5,2,9.0,0.001
9,3,17.0,0.01
9,3,1.0,0.071
11,3,5.0,0.015
11,2,1.0,0.076
11,1,18.0,0.033
6,2,8.0,0.007
12,2,25.0,0.0
5,1,7.0,0.012
5,1,8.0,0.005
9,3,2.0,0.446
12,1,17.0,0.028
4,1,5.0,0.009
3,1,5.0,0.014
11,2,23.0,0.0
10,3,14.0,0.0
10,2,3.0,0.339
1,3,17.0,0.016
2,1,3.0,0.405
5,2,1.0,0.036
6,3,8.0,0.004
12,2,18.0,0.054
1,1,4.0,0.023
10,2,12.0,0.0
6,3,14.0,0.0
9,1,9.0,0.001
1,1,3.0,0.477
3,3,25.0,0.0
6,3,18.0,0.0
7,1,7.0,0.015
4,2,14.0,0.0
