m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,16.5,18.4,18.7,3.8,18.5,0.5
1,1,2,16.3,18.8,18.9,1.0,13.9,0.5
1,1,3,16.1,18.7,18.9,0.3,17.8,0.5
1,1,4,15.7,17.9,18.6,1.6,21.0,0.8
1,1,5,16.0,17.9,18.7,1.5,21.0,0.4
1,1,6,16.0,18.0,18.8,1.5,15.5,0.4
1,1,7,16.0,18.3,18.5,5.6,20.6,0.8
1,1,8,16.1,18.2,18.8,0.3,22.0,0.6
1,1,9,15.3,17.7,19.0,0.4,15.1,0.5
1,1,10,14.8,17.1,18.4,0.3,16.4,0.5
1,2,11,16.1,17.8,18.4,1.0,18.9,0.33
1,2,12,15.8,17.9,18.9,0.3,23.8,0.8
1,2,13,15.7,17.5,18.0,0.2,22.5,0.4
1,2,14,15.6,17.7,18.7,0.0,20.0,0.2
1,2,15,15.6,17.8,18.9,0.5,21.3,0.5
1,2,16,15.5,17.6,18.2,0.5,25.7,0.67
1,2,17,14.8,17.1,17.6,4.5,19.2,0.29
1,2,18,14.0,16.7,16.6,2.1,22.2,0.5
1,2,19,15.0,17.2,18.2,0.4,25.5,0.5
1,2,20,15.5,17.4,18.0,7.0,32.1,0.5
1,3,21,15.6,17.4,17.9,2.1,30.3,0.57
1,3,22,15.3,17.2,17.9,2.6,27.7,0.43
1,3,23,14.5,16.7,17.8,0.3,19.6,0.43
1,3,24,14.9,17.2,19.3,0.5,19.1,0.43
1,3,25,15.3,17.0,17.5,0.5,20.5,0.57
1,3,26,15.0,17.2,18.3,0.1,21.5,0.29
1,3,27,15.8,17.2,18.5,0.2,19.9,0.67
1,3,28,14.7,16.6,17.4,0.3,18.5,0.4
1,3,29,14.0,16.4,17.9,2.6,19.4,0.4
1,3,30,14.3,17.5,18.5,0.3,17.0,0.4
1,3,31,15.7,17.9,18.8,0.7,21.5,0.8
2,1,1,16.1,18.3,19.3,3.1,23.4,0.67
2,1,2,15.3,17.7,18.2,1.0,23.5,0.33
2,1,3,15.1,17.5,17.4,0.5,20.2,0.33
2,1,4,15.2,17.6,19.3,1.1,16.4,0.8
2,1,5,14.4,17.5,18.4,2.1,21.0,0.6
2,1,6,15.3,17.3,18.6,0.2,18.1,0.6
2,1,7,14.8,17.4,18.1,0.2,19.1,0.4
2,1,8,15.5,17.8,18.1,2.1,24.7,0.6
2,1,9,15.2,18.1,18.9,0.7,17.6,0.8
2,1,10,15.5,17.5,19.3,0.3,17.6,0.6
2,2,11,14.6,17.4,18.0,0.3,16.8,0.67
2,2,12,15.4,17.2,18.1,0.5,13.9,0.33
2,2,13,15.2,17.5,18.3,0.0,12.1,0.2
2,2,14,14.7,17.5,19.0,0.5,15.5,0.4
