m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,13.3,15.2,18.4,,11.7,
1,1,2,12.5,14.5,17.8,,9.8,
1,1,3,12.8,14.2,17.0,,8.9,
1,1,4,13.0,15.3,17.5,,11.4,
1,1,5,12.9,14.3,17.6,,14.0,
1,1,6,12.0,14.1,16.9,,11.0,
1,1,7,12.4,14.3,17.4,,9.8,
1,1,8,13.3,15.3,18.0,,15.6,
1,1,9,13.4,15.3,17.8,,11.9,
1,1,10,13.2,14.9,17.8,,9.3,
1,2,11,12.1,14.3,16.9,,9.7,
1,2,12,11.8,14.0,16.7,,10.7,
1,2,13,11.6,13.7,16.9,,12.2,
1,2,14,11.6,13.9,17.0,,11.8,
1,2,15,13.3,14.8,17.0,,11.2,
1,2,16,13.0,14.5,17.0,,13.6,
1,2,17,12.1,14.4,16.9,,16.6,
1,2,18,12.3,14.6,16.3,,14.2,
1,2,19,12.4,14.8,16.7,,15.9,
1,2,20,13.0,14.6,16.9,,18.4,
1,3,21,12.7,14.7,16.6,,15.6,
1,3,22,12.1,14.2,16.4,,15.2,
1,3,23,12.4,14.8,16.5,,14.9,
1,3,24,13.6,14.8,16.1,,13.1,
1,3,25,13.6,15.3,16.7,,12.4,
1,3,26,13.3,15.3,17.7,,10.6,
1,3,27,13.1,14.8,17.9,,13.7,
1,3,28,13.0,14.6,16.7,,13.8,
1,3,29,13.2,14.5,16.9,,13.2,
1,3,30,13.3,14.8,16.6,,15.9,
1,3,31,12.9,15.2,17.5,,13.0,
2,1,1,12.9,15.0,17.1,,8.9,
2,1,2,11.9,14.3,18.0,,10.5,
2,1,3,12.2,14.7,17.2,,10.4,
2,1,4,12.1,14.6,16.9,,7.7,
2,1,5,12.0,14.4,17.1,,9.5,
2,1,6,12.0,14.9,17.3,,10.3,
2,1,7,13.0,14.8,17.1,,10.7,
2,1,8,13.2,14.4,17.1,,16.5,
2,1,9,13.8,15.2,17.6,,17.2,
2,1,10,13.7,15.4,17.3,,14.1,
2,2,11,13.3,15.3,18.0,,15.2,
2,2,12,13.1,15.3,17.4,,11.5,
2,2,13,13.1,14.9,17.5,,10.9,
2,2,14,12.9,15.1,17.8,,12.6,
2,2,15,13.3,15.5,17.5,,15.2,
2,2,16,13.7,15.1,17.8,,11.1,
2,2,17,13.3,15.2,17.9,,10.7,
2,2,18,13.8,15.5,17.8,,12.6,
2,2,19,13.3,15.4,17.5,,12.6,
2,2,20,13.0,15.5,18.2,,9.9,
2,3,21,13.5,15.6,18.5,,12.4,
2,3,22,13.0,15.6,18.5,,12.7,
2,3,23,12.8,15.4,18.1,,12.5,
2,3,24,12.8,15.3,17.7,,11.2,
2,3,25,13.7,15.1,17.0,,15.4,
2,3,26,13.2,14.8,16.8,,16.2,
2,3,27,12.9,14.8,17.0,,12.4,
2,3,28,13.0,14.6,17.2,,11.2,
2,3,29,13.6,15.5,17.7,,16.7,
3,1,1,13.0,14.8,16.8,,12.7,
3,1,2,13.6,15.0,17.0,,13.5,
3,1,3,12.9,14.9,17.1,,12.1,
3,1,4,13.1,14.7,17.0,,11.3,
3,1,5,13.4,14.9,16.5,,12.9,
3,1,6,13.2,15.2,17.0,,13.8,
3,1,7,13.3,14.8,17.2,,18.8,
3,1,8,12.5,14.6,16.9,,19.0,
3,1,9,13.1,14.9,17.0,,17.6,
3,1,10,13.6,15.6,18.0,,15.5,
3,2,11,13.5,16.0,18.8,,12.5,
3,2,12,13.4,15.4,18.7,,10.4,
3,2,13,12.8,14.8,17.4,,12.2,
3,2,14,12.3,15.5,19.0,,10.0,
3,2,15,13.1,15.7,19.2,,9.2,
3,2,16,13.2,16.2,19.4,,11.4,
3,2,17,12.9,15.4,19.5,,12.0,
3,2,18,12.8,16.3,19.9,,11.9,
3,2,19,13.0,15.7,18.8,,11.8,
3,2,20,13.2,14.9,17.1,,12.7,
3,3,21,13.2,14.9,17.6,,15.5,
3,3,22,12.8,15.6,18.5,,11.1,
3,3,23,12.7,15.3,18.7,,10.5,
3,3,24,13.2,15.7,18.9,,11.5,
3,3,25,13.0,16.1,19.1,,11.1,
3,3,26,13.4,16.1,19.3,,13.0,
3,3,27,13.3,16.7,20.0,,16.0,
3,3,28,13.1,16.3,19.0,,13.7,
3,3,29,13.6,15.9,18.9,,13.8,
3,3,30,14.1,16.0,18.7,,14.3,
3,3,31,14.0,16.2,18.6,,13.9,
4,1,1,14.2,16.0,17.8,,14.6,
4,1,2,13.5,15.8,18.6,,13.1,
4,1,3,13.0,15.9,19.0,,10.8,
4,1,4,12.6,14.8,17.7,,13.9,
4,1,5,13.6,16.1,18.9,,14.3,
4,1,6,14.0,16.2,19.4,,10.9,
4,1,7,13.8,16.4,19.5,,10.9,
4,1,8,14.2,16.2,18.7,,14.1,
4,1,9,13.7,16.4,19.2,,11.0,
4,1,10,14.1,16.8,19.8,,13.7,
4,2,11,15.0,17.0,19.3,,13.9,
4,2,12,14.5,16.8,19.0,,13.1,
4,2,13,14.2,16.7,19.2,,12.2,
4,2,14,14.2,16.7,19.1,,10.6,
4,2,15,15.1,17.5,20.7,,12.1,
4,2,16,15.4,18.3,21.8,,10.9,
4,2,17,15.0,17.8,20.4,,12.2,
4,2,18,14.5,17.3,20.5,,12.2,
4,2,19,13.9,16.6,19.2,,11.9,
4,2,20,13.8,16.7,19.1,,15.0,
4,3,21,14.6,16.7,18.7,,14.3,
4,3,22,14.7,16.8,19.4,,14.0,
4,3,23,14.3,16.6,19.2,,16.2,
4,3,24,14.4,17.1,20.0,,12.3,
4,3,25,15.0,16.9,18.9,,14.3,
4,3,26,14.8,16.6,18.8,,12.6,
4,3,27,14.9,17.0,20.5,,10.7,
4,3,28,14.6,17.1,20.9,,12.0,
4,3,29,14.0,17.2,20.1,,12.2,
4,3,30,14.7,17.0,20.3,,13.4,
5,1,1,14.7,17.1,19.8,,13.6,
5,1,2,14.2,17.7,20.7,,11.1,
5,1,3,15.0,17.7,20.7,,10.6,
5,1,4,15.2,17.9,21.0,,11.3,
5,1,5,15.4,18.2,21.1,,11.8,
5,1,6,15.5,18.4,21.3,,12.5,
5,1,7,15.2,18.7,22.4,,11.5,
5,1,8,15.6,18.9,22.3,,12.1,
5,1,9,16.1,18.9,21.9,,12.8,
5,1,10,15.5,18.7,21.8,,13.4,
5,2,11,15.2,18.6,22.1,,13.9,
5,2,12,15.3,18.5,22.0,,14.2,
5,2,13,15.1,18.8,22.5,,11.9,
5,2,14,15.1,18.1,20.4,,15.0,
5,2,15,14.9,18.1,21.0,,13.2,
5,2,16,15.6,18.4,21.1,,12.9,
5,2,17,15.7,18.4,21.7,,12.1,
5,2,18,15.2,18.3,21.4,,11.8,
5,2,19,15.2,18.7,22.1,,12.5,
5,2,20,15.1,18.5,22.3,,12.3,
5,3,21,15.1,18.3,21.0,,11.8,
5,3,22,15.2,18.4,21.4,,13.6,
5,3,23,15.3,18.5,21.9,,13.3,
5,3,24,15.6,18.4,21.5,,13.6,
5,3,25,15.1,19.0,22.9,,11.1,
5,3,26,16.0,20.1,24.1,,10.4,
5,3,27,16.1,20.2,23.7,,12.2,
5,3,28,15.9,19.6,24.0,,10.8,
5,3,29,16.5,20.4,24.1,,10.5,
5,3,30,16.2,20.3,24.5,,9.6,
5,3,31,15.9,20.3,24.5,,10.1,
6,1,1,16.5,20.5,24.9,,9.6,
6,1,2,16.0,20.2,23.2,,9.6,
6,1,3,16.3,20.3,23.5,,10.8,
6,1,4,16.4,19.9,23.0,,12.9,
6,1,5,15.7,19.6,22.5,,11.9,
6,1,6,15.8,20.4,24.1,,11.3,
6,1,7,16.7,20.6,23.2,,13.1,
6,1,8,17.0,20.4,22.5,,15.3,
6,1,9,16.8,20.2,22.4,,13.6,
6,1,10,15.9,19.9,22.5,,12.9,
6,2,11,15.7,19.1,22.6,,14.0,
6,2,12,15.9,18.7,22.1,,13.7,
6,2,13,14.9,18.9,22.2,,11.5,
6,2,14,16.1,19.9,23.8,,10.5,
6,2,15,16.5,20.0,23.4,,10.0,
6,2,16,16.1,19.8,22.9,,11.6,
6,2,17,17.4,20.5,23.3,,12.2,
6,2,18,16.7,20.0,22.7,,14.6,
6,2,19,17.1,19.8,22.0,,13.9,
6,2,20,16.2,19.6,23.5,,13.0,
6,3,21,16.1,19.8,23.7,,13.3,
6,3,22,16.3,20.7,25.3,,12.2,
6,3,23,16.9,21.2,26.0,,11.3,
6,3,24,17.0,21.2,25.9,,10.0,
6,3,25,16.8,21.3,26.3,,10.9,
6,3,26,16.6,20.3,24.5,,11.8,
6,3,27,16.8,20.2,24.0,,11.4,
6,3,28,15.8,20.5,25.5,,13.9,
6,3,29,17.0,20.3,26.0,,14.2,
6,3,30,15.9,20.1,25.4,,14.0,
7,1,1,15.8,20.3,25.6,,12.5,
7,1,2,16.0,21.8,27.3,,11.6,
7,1,3,16.7,21.2,25.2,,11.0,
7,1,4,16.7,21.2,25.3,,11.0,
7,1,5,16.5,21.0,25.3,,11.0,
7,1,6,16.8,20.9,25.0,,11.5,
7,1,7,16.4,21.2,26.9,,11.9,
7,1,8,16.1,20.8,25.3,,11.8,
7,1,9,16.7,21.6,26.1,,10.3,
7,1,10,17.2,23.0,29.7,,10.4,
7,2,11,17.1,22.8,29.1,,11.0,
7,2,12,17.5,21.8,26.6,,12.8,
7,2,13,17.0,22.2,27.3,,11.8,
7,2,14,17.0,21.7,26.7,,11.0,
7,2,15,17.4,22.3,26.9,,11.6,
7,2,16,17.0,21.9,26.9,,11.3,
7,2,17,17.4,21.8,26.8,,11.5,
7,2,18,17.4,22.1,27.4,,11.3,
7,2,19,17.4,21.8,26.3,,11.7,
7,2,20,16.8,22.2,28.0,,13.6,
7,3,21,17.1,21.6,25.4,,12.4,
7,3,22,17.1,21.7,27.0,,10.8,
7,3,23,17.2,23.0,29.3,,12.6,
7,3,24,17.5,23.1,28.1,,12.8,
7,3,25,17.2,21.6,26.7,,14.6,
7,3,26,17.1,21.4,26.1,,14.4,
7,3,27,17.2,21.0,25.4,,14.2,
7,3,28,16.8,21.2,25.5,,13.4,
7,3,29,16.9,21.8,26.6,,13.1,
7,3,30,16.9,21.7,26.4,,12.1,
7,3,31,17.0,21.1,25.6,,13.1,
8,1,1,16.6,21.3,26.5,,13.8,
8,1,2,17.2,21.8,26.8,,12.4,
8,1,3,16.3,21.6,26.5,,14.2,
8,1,4,17.1,22.0,28.1,,11.6,
8,1,5,17.0,23.3,29.0,,11.6,
8,1,6,17.5,23.0,27.0,,11.2,
8,1,7,18.0,21.5,25.6,,11.8,
8,1,8,17.6,21.0,25.0,,11.9,
8,1,9,17.3,21.6,25.6,,11.5,
8,1,10,16.9,21.9,27.0,,11.2,
8,2,11,17.3,21.7,26.8,,11.4,
8,2,12,17.1,21.8,27.1,,13.0,
8,2,13,17.6,21.6,26.1,,12.8,
8,2,14,16.8,21.3,25.7,,13.6,
8,2,15,17.0,22.4,27.3,,12.6,
8,2,16,17.0,22.2,27.6,,12.6,
8,2,17,16.9,21.6,26.5,,12.5,
