m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,11.2,15.9,13.7,79.0,8.8,
1,1,1,11.0,16.0,13.5,79.3,9.8,
1,1,2,11.4,16.1,13.8,78.5,8.8,
1,1,3,11.9,16.3,14.1,77.5,9.3,
1,1,4,11.6,15.6,13.7,78.3,10.6,
1,1,5,11.8,15.6,13.8,77.0,9.8,
1,1,6,12.3,15.6,13.9,77.8,8.8,
1,1,7,12.0,15.3,13.8,77.5,8.3,
1,1,8,11.8,15.3,13.6,78.5,9.3,
1,1,9,12.3,16.2,14.2,76.8,8.8,
1,1,10,13.4,17.6,15.6,72.8,10.2,
1,1,11,14.4,17.7,16.0,71.8,10.6,
1,1,12,15.2,18.1,16.8,71.3,13.5,
1,1,13,15.7,18.7,17.2,69.8,14.0,
1,1,14,15.9,18.8,17.4,70.0,14.9,
1,1,15,16.2,18.7,17.4,70.0,14.4,
1,1,16,15.7,18.2,17.0,70.8,14.0,
1,1,17,14.7,17.5,16.1,75.0,11.6,
1,1,18,13.8,16.7,15.3,77.5,11.6,
1,1,19,12.8,15.8,14.4,80.0,11.1,
1,1,20,12.2,16.0,14.1,80.8,10.6,
1,1,21,12.1,15.9,14.0,81.0,9.3,
1,1,22,11.7,16.1,14.0,77.3,9.3,
1,1,23,11.4,16.0,13.9,77.3,8.9,
1,2,0,11.3,15.0,13.3,78.3,10.2,
1,2,1,11.0,14.9,13.0,78.3,9.3,
1,2,2,11.5,15.1,13.6,76.8,9.3,
1,2,3,12.4,15.4,14.1,75.5,9.3,
1,2,4,11.3,15.9,13.6,78.0,9.8,
1,2,5,11.2,15.6,13.6,77.5,11.1,
1,2,6,12.1,15.1,13.8,76.3,9.8,
1,2,7,12.0,15.2,13.6,77.3,9.8,
1,2,8,11.7,15.3,13.4,76.5,10.6,
1,2,9,12.1,15.4,13.8,75.3,10.6,
1,2,10,13.5,16.7,15.1,74.0,12.5,
1,2,11,14.0,16.8,15.5,72.8,13.9,
1,2,12,15.1,17.3,16.3,70.0,16.7,
